Handle,ObjType,Content,Layer,Extra
AF3EF7,BlockReference,"L-SECLBL",L-SECLBL,0.9994700000000017
AF3F4D,AlignedDimension,"Murphy  P/L R/W  121417",F-RW-T,Compass 5 000
AF3F4E,AlignedDimension,"Paramount  P/L R/W  041403",F-RW-T,Compass 5 000
AF3F4F,AlignedDimension,"Veren  P/L R/W  141715",C-RW-T,Compass 5 000
AF3F50,AlignedDimension,"Veren  A/R  141073",C-AR-T,Compass 5 000
AF3F51,AlignedDimension,"Murphy  A/R  141054",F-AR-T,Compass 5 000
AF3F54,AlignedDimension,"Chevron  A/R  180291",F-AR-T,Compass 5 000
AF3F55,MText,"Murphy Reservoir LOC 132053",F-AR-T,9.994700000000016
AF3F57,AlignedDimension,"ATCO  Power Line R/W  180138",F-EZE-T,Compass 5 000
AF3F5E,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F5F,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F60,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F61,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F62,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F63,BlockReference,"GAS",C-WS-S,5.000000000000007
AF3F64,DBText,"Theor. S.W.1/4 Sec. 2-63-20-W.5M.",C-SYMBOL,20.00000000000003
AF3F65,MText,"Veren 3-2 (Surface) MSL 141110",C-WS-T,9.994700000000016
AF3F67,AlignedDimension,"Paramount  A/R  7167",F-WS-T,Compass 5 000
AF3F68,MText,"Murphy 8-34 (Surface) MSL 141075",F-WS-T,9.994700000000016
AF3F6A,MText,"Twp. 62",D-TXT,13.992580000000014
AF3F6B,MText,"Twp. 63",D-TXT,13.992580000000014
AF3F6C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994700000000014
AF3F6D,DBText,"(CORRECTION LINE)",L-ROAD-T,9.994700000000014
AF3F6E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994700000000014
AF3F71,MText,"L.S. 3",L-SECTION-LSD,9.994700000000014
AF3F73,MText,"L.S. 4",L-SECTION-LSD,9.994700000000014
AF3F75,MText,"L.S. 6",L-SECTION-LSD,9.994700000000014
AF3F77,MText,"L.S. 5",L-SECTION-LSD,9.994700000000014
AF3F88,AlignedDimension,"Procyon  P/L R/W  130430",F-EZE-T,Compass 5 000
AF3F89,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991520000000028
