Handle,ObjType,Content,Layer,Extra
AF1921,BlockReference,"FDI",L-MON,4.999999999999973
AF1926,BlockReference,"FDI",L-MON,4.999999999999973
AF1930,BlockReference,"FDI",L-MON,4.999999999999973
AF1939,BlockReference,"FDI",L-MON,4.999999999999973
AF1965,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999973
AF19B6,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999973
AF1A63,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999973
AF1A88,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999973
AF1A8D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999973
AF1BFB,BlockReference,"PIG",AS-SYMBOL,4.999999999999973
AF1C00,BlockReference,"PIG",AS-SYMBOL,4.999999999999973
AF61C2,BlockReference,"FLARE",AS-SYMBOL,4.9985506
AF6AE7,DBText,"(High Grade Gravel)",T-TEXT,9.994243028806444
AF6AE8,DBText,"Government Road Allowance",L-ROAD-T,9.994243028806444
AF6AE9,MText,"Buried Telus Cable",AS-TELUS,9.994243028806446
AF6AED,MText,"Buried Telus Cable",AS-TELUS,9.994243028806446
AF6AEF,DBText,"Government Road Allowance",L-ROAD-T,9.994243028806446
AF6AF0,DBText,"Hwy. 724",L-ROAD-T,9.994243028806446
AF6AFC,MText,"CNRL 5-15  Pad Site",C-WS-T,9.994261323538058
AF6AFE,BlockReference,"*U96",AS-OWNER,0.9994243028806451
AF6B13,MText,"Approximate Location of ATCO Gas Customer Correspondence",AS-PIPE-UG-T,9.994261323538055
AF6B1D,MText,"ATCO 6.00 Powerline R/W Reg. # 002 111 472",F-EZE-T,9.994243028806446
AF6B1E,AlignedDimension,"ATCO   Maintenance R/W  # 132 411 782",F-EZE-T,Compass 5 000
AF6B1F,AlignedDimension,"CNRL   A/R",C-AR-T,Compass 5 000
AF6B21,MText,"Apex Valve Site",F-WS-T,9.994243028806446
AF6B24,AlignedDimension,"30.18 Road  1559 MC",L-TITLEDB-T,Compass 5 000
AF6B25,DBText,"S.W.1/4 Sec. 15-72-8-W.6M.",C-SYMBOL,19.988486057612906
AF6B28,AlignedDimension,"Apex  A/R",F-AR-T,Compass 5 000
AF6B29,MText,"ATCO 3-Wire O/H Powerline",AS-POWER,9.994243028806446
AF6B2C,AlignedDimension,"CNRL  P/L R/W  192 1304",C-WS-S,Compass 5 000
AF6B2D,AlignedDimension,"Tidewater  P/L R/W  212 1781",F-RW-T,Compass 5 000
AF6B2E,AlignedDimension,"Tamarack  P/L R/W  212 0689",F-RW-T,Compass 5 000
AF6B2F,AlignedDimension,"CNRL  P/L R/W  152 0951",C-WS-S,Compass 5 000
AF6B30,AlignedDimension,"CNRL  P/L R/W  WSP",C-RW-T,Compass 5 000
AF6C15,BlockReference,"Gabd",F-WS-S,4.997072833080197
AF6C16,MText,"6-15 (Abd.)",F-WS-T,9.994243028806446
AF6C19,DBText,"Cultivation",T-TEXT,9.994243028806446
AF6C33,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C34,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C35,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C36,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C37,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C38,BlockReference,"GAS",C-WS-S,4.997121514403223
AF6C4C,DBText,"(Paved)",T-TEXT,9.994243028806446
AF74B0,MText,"Lot 1A Plan 002 2367",L-TITLEDB-T,9.994243028806446
AF74B2,MText,"Lot 1 Block 1 Plan 202 1151",L-TITLEDB-T,9.994243028806446
AF7657,MText,"Fd.I. Mp. R2",L-MON,9.994243028806451
AF7695,BlockReference,"L-SECLBL",L-SECLBL,0.9994243028806453
AF907C,AlignedDimension,"Tidewater  P/L R/W  212 1781",F-WS-S,Compass 5 000
AFA90A,AlignedDimension,"Tamarack  P/L R/W  212 0682",F-RW-T,Compass 5 000
AFA931,AlignedDimension,"Archer  P/L R/W  McElhanney Surveys",F-RW-T,Compass 5 000
AFB28F,AlignedDimension,"CNRL  P/L R/W  952 1052",C-RW-T,Compass 5 000
AFB2FF,AlignedDimension,"CNRL  P/L R/W  192 1304",C-RW-T,Compass 5 000
AFBBBB,AlignedDimension,"CNRL  P/L R/W  McElhanney",C-RW-T,Compass 5 000
AFBC2F,DBText,"S.E.1/4 Sec. 15-72-8-W.6M.",C-SYMBOL,19.9942024
AFC456,AlignedDimension,"CNRL  P/L R/W  062 1841",C-RW-T,Compass 5 000
AFC475,AlignedDimension,"CNRL  P/L R/W  852 0351",C-RW-T,Compass 5 000
AFC491,AlignedDimension,"CNRL  P/L R/W  852 2401",C-RW-T,Compass 5 000
AFE304,BlockReference,"*U96",AS-OWNER,0.9994243028806451
AFEB00,DBText,"1°44'50''",L-BD,9.9971012
AFEB05,MText,"Fd.I. c.s. N.E. 10",L-MON,9.994243028806451
AFEB06,MText,"Fd.I. Mp. E.1/4 15",L-MON,9.994243028806451
AFEB25,MText,"Windrow 20cm Poplar",T-BUSH-T,9.9971012
AFEB27,MText,"Windrow 20cm Poplar",T-BUSH-T,9.9971012
AFF3AD,DBText,"Cultivation",T-TEXT,9.994243028806446
AFF3AE,DBText,"Cultivation",T-TEXT,9.994243028806446
AFF3AF,DBText,"Cultivation",T-TEXT,9.994243028806446
AFF3B0,DBText,"Cultivation",T-TEXT,9.994243028806446
AFF3B1,DBText,"Cultivation",T-TEXT,9.994243028806446
AFF3B6,BlockReference,"GAS",C-WS-S,4.999999999999978
AFF3B7,BlockReference,"GAS",C-WS-S,4.999999999999978
AFF3B8,BlockReference,"GAS",C-WS-S,4.999999999999978
AFF3B9,BlockReference,"GAS",C-WS-S,4.999999999999978
AFF3BA,BlockReference,"GAS",C-WS-S,4.999999999999978
AFFC76,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
AFFC9E,MText,"SEE DETAIL 'B'",L-DETAIL-T,15.995361919999912
B0A108,DBText,"(High Grade Gravel)",T-TEXT,9.9971012
B0A109,DBText,"Government Road Allowance",L-ROAD-T,9.9971012
B0A10A,MText,"800m Trumpeter Swan Buffer",AS-WILDLIFE,9.9971012
B0A915,MText,"500m Trumpeter Swan Buffer",AS-WILDLIFE,9.9971012
B0C44B,AlignedDimension,"Archer  P/L R/W  McElhanney Surveys",F-WS-S,Compass 5 000
B0C544,AlignedDimension,"CNRL  P/L R/W  212 2371",C-WS-S,Compass 5 000
B0D056,MText,"Fd.I. R3",L-MON,9.994243028806451
B0D059,DBText,"181°45'40''",L-BD1,9.9971012
B0D871,MText,"Buried Telus Cable",AS-TELUS,9.994243028806446
B0D872,MText,"Buried Telus  Cable",AS-TELUS,9.994243028806446
B0D873,MText,"ATCO O/H Powerline",AS-POWER,9.994243028806446
B0D875,MText,"ATCO O/H Powerline",AS-POWER,9.994243028806446
B17B06,BlockReference,"GAS",C-WS-S,4.9999999999999805
B198A3,MText,"CNRL 8-15",C-WS-S,9.999999999999961
B29D14,BlockReference,"*U120",L-MON,0.99971012
B29D98,BlockReference,"*U121",DETAIL-T,0.99971012
B29DD2,BlockReference,"*U122",DETAIL-T,0.99971012
B3BDA1,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA2,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA3,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA4,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA5,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA6,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA7,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA8,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDA9,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAA,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAB,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAC,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAD,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAE,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDAF,BlockReference,"WC2",C-WS-S,4.999999999999984
B3BDB0,BlockReference,"WC2",C-WS-S,4.999999999999984
B3C3F2,MText,"Area Required = 1.408 ha  3.48 Ac. Workspace = 0.140 ha  0.35 Ac.",L-AREAREQUIRED,10.993667331687105
B3C3F6,MText,"Area Required = 1.486 ha  3.66 Ac. Workspace = 0.585 ha  1.45 Ac.",L-AREAREQUIRED,10.993667331687105
B3C412,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
B403D1,BlockReference,"FDI",L-MON,4.999999999999988
B403D6,BlockReference,"FDI",L-MON,4.999999999999988
B403E0,BlockReference,"FDI",L-MON,4.999999999999988
B403E9,BlockReference,"FDI",L-MON,4.999999999999988
B40415,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999988
B40466,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999988
B40513,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999988
B40538,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999988
B4053D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999988
B405B2,BlockReference,"GAS",AS-SYMBOL,4.999999999999988
B405FB,BlockReference,"GAS",AS-SYMBOL,4.999999999999988
B40600,BlockReference,"GAS",AS-SYMBOL,4.999999999999988
B40625,BlockReference,"GAS",AS-SYMBOL,4.999999999999988
B4062A,BlockReference,"GAS",AS-SYMBOL,4.999999999999988
B40697,BlockReference,"PIG",AS-SYMBOL,4.999999999999988
B4069C,BlockReference,"PIG",AS-SYMBOL,4.999999999999988
B4081D,BlockReference,"FDI",L-MON,4.999999999999988
B4083D,BlockReference,"FDI",L-MON,4.999999999999988
B40842,BlockReference,"FDI",L-MON,4.999999999999988
B4086B,BlockReference,"FDI",L-MON,4.999999999999988
B408CC,BlockReference,"FDI",L-MON,4.999999999999988
B41CA1,MText,"SEE DETAIL 'A'",L-DETAIL-T,15.995361919999912
B42E7D,BlockReference,"TEMP",L-MON,4.9985506
B42E7E,BlockReference,"TEMP",L-MON,4.9985506
B42E7F,BlockReference,"TEMP",L-MON,4.9985506
B42E80,BlockReference,"TEMP",L-MON,4.9985506
B42E81,BlockReference,"TEMP",L-MON,4.9985506
B42E82,BlockReference,"TEMP",L-MON,4.9985506
B42E83,BlockReference,"TEMP",L-MON,4.9985506
B42EA0,BlockReference,"TEMP",L-MON,4.9985506
B44CC3,MText,"CNRL 7-15  Pad Site",C-WS-T,9.994261323538058
B54318,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54319,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431A,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431B,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431C,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431D,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431E,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5431F,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54320,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54321,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54322,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54323,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54324,BlockReference,"PIG",AS-SYMBOL,4.997121514403237
B54325,BlockReference,"PIG",AS-SYMBOL,4.997121514403237
B54326,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54327,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B54328,BlockReference,"PIG",AS-SYMBOL,4.997121514403237
B54329,BlockReference,"PIG",AS-SYMBOL,4.997121514403237
B5432A,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
B5432B,BlockReference,"RISER",AS-SYMBOL,4.997121514403237
