Handle,ObjType,Content,Layer,Extra
B04B3D,BlockReference,"L-SECLBL",L-SECLBL,1
B04B43,BlockReference,"L-SECLBL",L-SECLBL,1
B04B49,BlockReference,"L-SECLBL",L-SECLBL,1
B04B4F,BlockReference,"L-SECLBL",L-SECLBL,1
B04B55,BlockReference,"L-SECLBL",L-SECLBL,1
B04B5B,BlockReference,"L-SECLBL",L-SECLBL,1
B04B68,MText,"Rge. 1",D-TXT,13.999999999999895
B04B69,MText,"Rge. 2",D-TXT,13.999999999999895
B04B6A,MText,"Rge. 1",D-TXT,13.999999999999895
B04B6B,MText,"Rge. 2",D-TXT,13.999999999999895
B04B6C,DBText,"S.E.1/4 Sec. 16-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B6F,DBText,"S.W.1/4 Sec. 15-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B72,DBText,"S.E.1/4 Sec. 15-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B75,DBText,"S.W.1/4 Sec. 14-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B78,DBText,"S.E.1/4 Sec. 14-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B7B,DBText,"S.W.1/4 Sec. 13-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B7E,DBText,"N.W.1/4 Sec. 12-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B81,DBText,"N.E.1/4 Sec. 12-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B84,DBText,"S.E.1/4 Sec. 12-44-2-W.5M.",C-SYMBOL,19.99999999999984
B04B8A,DBText,"S.E.1/4 Sec. 7-44-1-W.5M.",C-SYMBOL,19.99999999999984
B04BDD,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BDE,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BDF,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE0,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE1,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE2,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE3,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE4,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE6,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE7,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE8,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BE9,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BEA,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
B04BEB,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999992
