Handle,ObjType,Content,Layer,Extra
AF5F99,BlockReference,"L-SECLBL",L-SECLBL,1
AF5FAD,BlockReference,"L-SECLBL",L-SECLBL,1
AF703E,AlignedDimension,"30.48 Road  5658 RS",L-TITLEDB,Compass 5 000
AF709D,AlignedDimension,"30.48 Road  5658 RS",L-TITLEDB,Compass 5 000
AF70BF,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB,Compass 5 000
AF7533,MText,"Approximate Location of  G.L.D.C Gas Co-op Ltd.",AS-PIPE-UG-T,10.000000000000004
AF76EE,AlignedDimension,"CNRL  P/L R/W  872 1132",F-RW,Compass 5 000
AF7715,MText,"Scollard 11-34 (Abd.)",F-WS-S,10.000000000000004
AF7716,AlignedDimension,"CNRL  A/R",F-AR-T,Compass 5 000
AF7746,MText,"CNRL 6-34",F-WS-S,10.000000000000004
AF774A,BlockReference,"GAS",F-WS-S,5.000000000000002
AF7914,BlockReference,"GABD",F-WS-S,5.000000000000002
AF7915,MText,"Lloyd Creek",T-WATER-T,10.000000000000004
AF7ACE,BlockReference,"*U23",AS-OWNER,1
AF7AE3,MText,"Lloyd Creek",T-WATER-T,10.000000000000004
AF7AE6,AlignedDimension,"30.48 Road  852 0603",L-TITLEDB,Compass 5 000
AF7B18,AlignedDimension,"CNRL  P/L R/W  072 0986",F-RW-T,Compass 5 000
AF7D05,MText,"CNRL 11-35 13-35 (Abd.)",F-RW,10.000000000000004
AF7D08,BlockReference,"GABD",F-WS-S,5.000000000000002
AF7D0B,BlockReference,"GAS",F-WS-S,5.000000000000002
AF7F18,BlockReference,"*U32",0,1
AF7FB0,BlockReference,"*U33",AS-OWNER,1
AF7FE6,MText,"Approximate Location of  G.L.D.C Gas Co-op Ltd.",AS-PIPE-UG-T,10.000000000000004
AF81A2,AlignedDimension,"CNRL  P/L R/W  042 5206",F-RW-T,Compass 5 000
AF81D4,MText,"C. of T.",L-TITLEDB,10.000000000000004
AF81EA,MText,"CNRL 102/13-35 (HZ) 4-26 (HZ)",F-WS-T,10.000000000000004
AF83A5,BlockReference,"GAS",F-WS-S,5.000000000000002
AF83A8,BlockReference,"GAS",F-WS-S,5.000000000000002
AF83A9,BlockReference,"*U35",AS-OWNER,1
AF859A,AlignedDimension,"CNRL  P/L R/W  822 1421",F-RW-T,Compass 5 000
