Handle,ObjType,Content,Layer,Extra
AF78C3,BlockReference,"L-SECLBL",L-SECLBL,0.9994025792440201
AFA086,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996979999999992
AFA0AE,AlignedDimension,"I3 Energy  P/L R/W  210363",F-RW,Compass 5 000
AFA0BA,MText,"800m Trumpeter Swan Boundary",AS-WILDLIFE,9.996979999999992
AFA0BC,MText,"500m Trumpeter Swan Boundary",AS-WILDLIFE,9.996979999999992
AFA0BE,BlockReference,"*U27",AS-SURFACE IMPACT,0.999387923671341
AFA0F3,MText,"Rge. 8",D-TXT,13.995858380000007
AFA0F4,MText,"Rge. 7",D-TXT,13.995858380000007
AFA102,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.995168000000016
AFA104,MText,"Theor. N.W.1/4 Sec. 30-68-7-W.6M.",C-SYMBOL,19.993959999999984
AFA1F6,AlignedDimension,"Sinopec  P/L R/W  121728",C-RW-T,Compass 5 000
AFA1FA,MText,"Sinopec 12-30 (Surface) MSL 221439",C-WS-T,9.996979999999992
AFA1FC,AlignedDimension,"I3 Energy  A/R  880771",F-AR-T,Compass 5 000
AFA1FD,AlignedDimension,"Cardinal  A/R  053156",F-AR-T,Compass 5 000
AFA200,AlignedDimension,"Cardinal  P/L R/W  072 6985  061984",F-RW-T,Compass 5 000
AFA201,MText,"I3 Energy 13-30 (Surface) MSL 881162",F-WS-T,9.996979999999992
AFA203,AlignedDimension,"Sinopec  P/L R/W  ______",C-RW-T,Compass 5 000
AFA21B,DBText,"30cm Poplar",T-BUSH-T,9.996979999999992
B00A79,BlockReference,"FDI",L-MON,4.998522450000001
B00A7E,BlockReference,"FDI",L-MON,4.998522450000001
B00A83,BlockReference,"FDI",L-MON,4.998522450000001
B00A88,BlockReference,"fdspike",L-MON,4.998522450000001
B00A8D,BlockReference,"fdspike",L-MON,4.998522450000001
B00A92,BlockReference,"FDI",L-MON,4.998522450000001
B00A97,BlockReference,"fdspike",L-MON,4.998522450000001
B00A9C,BlockReference,"FDI",L-MON,4.998522450000001
B00AA1,BlockReference,"fdspike",L-MON,4.998522450000001
B00AA6,BlockReference,"plspike",L-MON,4.998522450000001
B00AAB,BlockReference,"plspike",L-MON,4.998522450000001
B00ACD,DBText,"WH1",P-PROPOSED-EXISTING-H,0.19994089800000034
B01CC6,MText,"L.S. 11",L-SECTION-LSD,9.99704490000001
B01CC8,MText,"L.S. 12",L-SECTION-LSD,9.99704490000001
B01CCA,MText,"L.S. 14",L-SECTION-LSD,9.99704490000001
B01CCB,MText,"L.S. 13",L-SECTION-LSD,9.99704490000001
B093F1,AlignedDimension,"Sinopec  P/L R/W  180927",C-RW-T,Compass 5 000
B0AF40,MText,"(2)Buried Pipes",AS-PIPE-UG-T,9.997044900000002
B10FB8,MText,"SEE DETAIL",DETAIL-T,15.99527184000002
B1AF12,BlockReference,"FLARE",AS-SYMBOL,4.998522450000001
B1EDD0,BlockReference,"*U37",AS-WILDLIFE-BLOCK,0.99970449
B22CD5,MText,"Flare (18.6m Tall)",T-TEXT,9.997044900000002
B25B8D,BlockReference,"curve",L-BD,4.998522450000001
B357CC,AlignedDimension,"I3 Energy  P/L R/W  210363",F-RW,Compass 5 000
B3584F,MText,"(2)Buried Pipes",AS-PIPE-UG-T,9.997044900000002
B35863,AlignedDimension,"Sinopec  P/L R/W  121728",C-RW-T,Compass 5 000
B35864,AlignedDimension,"Sinopec  P/L R/W  ______",C-RW-T,Compass 5 000
B35865,AlignedDimension,"Sinopec  P/L R/W  180927",C-RW-T,Compass 5 000
B35866,MText,"Sinopec 12-30 (Surface) MSL 221439",C-WS-T,9.997044900000002
B3586B,AlignedDimension,"I3 Energy  A/R  880771",F-AR-T,Compass 5 000
B3586C,MText,"I3 Energy 13-30 (Surface) MSL 881162",F-WS-T,9.997044900000002
B35878,BlockReference,"FDI",L-MON,4.998522450000001
B35879,BlockReference,"FDI",L-MON,4.998522450000001
B3587A,BlockReference,"FDI",L-MON,4.998522450000001
B3587B,BlockReference,"FDI",L-MON,4.998522450000001
B3587C,BlockReference,"FDI",L-MON,4.998522450000001
B3587D,BlockReference,"fdspike",L-MON,4.998522450000001
B3587E,BlockReference,"fdspike",L-MON,4.998522450000001
B3587F,BlockReference,"fdspike",L-MON,4.998522450000001
B35880,BlockReference,"plspike",L-MON,4.998522450000001
B35881,BlockReference,"plspike",L-MON,4.998522450000001
B35882,BlockReference,"fdspike",L-MON,4.998522450000001
B35912,MText,"91° 20.00",L-BD,9.997044900000002
B35938,MText,"140.00  181°46'40''",L-BD,9.997044900000002
B35939,MText,"1°46'40" 140.00",L-BD,9.997044900000002
B35978,DBText,"30cm Poplar",T-BUSH-T,9.997044900000002
B35979,DBText,"30cm Poplar",T-BUSH-T,9.997044900000002
B3597D,MText,"30'' 15.00",L-BD,9.997044900000002
B36508,MText,"46' 16.41",L-BD,9.997044900000002
B36509,MText,"271° 16.86",L-BD,9.997044900000002
B3650D,MText,"271°46'30'' 3.14",L-BD,9.997044900000002
B3650F,MText,"87.00 40"",L-BD,9.997044900000002
B36513,MText,"Fd.I. Mp.",L-MON-T,9.997044900000002
B36517,MText,"20.00  1°",L-BD,9.997044900000002
B36C66,MText,"Fd.I. Mp.",L-MON-T,9.997044900000002
B36C70,MText,"Fd.I. Mp.",L-MON-T,9.997044900000002
B36C7A,MText,"Fd.I. Mp.",L-MON-T,9.997044900000002
B36C7F,MText,"46'",L-BD,9.997044900000002
