Handle,ObjType,Content,Layer,Extra
BC8AAE,BlockReference,"FDI",L-MON,5.000000000000007
BC8AB3,BlockReference,"FDI",L-MON,5.000000000000007
BC8AB8,BlockReference,"plspike",L-MON,5.000000000000007
BC8ABD,BlockReference,"plspike",L-MON,5.000000000000007
BC8AC2,BlockReference,"plspike",L-MON,5.000000000000007
BC8AC7,BlockReference,"plspike",L-MON,5.000000000000007
BC8ACC,BlockReference,"plspike",L-MON,5.000000000000007
BC8AD1,BlockReference,"plspike",L-MON,5.000000000000007
BC8C2A,BlockReference,"GAS",AS-SYMBOL,5.000000000000007
BC8C37,BlockReference,"RISER",AS-SYMBOL,5.000000000000007
BC8C3C,BlockReference,"L-SECLBL",L-SECLBL,1
BC8C50,MText,"Twp. 13",D-TXT,14.000000000000016
BC8C51,MText,"Twp. 14",D-TXT,14.000000000000016
BCF9AD,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9AE,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9AF,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B0,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B1,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B2,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B3,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B4,BlockReference,"TEMP",L-MON,4.997485800000006
BCF9B5,BlockReference,"TEMP",L-MON,4.997485800000006
BD1637,BlockReference,"GABD",F-WS-S,4.997485800000006
BD486B,MText,"L.S. 3",L-SECTION-LSD,10.000000000000014
BD486D,MText,"L.S. 4",L-SECTION-LSD,10.000000000000014
BD486F,MText,"L.S. 6",L-SECTION-LSD,10.000000000000014
BD4871,MText,"L.S. 5",L-SECTION-LSD,10.000000000000014
BD4875,MText,"L.S. 11",L-SECTION-LSD,10.000000000000014
BD4877,MText,"L.S. 12",L-SECTION-LSD,10.000000000000014
BD4879,MText,"L.S. 14",L-SECTION-LSD,10.000000000000014
BD487A,MText,"L.S. 13",L-SECTION-LSD,10.000000000000014
BD521E,BlockReference,"HRV",CG-NOTES,1
BD522E,BlockReference,"HRV",CG-NOTES,1
BD5C13,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C14,BlockReference,"GABD",F-WS-S,5.000000000000006
BD5C15,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C16,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C17,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C18,BlockReference,"GABD",F-WS-S,5.000000000000006
BD5C1A,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C1B,BlockReference,"GABD",F-WS-S,5.000000000000006
BD5C1C,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C1D,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C1E,BlockReference,"GAS",C-WS-S,5.000000000000006
BD5C1F,BlockReference,"GAS",C-WS-S,5.000000000000006
BD8D66,DBText,"N.W.1/4 Sec. 1-14-6-W.4M.",C-SYMBOL,19.989943200000017
BD8D67,DBText,"Access Road = 1.185 ha  2.93 Ac.",L-AREAREQUIRED,10.994468760000009
BD8D6A,DBText,"S.W.1/4 Sec. 1-14-6-W.4M.",C-SYMBOL,19.989943200000017
BD8D6B,DBText,"Well Site = 0.836 ha  2.07 Ac.",L-AREAREQUIRED,10.994468760000009
BD8D6C,DBText,"Access Road = 0.073 ha  0.18 Ac.",L-AREAWORK,10.994468760000009
BD9709,MText,"102/5-1 (Abd.)",F-WS-S,9.99497159999998
BDB3FE,MText,"Canlin (13-1 Surface) MSL 013804",C-WS-T,10.000000000000009
BDB3FF,MText,"102/14-1 (Abd.)",F-WS-S,9.99497159999998
BDB401,MText,"Canlin (14-1 Surface) MSL 771163",C-WS-T,10.000000000000009
BDB44C,AlignedDimension,"Canlin  P/L R/W  101 5042  011669",C-RW-T,Compass 5 000
BDBE09,AlignedDimension,"Canlin  P/L R/W  771 1350  760037",C-RW-T,Compass 5 000
BDBE80,MText,"Canlin (11-1 Surface) MSL 001941",C-WS-T,10.000000000000009
BDBE81,AlignedDimension,"Canlin  P/L R/W  101 4982  020427",C-RW-T,Compass 5 000
BDC84C,MText,"Medicine Hat (14-1 Surface) MSL 022719",F-WS-T,10.000000000000009
BDC84D,AlignedDimension,"Canlin  A/R  001941",C-AR-T,Compass 5 000
BDC894,MText,"Canlin (6-1 Surface) MSL 12048 (To be Amended)",C-WS-T,10.000000000000009
BDC895,AlignedDimension,"Medicine Hat{  P/L R/W  831 0366  810532}",F-RW-T,Compass 5 000
BDC8A2,AlignedDimension,"Canlin  P/L R/W  001937",C-RW-T,Compass 5 000
BDD240,AlignedDimension,"Canlin  P/L R/W  101 4516  002070",C-RW-T,Compass 5 000
BDD24D,AlignedDimension,"Canlin  A/R  760383",C-AR-T,Compass 5 000
BDD259,AlignedDimension,"Canlin  P/L R/W  101 4982  020422",C-RW-T,Compass 5 000
BDD265,AlignedDimension,"Canlin  P/L R/W  101 4982  020416",C-RW-T,Compass 5 000
BDD272,AlignedDimension,"Canlin  A/R  001942",C-AR-T,Compass 5 000
BDD28C,MText,"SEE DETAIL",DETAIL-T,15.991954560000014
BDD28E,AlignedDimension,"15.24 A/R",P-TXT,Compass 5 000
BDD2A8,DBText,"115°00'15''",L-BD1,9.994971600000005
BDD2AA,DBText,"104°40'55''",L-BD1,9.994971600000007
BDD2AC,DBText,"114°36'05''",L-BD1,9.994971600000007
