Handle,ObjType,Content,Layer,Extra
AF5106,BlockReference,"L-SECLBL",L-SECLBL,0.99958881
AF5124,DBText,"Government Road Allowance",L-ROAD-T,9.99588810000016
AF5125,DBText,"(Undeveloped)",T-TEXT,9.99588810000016
AF512C,DBText,"Government Road Allowance",L-ROAD-T,9.99588810000016
AF512D,DBText,"(Undeveloped)",T-TEXT,9.99588810000016
AF5D95,BlockReference,"HRV",CG-NOTES,0.99958881
AF5E40,BlockReference,"*U105",L-SECLBL,0.99958881
AF5FF5,AlignedDimension,"Nova  P/L R/W  1775 MC  568",F-RW-T,Compass 5 000
AF602F,AlignedDimension,"Fortis  Power Line R/W  970077",F-EZE-T,Compass 5 000
AF6098,BlockReference,"*U110",AS-OWNER,0.99958881
AF627B,BlockReference,"*U108",CG-NOTES,0.99958881
AF62C9,AlignedDimension,"I3  A/R  230837",F-AR-T,Compass 5 000
AF650E,MText,"I3 5-30 (Surface) MSL 230656",F-WS-T,9.995888100000155
AF650F,MText,"Sinopec 6-30 (Surface) MSL 920404 (To be Amended)",C-WS-T,9.995888100000155
AF653E,AlignedDimension,"Pembina  P/L R/W  426 MC  338",F-RW-T,Compass 5 000
AF6706,AlignedDimension,"Tidewater  P/L R/W  972 4492  970040",F-RW-T,Compass 5 000
AF6732,AlignedDimension,"Tidewater  P/L R/W  092 6161  970330",F-RW-T,Compass 5 000
AF6A8E,AlignedDimension,"28.86 P/L R/W  802 1181  on PLSR)",F-RW-T,Compass 5 000
AF6AA4,AlignedDimension,"7.67 P/L R/W  5065 RS  on PLSR)",F-RW-T,Compass 5 000
AF6D4B,BlockReference,"GAS",F-WS-S,4.997944050000075
AF6D4C,BlockReference,"GAS",F-WS-S,4.997944050000075
AF6D4D,BlockReference,"GAS",C-WS-S,4.997944050000075
AF6DA0,BlockReference,"fdspike",L-MON,4.997944050000045
AF6DA5,BlockReference,"fdspike",L-MON,4.997944050000045
AF6DAA,BlockReference,"fdspike",L-MON,4.997944050000045
AF6DAF,BlockReference,"plspike",L-MON,4.997944050000045
AF6DB4,BlockReference,"plspike",L-MON,4.997944050000045
AF6DDF,BlockReference,"*U119",AS-SYMBOL,4.997944050000072
AF6DE4,BlockReference,"*U118",AS-SYMBOL,4.997944050000072
AF6DE9,BlockReference,"*U120",AS-SYMBOL,4.997944050000072
AF7FBA,BlockReference,"FLARE",AS-SYMBOL,4.997944050000019
AFAB22,MText,"10cm Muskeg & Spruce",T-BUSH-T,9.990597776223225
AFC268,MText,"SEE DETAIL",DETAIL-T,15.993420960000192
AFE6CF,MText,"Rge. 11",D-TXT,13.994243340000192
AFE6D0,MText,"Rge. 10",D-TXT,13.994243340000192
B00B77,AlignedDimension,"Saturn  A/R  377",F-WS-T,Compass 5 000
B00BAB,AlignedDimension,"Saturn  Flow Line R/W  377",F-FLOWLINE-T,Compass 5 000
B00BD7,MText,"Saturn 6-33 (Surface) MSL 377",F-WS-T,9.995888100000155
B00CDD,AlignedDimension,"Sinopec  A/R  920404  be Amended)",C-AR-T,Compass 5 000
B06C99,MText,"Exisiting Well Site",P-TXT,9.99588810000009
B06C9C,AlignedDimension,"Saturn  A/R  377",F-WS-T,Compass 5 000
B06CA1,BlockReference,"FLARE",AS-SYMBOL,4.997944050000045
B06CCA,BlockReference,"GAS",C-WS-S,4.997944050000045
B06CCB,BlockReference,"plspike",L-MON,4.997944050000045
B06CCC,BlockReference,"fdspike",L-MON,4.997944050000045
B06CCD,BlockReference,"plspike",L-MON,4.997944050000045
B06CCE,BlockReference,"fdspike",L-MON,4.997944050000045
B06CCF,BlockReference,"fdspike",L-MON,4.997944050000045
B06D5C,AlignedDimension,"Fortis  Power Line R/W  970077",F-EZE-T,Compass 5 000
B06D94,AlignedDimension,"Sinopec  A/R  920404  be Amended)",C-AR-T,Compass 5 000
B06DCF,AlignedDimension,"Saturn  Flow Line R/W  377",F-FLOWLINE-T,Compass 5 000
B06DDB,AlignedDimension,"Tidewater  P/L R/W  972 4492  970040",F-RW-T,Compass 5 000
B06E11,MText,"Saturn 6-33 (Surface) MSL 377",F-WS-T,9.995888100000155
