Handle,ObjType,Content,Layer,Extra
BD0258,BlockReference,"L-SECLBL",L-SECLBL,0.99951351
BD03B0,DBText,"Government Road Allowance",L-ROAD-T,10
BD03B1,DBText,"(Paved)",T-TEXT,10
BD04BE,MText,"Approximate Location of East Peace Gas Co-op Ltd.",AS-PIPE-UG-T,9.9951351
BD3923,MText,"102 St.",L-TITLEDB-T,9.9951351
BD3926,MText,"97 Ave.",L-TITLEDB-T,9.9951351
BD3927,MText,"102 St.",L-TITLEDB-T,9.9951351
BD3928,MText,"98 Ave.",L-TITLEDB-T,9.9951351
BD3929,MText,"103 St.",L-TITLEDB-T,9.9951351
BD392A,MText,"96 Ave.",L-TITLEDB-T,9.9951351
BD392B,MText,"Highway St.",L-TITLEDB-T,9.9951351
BD392D,MText,"99 Ave.",L-TITLEDB-T,9.9951351
BD392E,MText,"102 St.",L-TITLEDB-T,9.9951351
BD392F,MText,"104 St.",L-TITLEDB-T,9.9951351
BD3930,MText,"105 St.",L-TITLEDB-T,9.9951351
BD4092,DBText,"S.E.1/4 Sec. 24-81-21-W.5M.",C-SYMBOL,20
BD40A3,MText,"Lot 1 Plan 4604 KS",L-TITLEDB,10.00316580191299
BD40A4,DBText,"C. of T.",L-TITLEDB-T,10
BD40A5,MText,"101 St.",L-TITLEDB-T,9.9951351
BD4C45,MText,"Lot A Plan 802 1462",C-SYMBOL,20
BD51AD,DBText,"Buried Telus Cable",AS-TELUS,9.998299361782012
BD51B5,MText,"Hwy. 2",L-TITLEDB-T,9.998299361782014
BD52FB,MText,"Highway St.",L-TITLEDB-T,9.9951351
BD52FC,AlignedDimension,"3.00 Utility R/W  802 1463",C-EZE-T,Compass 5 000
BD5A31,MText,"SEE DETAIL",DETAIL-T,15.999999999999995
BD5C40,AlignedDimension,"6.10 Power Line R/W  6227 NY",C-EZE-T,Compass 5 000
BD6277,MText,"Panel",T-TEXT,9.9951351
BD6388,AlignedDimension,"2.00 Utility R/W  802 1463",C-EZE-T,Compass 5 000
BD63BC,MText,"98 Ave.",L-TITLEDB-T,9.9951351
BD63E2,MText,"Lot 1 Block 13",L-TITLEDB,9.9951351
BD63E3,MText,"Lot 2 Block 13",L-TITLEDB,9.9951351
BD65FF,MText,"Lot 3 Block 13",L-TITLEDB,9.9951351
BD6600,MText,"Lot 1 Block 14",L-TITLEDB,9.9951351
BD6601,MText,"Lot 1",L-TITLEDB,9.9951351
BD6602,MText,"Lot 2",L-TITLEDB,9.9951351
BD6603,MText,"Lot 3",L-TITLEDB,9.9951351
BD6604,MText,"Lot 4",L-TITLEDB,9.9951351
BD6605,MText,"Lot 5",L-TITLEDB,9.9951351
BD6606,MText,"Lot 6",L-TITLEDB,9.9951351
BD6607,MText,"Lot 7",L-TITLEDB,9.9951351
BD6608,MText,"Lot 8",L-TITLEDB,9.9951351
BD6609,MText,"Lot 9",L-TITLEDB,9.9951351
BD660A,MText,"Lot 10",L-TITLEDB,9.9951351
BD660B,MText,"Lot 11",L-TITLEDB,9.9951351
BD660C,MText,"Lot 10",L-TITLEDB,9.9951351
BD660D,MText,"Lot 9",L-TITLEDB,9.9951351
BD671A,MText,"Lot 8",L-TITLEDB,9.9951351
BD671B,MText,"Lot 7",L-TITLEDB,9.9951351
BD671C,MText,"Lot 6",L-TITLEDB,9.9951351
BD671D,MText,"Lot 5",L-TITLEDB,9.9951351
BD671E,MText,"Lot 4",L-TITLEDB,9.9951351
BD671F,MText,"Lot 3MSR",L-TITLEDB,9.9951351
BD6722,MText,"Lot 2",L-TITLEDB,9.9951351
BD6723,MText,"Lot 1",L-TITLEDB,9.9951351
BD6724,MText,"Lot 3",L-TITLEDB,9.9951351
BD6725,MText,"Lot 4",L-TITLEDB,9.9951351
BD6726,MText,"Lot 1",L-TITLEDB,9.9951351
BD6727,MText,"Lot 2",L-TITLEDB,9.9951351
BD6728,MText,"Lot 10",L-TITLEDB,9.9951351
BD6729,MText,"Lot 2 Block 10 Plan 972 4460",L-TITLEDB,9.9951351
BD672A,MText,"Lot 9",L-TITLEDB,9.9951351
BD672B,MText,"Lot 8",L-TITLEDB,9.9951351
BD672C,MText,"Lot 7",L-TITLEDB,9.9951351
BD672D,MText,"Lot 1 Block 2 Plan 3988 MC",L-TITLEDB,9.9951351
BD710E,MText,"Lot 6",L-TITLEDB,9.9951351
BD7116,MText,"Lot 47",L-TITLEDB,9.9951351
BD7117,MText,"Lot 48",L-TITLEDB,9.9951351
BD7118,MText,"Lot 16",L-TITLEDB,9.9951351
BD7119,MText,"Lot 15",L-TITLEDB,9.9951351
BD711A,MText,"Lot 14",L-TITLEDB,9.9951351
BD711B,MText,"Lot 13",L-TITLEDB,9.9951351
BD711C,MText,"Lot 12",L-TITLEDB,9.9951351
BD711D,MText,"Lot 11",L-TITLEDB,9.9951351
BD711E,MText,"Lot 10",L-TITLEDB,9.9951351
BD711F,MText,"Lot 9",L-TITLEDB,9.9951351
BD7120,MText,"Lot 8",L-TITLEDB,9.9951351
BD7121,MText,"Lot 7",L-TITLEDB,9.9951351
BD721D,MText,"Lot 46",L-TITLEDB,9.9951351
BD721E,MText,"Lot 45",L-TITLEDB,9.9951351
BD7319,MText,"Lot 44",L-TITLEDB,9.9951351
BD731A,MText,"Lot 43",L-TITLEDB,9.9951351
BD731B,MText,"Lot 42",L-TITLEDB,9.9951351
BD731C,MText,"Lot 41",L-TITLEDB,9.9951351
BD731D,MText,"Lot 40",L-TITLEDB,9.9951351
BD731E,MText,"Lot 39",L-TITLEDB,9.9951351
BD731F,MText,"Lot 38",L-TITLEDB,9.9951351
BD7320,MText,"Lot 37",L-TITLEDB,9.9951351
BD7321,MText,"Lot 36",L-TITLEDB,9.9951351
BD732A,MText,"Lot 35",L-TITLEDB,9.9951351
BD732B,MText,"Lot 34",L-TITLEDB,9.9951351
BD7426,MText,"Lot 33",L-TITLEDB,9.9951351
BD742A,MText,"Lot 32",L-TITLEDB,9.9951351
BD742B,MText,"Lot 31",L-TITLEDB,9.9951351
BD742C,MText,"Lot 30",L-TITLEDB,9.9951351
BD742D,MText,"Lot 29",L-TITLEDB,9.9951351
BD742E,MText,"Lot 28",L-TITLEDB,9.9951351
BD742F,MText,"Lot 27",L-TITLEDB,9.9951351
BD7430,MText,"Lot 26",L-TITLEDB,9.9951351
BD7433,MText,"Lot 25",L-TITLEDB,9.9951351
BD7434,MText,"Lot 24",L-TITLEDB,9.9951351
BD7435,MText,"Lot 23",L-TITLEDB,9.9951351
BD7436,MText,"Lot 22",L-TITLEDB,9.9951351
BD7531,MText,"Lot 21",L-TITLEDB,9.9951351
BD7532,MText,"Lot 20",L-TITLEDB,9.9951351
BD7533,MText,"Lot 47MSR",L-TITLEDB,9.9951351
BD7534,MText,"Lot 6",L-TITLEDB,9.9951351
BD7535,MText,"Lot 5",L-TITLEDB,9.9951351
BD7536,MText,"Lot 4",L-TITLEDB,9.9951351
BD7538,MText,"Lot 3",L-TITLEDB,9.9951351
BD7539,MText,"Lot 2",L-TITLEDB,9.9951351
BD753A,MText,"Lot 1",L-TITLEDB,9.9951351
BD758D,DBText,"C. of T.",L-TITLEDB-T,9.9951351
BD768E,MText,"Block 5  Plan 4400 MC",L-TITLEDB,9.9951351
BD768F,MText,"Lot 3 Block 5  Plan 102 6183",L-TITLEDB,9.9951351
BD7690,MText,"Lot 10",L-TITLEDB,9.9951351
BD7691,MText,"Lot 9",L-TITLEDB,9.9951351
BD7692,MText,"Lot 8",L-TITLEDB,9.9951351
BD7693,MText,"Lot 7",L-TITLEDB,9.9951351
BD7697,MText,"Lot 6",L-TITLEDB,9.9951351
BD7698,MText,"Lot 5",L-TITLEDB,9.9951351
BD7699,MText,"Lot 4",L-TITLEDB,9.9951351
BD769A,MText,"Lot 3",L-TITLEDB,9.9951351
BD769B,MText,"Lot 2",L-TITLEDB,9.9951351
BD769C,MText,"Lot 1",L-TITLEDB,9.9951351
BD769D,MText,"Lot 13",L-TITLEDB,9.9951351
BD769E,MText,"Lot 12",L-TITLEDB,9.9951351
BD769F,MText,"Lot 11",L-TITLEDB,9.9951351
BD76A0,MText,"Lot 10",L-TITLEDB,9.9951351
BD76A1,MText,"Lot 9",L-TITLEDB,9.9951351
BD7896,MText,"Lot 1",L-TITLEDB,9.9951351
BD7898,MText,"Lot 2",L-TITLEDB,9.9951351
BD7899,MText,"Lot 4",L-TITLEDB,9.9951351
BD789A,MText,"Lot 3",L-TITLEDB,9.9951351
BD789B,DBText,"C. of T.",L-TITLEDB-T,9.9951351
BD789C,DBText,"C. of T.",L-TITLEDB-T,9.9951351
BD789E,MText,"Highway St.",L-TITLEDB-T,9.9951351
BD78A2,MText,"Block A Plan 2979 KS",L-TITLEDB-T,9.9951351
BD78A3,MText,"Block B Plan 5660 MC",L-TITLEDB-T,9.9951351
BD79A0,MText,"103 St.",L-TITLEDB-T,9.9951351
BD7FFD,MText,"Lot 1",L-TITLEDB,9.9951351
BD7FFF,MText,"Lot 5",L-TITLEDB,9.9951351
BD8000,MText,"Lot 2",L-TITLEDB,9.9951351
BD8001,MText,"Lot 4",L-TITLEDB,9.9951351
BD8002,MText,"Lot 3",L-TITLEDB,9.9951351
BD80FD,MText,"Lot 24",L-TITLEDB,9.9951351
BD80FE,MText,"Lot 23",L-TITLEDB,9.9951351
BD80FF,MText,"Lot 22",L-TITLEDB,9.9951351
BD8100,MText,"Lot 21",L-TITLEDB,9.9951351
BD8102,MText,"Lot 1",L-TITLEDB,9.9951351
BD8103,MText,"Lot 2",L-TITLEDB,9.9951351
BD8104,MText,"Lot 3",L-TITLEDB,9.9951351
BD8105,MText,"Lot 4",L-TITLEDB,9.9951351
BD8107,MText,"Lot 1",L-TITLEDB,9.9951351
BD8108,MText,"Lot 2",L-TITLEDB,9.9951351
BD8109,MText,"Lot 3",L-TITLEDB,9.9951351
BD810A,MText,"Lot 4",L-TITLEDB,9.9951351
BD810B,MText,"Lot 5",L-TITLEDB,9.9951351
BD810C,MText,"Lot 6",L-TITLEDB,9.9951351
BD810D,MText,"Lot 19",L-TITLEDB,9.9951351
BD810E,MText,"Lot 18",L-TITLEDB,9.9951351
BD810F,MText,"Lot 17",L-TITLEDB,9.9951351
BD8110,MText,"Lot 21",L-TITLEDB,9.9951351
BD8112,MText,"Lot 20",L-TITLEDB,9.9951351
BD9D52,MText,"Road Plan 4290 JY",L-TITLEDB-T,9.9951351
BD9E93,BlockReference,"dyn_CAP",P-PROPOSED,4.99756755
BDCA06,MText,"DETAIL SCALE 1:500",DETAIL-T,19.9902702
BDCF78,MText,"LOCATION PLAN SCALE 1:5000",DETAIL-T,20
BDD410,BlockReference,"Disclaimer_Legal",C-AR-T,0.2
