Handle,ObjType,Content,Layer,Extra
BCBCD2,AlignedDimension,"PMC  P/L R/W  4232 NY",F-RW-T,Compass 5 000
BCBD00,MText,"BAYTEX 5-6",F-WS-T,9.999999999999996
BCBD01,AlignedDimension,"BAYTEX  A/R",F-AR-T,Compass 5 000
BCBD3B,MText,"BAYTEX 4-6",F-WS-T,9.999999999999996
BCBD3C,AlignedDimension,"BAYTEX  A/R",F-AR-T,Compass 5 000
BCC535,AlignedDimension,"BAYTEX  A/R",F-AR-T,Compass 5 000
BCC551,MText,"BAYTEX 3-6",F-WS-T,9.999999999999996
BCCDA9,AlignedDimension,"BAYTEX  P/L R/W  872 0030",F-RW-T,Compass 5 000
BCCDE2,AlignedDimension,"BAYTEX  P/L R/W  842 2539",F-RW-T,Compass 5 000
BCCE13,AlignedDimension,"SIGNALTA  P/L R/W  892 1056",F-RW-T,Compass 5 000
BCCE45,MText,"LOT 2 BLOCK 1 PLAN 102 2809",L-TITLEDB-T,9.992045070000017
BCCE46,MText,"LOT 1 BLOCK 1 PLAN 102 2809",L-TITLEDB-T,9.992045070000017
BCD61E,BlockReference,"L-SECLBL",L-SECLBL,1
BCD625,DBText,"S.W.1/4 SEC. 6-57-24-W.4M.",C-SYMBOL,20
BCDE37,MText,"TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999996
BCDE38,MText,"TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999996
BCDE4B,MText,"RGE. RD. 250",L-ROAD-T,9.999999999999996
BCDE4C,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999996
BCDE4D,MText,"TWP. RD. 570",L-ROAD-T,9.999999999999996
BCDE4E,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999996
BD814D,MText,"LOT 1 BLOCK 2 PLAN 092 1199",L-TITLEDB-T,9.992045070000017
BD814E,MText,"LOT 2 BLOCK 2 PLAN 092 1199",L-TITLEDB-T,9.992045070000017
BD814F,MText,"LOT 7 BLOCK 2 PLAN 092 1204",L-TITLEDB-T,9.992045070000017
BD8152,MText,"LOT 2 BLOCK 1 PLAN 252 0188",L-TITLEDB-T,9.992045070000017
BD8156,AlignedDimension,"CN  RAILWAY  1968 CL",L-TITLEDB-T,Compass 5 000
BD8162,MText,"LOT 2 BLOCK 1 PLAN 252 0188",L-TITLEDB-T,9.992045070000017
BD8967,MText,"LOT 2 BLOCK 2 PLAN 132 2991",L-TITLEDB-T,9.992045070000017
BD8968,MText,"LOT 3 BLOCK 2 PLAN 132 2991",L-TITLEDB-T,9.992045070000017
