Handle,ObjType,Content,Layer,Extra
BEF1FD,DBText,"A",FEATURE_LABEL,11.050000190734863
BEF250,DBText,"NE35 11-5-4",FEATURE_LABEL,15.149999618530273
BEF294,DBText,"NW35 11-5-4",FEATURE_LABEL,15.149999618530273
BEF345,DBText,"821 1520",FEATURE_LABEL,11.050000190734863
BEF35A,DBText,"951 1470",FEATURE_LABEL,15.149999618530273
BEF36E,DBText,"961 2483",FEATURE_LABEL,4.650000095367432
BEF36F,DBText,"961 2483",FEATURE_LABEL,4.650000095367432
BEF404,DBText,"001 0945",FEATURE_LABEL,4.650000095367432
BEF405,DBText,"001 0945",FEATURE_LABEL,4.650000095367432
BEF406,DBText,"001 0945",FEATURE_LABEL,4.650000095367432
BEF407,DBText,"001 0945",FEATURE_LABEL,4.650000095367432
BF4487,DBText,"NE35 11-5-4",FEATURE_LABEL,15.149999618530273
BFD2D8,BlockReference,"FDI",L-MON-1000,1
BFD2E2,BlockReference,"FDI",L-MON-1000,1
BFD2E7,BlockReference,"FDI",L-MON-1000,1
BFD2F1,BlockReference,"FDI",L-MON-1000,1
BFD300,BlockReference,"FDI",L-MON-1000,1
BFD305,BlockReference,"FDI",L-MON-1000,1
BFD30A,BlockReference,"FDI",L-MON-1000,1
BFD30F,BlockReference,"FDI",L-MON-1000,1
BFD314,BlockReference,"FDI",L-MON-1000,1
BFD31E,BlockReference,"FDI",L-MON-1000,1
BFD323,BlockReference,"FDI",L-MON-1000,1
BFD328,BlockReference,"FDI",L-MON-1000,1
BFD32D,BlockReference,"FDI",L-MON-1000,1
BFD332,BlockReference,"FDI",L-MON-1000,1
BFE4AD,BlockReference,"*U194",AS-WILDLIFE-BLOCK,0.9997577874181516
BFE4BC,BlockReference,"HRV_Box",CG-NOTES,0.9997577874181516
BFE4C4,BlockReference,"HRV_Box",CG-NOTES-1000,0.20006321919999956
BFE4C8,BlockReference,"L-SECLBL",L-SECLBL,0.9997577874181516
BFE4CF,DBText,"N.E.1/4 SEC. 35-11-5-W.4M.",C-SYMBOL,19.99515574836302
BFE4D0,DBText,"PROJECT AREA = 0.881 HA  2.18 AC.",L-AREAREQUIRED,10.99733566159966
BFE4D1,BlockReference,"*U20",AS-WILDLIFE-BLOCK-1000,0.20006321919999956
BFE4EF,BlockReference,"*U193",AS-WILDLIFE-BLOCK-1000,0.20006321919999956
BFE4FE,MText,"SENSITIVE SNAKE SPECIES RANGE BOUNDARY",AS-WILDLIFE-BLOCK,9.997577874181507
BFE500,MText,"SENSITIVE SNAKE SPECIES RANGE BOUNDARY",AS-WILDLIFE-1000,1.998883735682989
BFE502,BlockReference,"*U21",AS-OWNER,0.9997577874181516
BFE52C,MText,"THE W.1/2 OF THE N.W.1/4 SEC. 35-11-5-W.4M.",C-SYMBOL,19.99515574836302
BFE52E,MText,"THE E.1/2 OF THE N.W.1/4 SEC. 35-11-5-W.4M.",C-SYMBOL,19.99515574836302
