Handle,ObjType,Content,Layer,Extra
BEFCEA,BlockReference,"L-SECLBL",L-SECLBL,1
BEFCF3,BlockReference,"L-SECLBL",L-SECLBL,1
BEFEFC,AlignedDimension,"APEX  P/L R/W  822 2964",C-RW-T,Compass 5 000
BEFEFD,AlignedDimension,"45.72 ROAD  2428 JY",L-TITLEDB-T,Compass 5 000
BEFEFE,MText,"DYKE R/W PLAN 4684 TR",L-TITLEDB-T,9.999999999999991
BEFF01,AlignedDimension,"10.06 ACCESS R/W  4684 TR",F-AR-T,Compass 5 000
BEFFCF,MText,"HWY. 18",L-ROAD-T,9.992523969999992
BEFFD1,DBText,"N.E.1/4 SEC. 5-60-1-W.5M.",C-SYMBOL,19.999999999999886
BF01B0,MText,"DYKE R/W PLAN 4684 TR",L-TITLEDB-T,9.999999999999991
BF01E9,MText,"PEMBINA RIVER",T-WATER-T,9.992523969999992
BF25EA,MText,"PEMBINA RIVER",T-WATER-T,9.992523969999992
BF25EC,MText,"PEMBINA RIVER",T-WATER-T,9.992523969999992
BF3475,MText,"APEX METER STATION PLAN 812 2245",C-RW-T,8.986293568751664
BF3478,AlignedDimension,"APEX  P/L R/W  822 2964",C-RW-T,Compass 5 000
BF3479,AlignedDimension,"APEX  P/L R/W  822 2964",C-RW-T,Compass 5 000
BF347A,AlignedDimension,"45.72 ROAD  2428 JY",L-TITLEDB-T,Compass 5 000
BF347B,AlignedDimension,"5.00 ROAD  062 1656",L-TITLEDB-T,Compass 5 000
BF347C,MText,"EXTRA ROAD C PLAN 062 1656",L-TITLEDB-T,9.999999999999991
BF347E,MText,"EXTRA ROAD D PLAN 062 1656",L-TITLEDB-T,9.999999999999991
BF3482,AlignedDimension,"50.00 ROAD  052 1270",L-TITLEDB-T,Compass 5 000
BF3483,MText,"EXTRA ROAD A PLAN 052 1270",L-TITLEDB-T,9.999999999999991
BF3485,AlignedDimension,"40.23 ROAD  2428 JY",L-TITLEDB-T,Compass 5 000
BF3486,MText,"BLOCK 1 PLAN 664 KS",L-TITLEDB-T,9.999999999999991
