Handle,ObjType,Content,Layer,Extra
AFA09E,BlockReference,"L-SECLBL",L-SECLBL,1
AFA0A4,BlockReference,"L-SECLBL",L-SECLBL,1
AFBDFC,MText,"Pieridae Compressor Site Plan 021 1284 MSL 010229",F-WS-T,10
AFBE06,MText,"Canlin Compressor Site PIL 179 (Expired)",C-WS-T,10
AFBE78,MText,"Canlin Riser Site PIL 030158",C-WS-T,10
AFBE7B,MText,"Taqa Riser Site PIL 170347",F-WS-T,10
AFFB0F,MText,"Canlin Riser Site PIL 830051",C-WS-T,10
B03C54,MText,"Pieridae Riser Site PIL 070231",F-WS-T,10
B04CE2,MText,"Pieridae Riser Site PIL 070230",F-WS-T,10
B05F9E,MText,"Pieridae Compressor Site MSL 220365",F-WS-T,10
B06875,MText,"Canlin Riser Site PIL 990195",C-WS-T,10
B068DA,MText,"Pieridae Heater Site PIL 220099",F-WS-T,10
B095B2,MText,"Canlin 5-8 (Surface) MSL 770962",C-WS-T,10
B09E57,MText,"Canlin 5-8 (Surface) MSL 031247",C-WS-T,10
B0B1C1,MText,"Canlin 11-7 (Surface) MSL 802090",C-WS-T,10
B0D505,MText,"Pieridae 3.00 A/R LOC 220415",F-AR-T,10
B0E692,MText,"Canlin Riser Site PIL 990194",C-WS-T,10
B0E694,MText,"Canlin Riser Site Plan 881 0672 PIL 870067",C-WS-T,10
B0E696,MText,"Pieridae Meter Station PIL 220095",F-WS-T,10
B19C72,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C77,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C78,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C79,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7A,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7B,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7C,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7D,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7E,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C7F,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C80,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C81,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C82,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C83,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C84,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C85,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B19C86,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B1A4B0,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B1A4B1,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B1A4B2,MText,"30m BUFFER",P-BUFFER-CIOOC-T,8.995259070000026
B1D93B,MText,"Forestry Trunk Rd. Hwy 734",L-TITLEDB-T,10
B1D93D,BlockReference,"hwy_sec",L-MON,1
B1D940,BlockReference,"blk_hwy",AUX-LABELS,7.503941295086527
B1D980,DBText,"FALLENTIMBER CREEK",T-WATER-T,10.005154055059856
B1D981,DBText,"HAROLD CREEK",T-WATER-T,10.005154055059856
B1D982,DBText,"GREASE CREEK",T-WATER-T,10.005154055059856
B1D983,DBText,"LITTLE RED DEER RIVER",T-WATER-T,10.005154055059856
B1D984,DBText,"WAIPAROUS CREEK",T-WATER-T,10.005154055059856
B1D985,DBText,"FALLENTIMBER CREEK",T-WATER-T,10.005154055059856
B1D987,BlockReference,"*U29",CG-NOTES,0.99947138
B29BDC,BlockReference,"*U30",ROUTE-MAP-LABELS,0.9989208513093729
B2A514,MText,"Canlin 20.12 P/L R/W Plan 7454 JK PLA 3822",C-RW-T,10
B2A51A,MText,"Canlin 10.06 P/L R/W Plan 761 1201 PLA 760194",C-RW-T,10
B2A520,MText,"Canlin 15.00 P/L R/W Plan 871 1014 PLA 870129",C-RW-T,10
B2A526,MText,"Canlin 15.00 P/L R/W Plan 021 1436 PLA 012821",C-RW-T,10
B2A52C,MText,"Canlin 20.00 P/L R/W PLA 042350",C-RW-T,10
B2A532,MText,"Canlin 20.00 P/L R/W PLA 042350",C-RW-T,10
B2A538,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A53E,MText,"Canlin 20.00 P/L R/W Plan 851 0260 PLA 830577",C-RW-T,10
B2A544,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A54A,MText,"Canlin 20.00 P/L R/W Plan 851 0260 PLA 830577",C-RW-T,10
B2A550,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A556,MText,"Canlin 20.00 P/L R/W PLA 042350",C-RW-T,10
B2A55C,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A562,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A567,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A56C,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A571,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A576,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A57B,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A580,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A585,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A58A,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
B2A590,MText,"Canlin 15.00 P/L R/W Plan 051 2177 PLA 991396",C-RW-T,10
