Handle,ObjType,Content,Layer,Extra
AF37C2,BlockReference,"L-SECLBL",L-SECLBL,0.9994790000000018
AF395A,MText,"L.S. 9",L-SECTION-LSD,9.99479
AF395C,MText,"L.S. 10",L-SECTION-LSD,9.99479
AF395E,MText,"L.S. 16",L-SECTION-LSD,9.99479
AF3960,MText,"L.S. 15",L-SECTION-LSD,9.99479
AF396D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99479
AF396E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99479
AF4263,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99166399999997
AF7D9D,AlignedDimension,"Nova  P/L R/W  2425 RS  3468",F-RW-T,Compass 5 000
AF881C,AlignedDimension,"Nova  P/L R/W  2632 RS  3545",F-RW-T,Compass 5 000
AF8850,AlignedDimension,"Nova  P/L R/W  982 3294  951451",F-RW-T,Compass 5 000
AF9165,AlignedDimension,"Alliance  P/L R/W  012 4908  982534",F-RW-T,Compass 5 000
AF9340,AlignedDimension,"ATCO  Power Line R/W  000074",F-RW-T,Compass 5 000
AF94FF,AlignedDimension,"ATCO  Power Line R/W  810195",F-RW-T,Compass 5 000
AF9DF9,AlignedDimension,"ATCO  Power Line R/W  820130",F-RW-T,Compass 5 000
AF9E3C,AlignedDimension,"CNRL  A/R  2742",C-AR-T,Compass 5 000
AFA73E,AlignedDimension,"CNRL  A/R  3364",C-AR-T,Compass 5 000
AFB91A,MText,"CNRL 15-7 (Surface) MSL 5340 (Expired)",C-WS-T,9.994790000000004
AFC20F,MText,"CNRL Plant Site Extension Plan 832 2312 MSL 130053",C-WS-T,9.994790000000004
AFC210,MText,"CNRL Plant Site Plan 2570 RS MSL 130053",L-TITLEDB-T,9.994790000000004
B007DD,AlignedDimension,"CNRL  P/L R/W  2954 RS  3736",C-RW,Compass 5 000
B010F2,AlignedDimension,"CNRL  P/L R/W  3038 RS  3797",C-RW-T,Compass 5 000
B01982,AlignedDimension,"HWN  P/L R/W  121179",F-RW-T,Compass 5 000
B02224,AlignedDimension,"HWN  P/L R/W  150279  240505",F-RW-T,Compass 5 000
B043CD,AlignedDimension,"CNRL  P/L R/W  802 2863  812 1509  800402",C-RW,Compass 5 000
B04C54,AlignedDimension,"CNRL  P/L R/W  822 0940  800435",C-RW-T,Compass 5 000
B05610,AlignedDimension,"CNRL  P/L R/W  822 1228  810637",C-RW-T,Compass 5 000
B0577F,AlignedDimension,"CNRL  P/L R/W  902 2315  880715",C-RW-T,Compass 5 000
B06020,AlignedDimension,"CNRL  P/L R/W  062 1349  930761",C-RW-T,Compass 5 000
B07161,AlignedDimension,"CNRL  A/R  6298",C-AR-T,Compass 5 000
B08261,AlignedDimension,"CNRL  P/L R/W  952 2598  931449",C-RW-T,Compass 5 000
B08AEA,AlignedDimension,"Pembina  P/L R/W  3398 RS  3737",F-RW-T,Compass 5 000
B08B1B,AlignedDimension,"CNRL  P/L R/W  960925",C-RW-T,Compass 5 000
B093BD,AlignedDimension,"CNRL  P/L R/W  992 2197  961489",C-RW-T,Compass 5 000
B09407,MText,"Theor. N.E.1/4 Sec. 7-64-23-W.5M.",C-SYMBOL,19.98958
B0E8AB,MText,"Buried Telus Cable",AS-TELUS,9.994790000000004
B0FB19,BlockReference,"GABD",F-WS-S,4.997395000000003
B0FB1A,MText,"15-7 (Abd.)",F-WS-T,9.994790000000004
B14189,AlignedDimension,"Journey  P/L R/W  190408",F-RW-T,Compass 5 000
B219C9,MText,"Meter Site Plan 2632 RS DPI 169",F-WS-T,9.994790000000004
B249D0,BlockReference,"*U45",CG-NOTES,0.9994790000000018
B319E2,MText,"Nova",F-WS-T,9.994790000000004
B48FD3,MText,"30m Buffer",P-D56-EPZ,9.989612698780013
B48FE7,BlockReference,"water_source_star",0,0.998961269878001
B4959C,BlockReference,"*U46",CG-NOTES,0.9994790000000018
B6482E,BlockReference,"*U47",AS-WILDLIFE-BLOCK,1
B664C8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B664D5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B664DA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B664F3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B664F8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B66501,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B66506,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000009
B67E97,MText,"P.P 2",AS-POWER-T,9.989629689974029
B67E9A,MText,"P.P 3",AS-POWER-T,9.989629689974029
B67E9C,MText,"P.P 4",AS-POWER-T,9.989629689974029
B67E9D,MText,"P.P 1",AS-POWER-T,9.989629689974029
B681AF,BlockReference,"*U49",AS-POWER-T,0.9989616696724901
B682EA,AlignedDimension,"Arc  P/L R/W  822 0256  810603",F-RW-T,Compass 5 000
B6876D,MText,"7m High Grade  Gravel Road",T-TEXT,9.989629689974027
B68E28,AlignedDimension,"CNRL  A/R  801224",C-AR-T,Compass 5 000
B6BBA2,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.3
