Handle,ObjType,Content,Layer,Extra
AF1920,BlockReference,"FDI",L-MON,5
AF1925,BlockReference,"FDI",L-MON,5
AF192A,BlockReference,"FDI",L-MON,5
AF192F,BlockReference,"plspike",L-MON,5
AF1934,BlockReference,"plspike",L-MON,5
AF1939,BlockReference,"plspike",L-MON,5
AF194B,BlockReference,"plspike",L-MON,5
AF1950,BlockReference,"plspike",L-MON,5
AF1955,BlockReference,"FDI",L-MON,5
AF2B73,BlockReference,"WC",L-MON,4.99812645
AF2B84,BlockReference,"L-SECLBL",L-SECLBL,0.99962529
AF2B8A,MText,"L.S. 9",L-SECTION-LSD,9.9962529
AF2B8C,MText,"L.S. 10",L-SECTION-LSD,9.9962529
AF2B8E,MText,"L.S. 16",L-SECTION-LSD,9.9962529
AF2B90,MText,"L.S. 15",L-SECTION-LSD,9.9962529
AF33A1,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99400464
AF34AD,BlockReference,"WC",L-SECLBL,4.99812645
AF3CF6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9962529
AF3CF7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9962529
AF3CF8,MText,"Theor. N.E.1/4 Sec. 12-67-5-W.6M.",C-SYMBOL,19.9925058
AF3CF9,AlignedDimension,"PGI  P/L R/W  022 1876  002215",F-RW-T,Compass 5 000
AF3D06,AlignedDimension,"CNRL  P/L R/W  092 7027  001141",C-RW-T,Compass 5 000
AF3D6D,AlignedDimension,"CNRL  P/L R/W  061496",C-RW-T,Compass 5 000
AF3D95,MText,"CNRL Riser Site PIL 061291",C-WS-T,9.9962529
AF45E1,BlockReference,"*U25",L-SECLBL,0.99962529
AF57A8,AlignedDimension,"CN  Railway  792 0875",L-TITLEDB-T,Compass 5 000
AF6006,AlignedDimension,"CSV Midstream  P/L R/W  190289",F-RW-T,Compass 5 000
AF6022,AlignedDimension,"Manitok  A/R  061723",F-AR-T,Compass 5 000
AF88D3,MText,"Fd.I. Mp.",L-MON,9.9962529
AF88D4,MText,"Fd.I. Mp.",L-MON,9.9962529
AF88EF,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9992513801602755
AF88F2,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.9992513801602755
AF88F5,MText,"CNRL 10-12(Surface) MSL 054397",C-WS-T,9.9962529
AF910B,MText,"30cm Poplar & Spruce",T-BUSH-T,9.996252900000021
AF910D,MText,"30cm  Poplar, Spruce  & Birch",T-BUSH-T,9.996252900000021
AF9111,MText,"30cm Poplar & Spruce",T-BUSH-T,9.996252900000021
AFE31F,AlignedDimension,"CNRL  A/R  052974",C-AR-T,Compass 5 000
AFE3AA,MText,"Culvert",T-TEXT,9.9962529
AFF1CB,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1CC,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1CD,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1CE,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1CF,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1D0,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1D1,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1D2,BlockReference,"AVE_RENDER",ASHADE,0.99962529
AFF1D6,BlockReference,"AVE_GLOBAL",ASHADE,0.99962529
B0018A,AlignedDimension,"CNRL  A/R  052974",C-AR-T,Compass 5 000
B0018B,AlignedDimension,"CNRL  P/L R/W  092 7027  001141",C-RW-T,Compass 5 000
B0018D,MText,"CNRL Riser Site PIL 061291",C-WS-T,9.9962529
B0018F,AlignedDimension,"PGI  P/L R/W  022 1876  002215",F-RW-T,Compass 5 000
B00190,MText,"CNRL 10-12(Surface) MSL 054397",C-WS-T,9.9962529
B00192,AlignedDimension,"CN  Railway  792 0875",L-TITLEDB-T,Compass 5 000
B00193,MText,"Culvert",T-TEXT,9.9962529
B00195,MText,"5m High Grade Gravel Road",T-TEXT,9.9962529
B00196,MText,"Small Permanent Creek",T-WATER-T,9.9962529
