Handle,ObjType,Content,Layer,Extra
BDD5CB,MText,"Twp. 58",D-TXT,13.993965999999784
BDD5EF,BlockReference,"L-SECLBL",L-SECLBL,0.9995689999999927
BDD5F8,DBText,"Pad Site = 2.890 ha  7.14 Ac.",L-AREAREQUIRED,10.995258999999875
BDD5F9,DBText,"Access Road = 0.681 ha  1.68 Ac.",L-AREAWORK,10.995258999999875
BDD61F,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999911
BDD620,MText,"Road  Plan 792 1608",L-TITLEDB,9.995689999999856
BDD636,MText,"Twp. 59",D-TXT,13.993965999999784
BDD637,MText,"Government Road Allowance",L-ROAD-T,9.999999999999911
BDD68F,BlockReference,"GABD",AS-DRILL-T,4.997844999999941
BDD690,MText,"Buried Trelus Cable",AS-TELUS,9.99568999999985
BDD692,MText,"Fortis O/H Power Line",AS-POWER,9.99568999999985
BDD695,MText,"Approximate Location of TRL Gas Co-op Ltd.",AS-PIPE-UG-T,9.99568999999985
BDD697,AlignedDimension,"Outlier  P/L R/W  112 1221  033923",C-RW-T,Compass 5 000
BDD698,AlignedDimension,"Fortis  Power Line R/W  240074",F-RW-T,Compass 5 000
BDD699,AlignedDimension,"Mayerthorpe  Vegetation Control R/W  920016",F-VCE-T,Compass 5 000
BDD69A,MText,"14-36 (Abd.)",F-WS-S,9.99568999999985
BDD69C,AlignedDimension,"30.48 Road  752 1704",L-TITLEDB-T,Compass 5 000
BDD69D,MText,"Lot 5 Block 1 Plan 112 1388",L-TITLEDB-T,9.99568999999985
BDD6A1,AlignedDimension,"10.36 Road  792 1608",L-TITLEDB-T,Compass 5 000
BDD6A2,AlignedDimension,"55.00 Road  842 2318",L-TITLEDB-T,Compass 5 000
BDD6A3,MText,"Lot 8 Block 1 Plan 952 5305",L-TITLEDB-T,9.99568999999985
BDD6A5,AlignedDimension,"5.00 Road  832 2947",L-TITLEDB-T,Compass 5 000
BDD6A6,MText,"Lot 9 Block 1 Plan 102 0445",L-TITLEDB-T,9.99568999999985
BDD6A8,MText,"Lot 11 Block 1 Plan 102 0445",L-TITLEDB-T,9.99568999999985
BDD6AA,MText,"Lot 4 Block 1 Plan 852 2203",L-TITLEDB-T,9.99568999999985
BDD6AC,MText,"Lot 1 Block 1 Plan 852 2203",L-TITLEDB-T,9.99568999999985
BDD6AD,MText,"Lot 1A Block 1 Plan 122 4999",L-TITLEDB-T,9.99568999999985
BDD6AF,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999911
BDD6B0,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999911
BDD6B2,BlockReference,"res_occ",AS-RESIDENCE,4.997844999999939
BDD6B3,BlockReference,"res_occ",AS-RESIDENCE,4.997844999999939
BDD6B6,MText,"Residence",AS-RESIDENCE,9.99568999999985
BDD6B8,MText,"Residence",AS-RESIDENCE,9.99568999999985
BDEE69,BlockReference,"FDI",L-MON,4.999999999999961
BDF1C2,MText,"N.W.1/4 Sec. 36-58-12-W.5M.",C-SYMBOL,19.99137999999967
BDFE69,MText,"Fd.I. Mp. R1",L-MON,9.99568999999985
BE000E,MText,"Culvert",T-TEXT,9.99568999999985
BE5AE9,MText,"L.S. 11",L-SECTION-LSD,9.995725599999934
BE5AEB,MText,"L.S. 12",L-SECTION-LSD,9.995725599999934
BE5AED,MText,"L.S. 14",L-SECTION-LSD,9.995725599999934
BE5AEE,MText,"L.S. 13",L-SECTION-LSD,9.995725599999934
BE5AF0,DBText,"Borrow Pit = 0.790 ha  1.95 Ac.",L-AREAWORK,10.995258999999875
BE6A1C,BlockReference,"FDI",L-MON,4.999999999999968
BE6A21,BlockReference,"plspike",L-MON,4.999999999999968
BE6A26,BlockReference,"plspike",L-MON,4.999999999999968
BE6A2B,BlockReference,"plspike",L-MON,4.999999999999968
BE6A30,BlockReference,"plspike",L-MON,4.999999999999968
BE6C23,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999968
BE6C44,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999968
BE6D61,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BE6D62,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BE6D63,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BE6D64,MText,"Top of Slope",T-TEXT,9.99572559999994
BE7C8F,MText,"Fd.I. Mp. R3",L-MON,9.99568999999985
BE7C96,DBText,"59'",L-BD,9.99572559999994
BE7C97,MText,"102.69 35''",L-BD,9.99572559999994
BE7C98,MText,"723.48 88°",L-BD,9.99572559999994
BE8460,BlockReference,"*U53",DETAIL-T,0.99957256
BE84A4,BlockReference,"*U54",DETAIL-T,0.99957256
BE84DD,DBText,"502.57 (Tie)",L-BD,9.99572559999994
BE84DE,DBText,"301°52'10''",L-BD,9.99572559999994
BE8563,BlockReference,"*U55",AS-OWNER,0.99957256
BEA3A0,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.99957256
BEBAB4,MText,"Twp. 58",D-TXT,13.993965999999784
BEBAC3,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999911
BEBAC4,MText,"Road  Plan 792 1608",L-TITLEDB,9.995689999999856
BEBACC,MText,"Twp. 59",D-TXT,13.993965999999784
BEBACD,BlockReference,"GABD",AS-DRILL-T,4.997844999999942
BEBACE,MText,"Fortis O/H Power Line",AS-POWER,9.99568999999985
BEBBF2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99786279999997
BEBC13,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99786279999997
BEBCBD,MText,"102.69 35''",L-BD,9.99572559999994
BEBCBF,AlignedDimension,"Fortis  Power Line R/W  240074",F-RW-T,Compass 5 000
BEBCC0,MText,"14-36 (Abd.)",F-WS-T,9.99568999999985
BEBCC2,AlignedDimension,"55.00 Road  842 2318",L-TITLEDB-T,Compass 5 000
BEBCC3,MText,"Lot 8 Block 1 Plan 952 5305",L-TITLEDB-T,9.99568999999985
BEBCC5,AlignedDimension,"5.00 Road  832 2947",L-TITLEDB-T,Compass 5 000
BEBCC7,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999911
BEBCC8,MText,"Culvert",T-TEXT,9.99568999999985
BEBCCB,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BEBCCD,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BEBCCF,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BEBCD5,BlockReference,"plspike",L-MON,4.99786279999997
BEBCD6,BlockReference,"plspike",L-MON,4.99786279999997
BEBCD7,BlockReference,"plspike",L-MON,4.99786279999997
BEBCD8,BlockReference,"plspike",L-MON,4.99786279999997
BEBD84,MText,"59'",L-BD,9.99572559999994
BEBD85,MText,"723.48 88°",L-BD,9.99572559999994
BEC69E,MText,"8m BUFFER",P-POWER BUFFER-T,9.99572559999994
BEC6AF,BlockReference,"*U60",P-TEMP-BLOCKS,0.99957256
BECF53,BlockReference,"*U68",AS-POWER-T,0.99957256
BECF94,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.99568999999985
BED0AE,DBText,"200m",AUX-BUFFER,9.99572559999994
BED90B,DBText,"178°59'35''",L-BD,9.99572559999994
BED90D,DBText,"212°47'00''",L-BD,9.99572559999994
BED921,DBText,"178°59'35''",L-BD,9.99572559999994
BED923,DBText,"00''",L-BD,9.99572559999994
BED92D,DBText,"502.57 (Tie)",L-BD,9.99572559999994
BED92E,DBText,"301°52'10''",L-BD,9.99572559999994
BED946,BlockReference,"we",P-ELEVATION,0.99957256
BED949,BlockReference,"we",P-ELEVATION,0.99957256
BEE19C,BlockReference,"we",P-ELEVATION,0.99957256
BEE19F,BlockReference,"we",P-ELEVATION,0.99957256
BEF35E,DBText,"47'",L-BD1,9.995725599999943
BEF360,DBText,"212°",L-BD1,9.995725599999943
BEF362,DBText,"302°47'00''",L-BD1,9.995725599999943
BEF364,DBText,"32°47'00''",L-BD1,9.995725599999943
BEF366,DBText,"122°47'00''",L-BD1,9.995725599999943
BEFCCB,BlockReference,"Center_Coords",CG-NOTES,1
BF057F,MText,"10-30cm Poplar",T-BUSH-T,9.99572559999994
BF4331,BlockReference,"*U63",CG-NOTES,1
BF4A3F,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,15.999999999999893
BF5B21,DBText,"100m",AUX-BUFFER,9.99572559999994
BF8F74,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999975
BFD000,MText,"Top of Slope",T-TEXT,9.99572559999994
BFD059,MText,"±1000m",0,9.99999999999995
BFD05B,MText,"±1000m",0,9.99999999999995
BFD05D,MText,"LINE OF SIGHT",0,9.99999999999995
BFD06C,BlockReference,"xing2",P-CROSSINGS,1
BFD073,BlockReference,"xing2",P-CROSSINGS,1
BFD087,MText,"Rge. 12",D-TXT,13.999999999999924
BFD088,MText,"Rge. 11",D-TXT,13.999999999999924
BFD5EB,MText,"Rge. 12",D-TXT,13.999999999999924
BFD5ED,MText,"Rge. 11",D-TXT,13.999999999999924
BFE988,BlockReference,"xing2",P-CROSSINGS,1
BFE98F,DBText,"Correction Line",L-ROAD-T,9.999999999999911
BFE990,DBText,"Pasture",T-TEXT,9.99999999999995
BFEF72,BlockReference,"xing2",P-CROSSINGS,1
BFEF7A,DBText,"156°29'35''",L-BD1,9.995725599999952
BFF4D1,AlignedDimension,"10.36 Road  792 1608",L-TITLEDB-T,Compass 5 000
BFF4F9,DBText,"Correction Line",L-ROAD-T,9.999999999999911
BFF51A,DBText,"Pasture",T-TEXT,9.99999999999995
C0251D,BlockReference,"TEMP",L-MON,4.999999999999977
C0251E,BlockReference,"TEMP",L-MON,4.999999999999977
C0251F,BlockReference,"TEMP",L-MON,4.999999999999977
C02520,BlockReference,"TEMP",L-MON,4.999999999999977
C02521,BlockReference,"TEMP",L-MON,4.999999999999977
C02522,BlockReference,"TEMP",L-MON,4.999999999999977
C02523,BlockReference,"TEMP",L-MON,4.999999999999977
C02524,BlockReference,"TEMP",L-MON,4.999999999999977
C03ED2,BlockReference,"*U60",P-TEMP-BLOCKS,0.99957256
C04B6C,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.99957256
C06C84,BlockReference,"TEMP",L-MON,4.997862799999979
C06C85,BlockReference,"TEMP",L-MON,4.997862799999979
C06C86,BlockReference,"TEMP",L-MON,4.997862799999979
C06CD2,MText,"Fd. No Mk. (N.1/4 36) Re-est by Plan 792 1608",L-MON,9.99568999999985
C06CD9,MText,"358°56'35" 10.36",L-BD,9.995725599999957
C0733D,DBText,"88°59'35"",L-BD,9.995725599999957
C07AE0,MText,"Fd.I. Mp. R1",L-MON,9.995689999999852
C07AE2,BlockReference,"FDI",L-MON,4.997862799999979
C07AE4,BlockReference,"TEMP",L-MON,4.997862799999979
C07AE5,BlockReference,"TEMP",L-MON,4.997862799999979
C07AEE,DBText,"88°59'35"",L-BD,9.995725599999957
C0814F,DBText,"88°59'35"",L-BD,9.995725599999957
C08166,MText,"Fd. No Mk.(R7) Re-est. by Plan 792 1608",L-MON,9.995689999999852
C08168,MText,"Fd. No Mk.(N.E. 35) Re-est. by Plan 792 1608",L-MON,9.995689999999852
C0816A,MText,"358°51'55" 10.36",L-BD,9.995725599999957
C0816D,DBText,"502.57 (Tie)",L-BD,9.99572559999994
C0816E,DBText,"301°52'10''",L-BD,9.99572559999994
C087D5,MText,"Government Road Allowance",L-ROAD-T,9.999999999999911
C08816,AlignedDimension,"Fortis  Power Line R/W  240074",F-RW-T,Compass 5 000
C0883D,AlignedDimension,"30.48 Road  752 1704",L-TITLEDB-T,Compass 5 000
C08861,AlignedDimension,"10.36 Road  792 1608",L-TITLEDB-T,Compass 5 000
C088CA,DBText,"88°59'35"",L-BD,9.995725599999957
C088CC,MText,"Fortis O/H Power Line",AS-POWER,9.99568999999985
C088CE,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.99568999999985
C09027,MText,"SEE DETAIL",L-DETAIL-T,15.999999999999893
C09032,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999911
C09033,DBText,"Correction Line",L-ROAD-T,9.999999999999911
C09034,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999911
C0C4B6,BlockReference,"*U69",DETAIL-T,0.99957256
C0CCA0,BlockReference,"WC",L-MON,4.9978627999999805
C0CCA1,BlockReference,"WC",L-MON,4.9978627999999805
C0CCA2,BlockReference,"WC",L-MON,4.9978627999999805
C0CCA3,BlockReference,"WC",L-MON,4.9978627999999805
C0CCA4,BlockReference,"WC",L-MON,4.9978627999999805
C0CCA5,BlockReference,"WC",L-MON,4.9978627999999805
C0F912,BlockReference,"L-SECLBL",L-SECLBL,0.99957256
C0F91A,BlockReference,"L-SECLBL",L-SECLBL,0.99957256
C0F9B9,BlockReference,"plbh",L-MON,4.997862799999982
C0F9BA,BlockReference,"plbh",L-MON,4.997862799999982
C10379,MText,"Bottom Hole",0,9.999999999999964
C1037B,MText,"Bottom Hole",0,9.999999999999964
C12EBB,BlockReference,"BH-Existing",AS-DRILL-T,4.999999999999984
C12F6C,MText,"Outlier 5-31 (Abd.)",F-WS-S,9.99568999999985
C12F6E,BlockReference,"GABD",AS-DRILL-T,4.997844999999941
C154A0,BlockReference,"L-SECLBL",L-SECLBL,1.9991451199999957
C154A7,BlockReference,"GABD",AS-DRILL-T,9.995625642743983
