Handle,ObjType,Content,Layer,Extra
AF3057,BlockReference,"L-SECLBL",L-SECLBL,0.9998020000000001
AF305D,DBText,"S.E.1/4 Sec. 27-74-11-W.6M.",C-SYMBOL,19.99604
AF3060,MText,"L.S. 1",L-SECTION-LSD,9.99802
AF3061,MText,"L.S. 2",L-SECTION-LSD,9.99802
AF3063,MText,"L.S. 8",L-SECTION-LSD,9.99802
AF3064,MText,"L.S. 7",L-SECTION-LSD,9.99802
AF3073,DBText,"Government Road Allowance",L-ROAD-T,9.99802
AF3074,DBText,"(High Grade Gravel)",T-TEXT,9.99802
AF307B,DBText,"Government Road Allowance",L-ROAD-T,9.99802
AF307C,DBText,"(High Grade Gravel)",T-TEXT,9.99802
AF491F,MText,"800m Trumpeter Swan Boundary",AS-WILDLIFE,9.99802
AF492A,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.99804999999999
AF4933,MText,"ATCO O/H Power Line",AS-POWER,9.998049999999994
AF4939,AlignedDimension,"20.0 Existing A/R",P-TXT,Compass 5 000
AF493A,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
AF493B,AlignedDimension,"CNRL  P/L R/W  992 1526",C-RW-T,Compass 5 000
AF493C,AlignedDimension,"CNRL  P/L R/W  012 6220",C-RW-T,Compass 5 000
AF493D,AlignedDimension,"CNRL  P/L R/W  012 2902",C-RW-T,Compass 5 000
AF493E,AlignedDimension,"CNRL  P/L R/W  132 0972",C-RW-T,Compass 5 000
AF493F,AlignedDimension,"CNRL  P/L R/W  112 0675",C-RW-T,Compass 5 000
AF4941,MText,"CNRL 1-27",C-WS-T,9.999999999999982
AF4942,MText,"CNRL 2-27",C-WS-T,9.999999999999982
AF4943,MText,"CNRL Riser Site",C-WS-T,9.999999999999982
AF4945,AlignedDimension,"Whitecap  P/L R/W  102 5758",F-RW-T,Compass 5 000
AF4946,AlignedDimension,"Tidewater  P/L R/W  962 1198",F-RW-T,Compass 5 000
AF4947,MText,"1SO/1-26 (Abd.)",F-WS-T,9.999999999999988
AF4952,BlockReference,"*U19",AS-OWNER,1
AF496D,BlockReference,"Gabd",F-WS-S,4.999999999999994
AF496F,BlockReference,"GAS",C-WS-S,4.999999999999991
AF4970,BlockReference,"GAS",C-WS-S,4.999999999999991
AF582F,AlignedDimension,"CNRL  P/L R/W  022 2020",C-RW-T,Compass 5 000
AF5D05,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
AF5D39,MText,"CNRL 9-27",C-WS-T,9.999999999999982
B1A9B9,BlockReference,"TEMP",L-MON,4.99901
B1AAFF,MText,"Existing Pad Site",P-TXT,9.99802000000007
B1AB09,MText,"Pad Site Extension",P-TXT,9.99802000000007
B1AB14,MText,"20.2 calc.",P-TXT,9.99802000000007
B1CB99,MText,"RP",35,9.99802
B1E407,DBText,"2°09'",L-BD1,9.99802
B28BD0,MText,"SEE DETAIL",DETAIL-T,15.996832000000012
B2B258,BlockReference,"TEMP",L-MON,4.99901
B2B279,BlockReference,"TEMP",L-MON,4.99901
B2B27D,BlockReference,"TEMP",L-MON,4.99901
B2B27F,BlockReference,"TEMP",L-MON,4.99901
B2B280,BlockReference,"TEMP",L-MON,4.99901
B2B370,BlockReference,"Gabd",F-WS-S,5
B2B62D,DBText,"781.6 (Tie)",L-BD,9.99802
B2B62E,DBText,"122°48'",L-BD,9.99802
B2BB7D,DBText,"272°11'",L-BD,9.99802
B2BC12,BlockReference,"GAS",C-WS-S,4.99901
B2BC14,BlockReference,"TEMP",L-MON,4.99901
B2BC16,BlockReference,"TEMP",L-MON,4.99901
B2BC1A,BlockReference,"TEMP",L-MON,4.99901
B2BC1C,BlockReference,"TEMP",L-MON,4.99901
B2BC1D,BlockReference,"TEMP",L-MON,4.99901
B2C2DD,MText,"Existing Pad Site",P-TXT,9.99802000000007
B2C2DF,MText,"N-S 1/4 Line",L-SECQ,9.999999999999982
B2C2E0,MText,"Pad Site Extension",P-TXT,9.99802000000007
B2C83F,MText,"CNRL 2-27",C-WS-T,9.999999999999982
B2C840,AlignedDimension,"CNRL  P/L R/W  022 2020",C-RW-T,Compass 5 000
B2C870,AlignedDimension,"20.0 Existing A/R",P-TXT,Compass 5 000
B2C89C,AlignedDimension,"CNRL  P/L R/W  132 0972",C-RW-T,Compass 5 000
B2C8CC,MText,"122°48'  781.6 (Tie)",L-BD,9.99802
B2C8D1,AlignedDimension,"CNRL  P/L R/W  992 1526",C-RW-T,Compass 5 000
B2C901,AlignedDimension,"CNRL  P/L R/W  112 0675",C-RW-T,Compass 5 000
B2C932,DBText,"2°",L-BD1,9.99802
B2C936,DBText,"09'",L-BD1,9.99802
B2CA25,DBText,"92°",L-BD1,9.99802
B2CA27,DBText,"09'",L-BD1,9.99802
B2CF7D,DBText,"92°09'",L-BD1,9.99802
B2CF80,MText,"33.2 182°09'",L-BD1,9.99802
B2CF83,MText,"10.0 272°09'",L-BD1,9.99802
B2CF87,DBText,"182°",L-BD1,9.99802
B2CF88,MText,"09'  23.2",L-BD1,9.99802
B30C56,MText,"Existing Pad Site = 2.022 ha  5.00 Ac. Existing Access Road = 0.496 ha  1.23 Ac. Pad Site Extension = 0.100 ha  0.25 Ac.",L-AREAREQUIRED,10.997822000000022
B369B7,BlockReference,"TEMP",L-MON,4.99901
B369B8,BlockReference,"TEMP",L-MON,4.99901
