Handle,ObjType,Content,Layer,Extra
AF532B,BlockReference,"FDI",L-MON,5
AF5330,BlockReference,"FDI",L-MON,5
AF53AE,BlockReference,"plspike",L-MON,4.99828915
AF53B8,BlockReference,"plspike",L-MON,4.99828915
AF53C2,BlockReference,"plspike",L-MON,4.99828915
AF53DB,BlockReference,"plspike",L-MON,4.99828915
AF5EB9,BlockReference,"L-SECLBL",L-SECLBL,0.99965783
AF7E6E,AlignedDimension,"Torxen  P/L R/W  991 2430",C-RW-T,Compass 5 000
AF8E78,BlockReference,"WC",L-MON,4.99828915
AF8E79,BlockReference,"WC",L-MON,4.99828915
AF8E7A,BlockReference,"WC",L-MON,4.99828915
AF8E7B,BlockReference,"WC",L-MON,4.99828915
AF8E96,DBText,"Cultivation",T-TEXT,9.9965783
AF8E9E,DBText,"Cultivation",T-TEXT,9.9965783
AF9692,MText,"L.S. 3",L-SECTION-LSD,9.9965783
AF9694,MText,"L.S. 4",L-SECTION-LSD,9.9965783
AF9696,MText,"L.S. 6",L-SECTION-LSD,9.9965783
AF9698,MText,"L.S. 5",L-SECTION-LSD,9.9965783
AF969A,DBText,"S.W.1/4 Sec. 17-24-20-W.4M.",C-SYMBOL,19.9931566
AF969B,DBText,"Pad Site = 1.705 ha  4.21 Ac.",L-AREAREQUIRED,10.99623613
AF969C,DBText,"Workspace = 0.330 ha  0.82 Ac.",L-AREAWORK,10.99623613
AF974F,BlockReference,"*U38",T-TIE-T,0.99965783
AF97F0,BlockReference,"*U39",AS-OWNER,0.99965783
AFA07C,MText,"200m",AUX-BUFFER,9.996578299999996
AFA07E,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,16
AFA080,MText,"100m",AUX-BUFFER,9.996578299999996
AFA8BE,DBText,"(High Grade Gravel)",T-TEXT,9.9965783
AFA8BF,DBText,"Government Road Allowance",L-ROAD-T,9.9965783
AFA8F5,DBText,"Government Road Allowance",L-ROAD-T,9.996578299999998
AFA8F6,DBText,"(Paved)",T-TEXT,9.996578299999998
AFA8F7,DBText,"Hwy. 561",L-ROAD-T,9.996578299999998
AFA8FB,BlockReference,"WC",L-MON,4.99828915
AFA8FC,BlockReference,"WC",L-MON,4.99828915
AFA8FD,BlockReference,"WC",L-MON,4.99828915
AFA8FE,BlockReference,"WC",L-MON,4.99828915
AFA902,BlockReference,"FDI",L-MON,4.99828915
AFA903,BlockReference,"plspike",L-MON,4.99828915
AFA904,BlockReference,"plspike",L-MON,4.99828915
AFA905,BlockReference,"plspike",L-MON,4.99828915
AFA906,BlockReference,"plspike",L-MON,4.99828915
AFB992,DBText,"1°22'50''",L-BD,9.9965783
AFC1C9,MText,"Fd.I. c.s. N.E. 7",L-MON-T,9.9965783
AFC1CB,MText,"Fd.I. c.s. E.1/4 18",L-MON-T,9.9965783
AFC1CD,DBText,"(High Grade Gravel)",T-TEXT,9.9965783
AFC1CE,DBText,"Government Road Allowance",L-ROAD-T,9.9965783
AFC1CF,MText,"100m",AUX-BUFFER,9.996578299999996
AFC1D3,DBText,"1°",L-BD,9.9965783
AFC1D4,DBText,"633.92 (Tie)",L-BD,9.9965783
AFC1D5,DBText,"193°13'30''",L-BD,9.9965783
AFC9E4,MText,"633.92 (Tie)",L-BD,9.9965783
AFC9E5,MText,"193°13'30''",L-BD,9.9965783
AFC9E8,DBText,"50''",L-BD,9.9965783
AFC9EA,DBText,"181°22'50''",L-BD,9.9965783
AFC9EC,DBText,"271°22'50''",L-BD,9.9965783
AFC9EE,DBText,"1°22'50''",L-BD,9.9965783
AFD205,BlockReference,"we",L-BD,0.99965783
AFD208,MText,"W/C 6-16(HZ)",L-BD1,9.996578299999918
AFD212,MText,"W/C 11-9(HZ)",L-BD1,9.996578299999918
AFD213,MText,"W/C 3-8(HZ)",L-BD1,9.996578299999918
AFD214,MText,"W/C 4-8(HZ)",L-BD1,9.996578299999918
AFDA1F,BlockReference,"we",L-BD,0.99965783
AFDA22,BlockReference,"we",L-BD,0.99965783
AFDA25,BlockReference,"we",L-BD,0.99965783
AFDA28,BlockReference,"we",L-BD,0.99965783
AFDA2B,BlockReference,"we",L-BD,0.99965783
AFDA2E,BlockReference,"we",L-BD,0.99965783
AFDA31,BlockReference,"we",L-BD,0.99965783
AFDA3C,MText,"15.0x110.0 Workspace",P-TEMP-T,9.996475299999894
AFE249,MText,"15.0x110.0 Workspace",P-TEMP-T,9.996475299999894
B078BA,BlockReference,"*U40",DETAIL-T,0.99965783
B078D7,BlockReference,"*U41",0,0.99965783
B0794B,BlockReference,"*U40",DETAIL-T,0.99965783
B09369,MText,"Fortis O/H Power Line",AS-POWER,9.996689791632887
B0936B,MText,"Buried Telus Cable",AS-TELUS,9.996689791632821
B0936D,AlignedDimension,"10.06 Road  2797 HO",L-TITLEDB-T,Compass 5 000
B0AFF0,MText,"E. - W. 1/4 Line",L-QSEC,9.996578299999877
B0C60C,BlockReference,"NEZD Point",AS-RESIDENCE,1
B0C611,BlockReference,"NEZD Point",AS-RESIDENCE,1
B0C616,BlockReference,"NEZD Point",AS-RESIDENCE,1
B0C61B,BlockReference,"NEZD Point",AS-RESIDENCE,1
B0FE48,MText,"Fd.I. c.s. E.1/4 18",L-MON-T,9.9965783
B0FE4A,BlockReference,"*U44",0,0.99965783
B0FE6B,DBText,"Cultivation",T-TEXT,9.9965783
B0FE6C,DBText,"Cultivation",T-TEXT,9.9965783
B16956,MText,"Lynx 16-7",F-AR,9.9965783
B1696B,DBText,"Cultivation",T-TEXT,9.9965783
B1696C,DBText,"Cultivation",T-TEXT,9.9965783
B16970,BlockReference,"TEMP",L-MON,4.99828915
B16E0A,BlockReference,"TEMP",L-MON,4.99828915
B16E0C,DBText,"50''",L-BD,9.9965783
B16E0D,DBText,"22'",L-BD,9.9965783
B16E0F,DBText,"91°",L-BD,9.9965783
B1726D,DBText,"22'",L-BD,9.9965783
B17286,MText,"±400m",0,9.9965783
B17288,MText,"±400m",0,9.9965783
B1728A,MText,"LINE OF SIGHT",0,9.9965783
B17347,BlockReference,"*U45",0,0.99965783
B1A2B7,BlockReference,"NEZD Point",L-MON,0.99965783
B1A2C1,BlockReference,"NEZD Point",L-MON,0.99965783
B1A2C6,BlockReference,"NEZD Point",L-MON,0.99965783
B1A2D0,BlockReference,"NEZD Point",L-MON,0.99965783
B1A2D5,BlockReference,"NEZD Point",L-MON,0.99965783
B1A2E4,BlockReference,"NEZD Point",L-MON,0.99965783
B1A77F,BlockReference,"plbh",L-MON,4.99828915
B1A780,BlockReference,"plbh",L-MON,4.99828915
