Handle,ObjType,Content,Layer,Extra
BC865B,BlockReference,"L-SECLBL",L-SECLBL,0.9997390000000119
BCA223,AlignedDimension,"NGTL  P/L R/W  022 3091",F-RW-T,Compass 5 000
BCA265,AlignedDimension,"CSV  P/L R/W  Plan by  Compass",F-RW-T,Compass 5 000
BCA2CA,AlignedDimension,"CSV  A/R",F-AR-T,Compass 5 000
BCA407,MText,"CSV Riser Site",F-WS-T,9.997390000000067
BCA415,AlignedDimension,"7.62 Road  972 0076",L-TITLEDB-T,Compass 5 000
BCA6CE,AlignedDimension,"Whitecap  P/L R/W  142 1570",F-RW-T,Compass 5 000
BCA6F6,AlignedDimension,"NGTL  P/L R/W  912 0365",F-RW-T,Compass 5 000
BCA74F,DBText,"(High Grade Gravel)",T-TEXT,9.997390000000067
BCA75A,DBText,"Government Road Allowance",L-ROAD-T,9.997390000000067
BCA863,AlignedDimension,"Whitecap  P/L R/W  002 4289",F-RW-T,Compass 5 000
BCA88B,AlignedDimension,"NGTL  P/L R/W  822 1385",F-RW-T,Compass 5 000
BCA8B3,AlignedDimension,"NGTL  P/L R/W  892 0375  912 3572",F-RW-T,Compass 5 000
BCA8FF,AlignedDimension,"Whitecap  P/L R/W  942 0227",F-RW-T,Compass 5 000
BCA930,AlignedDimension,"Alliance  P/L R/W  002 3896",F-RW-T,Compass 5 000
BCA989,AlignedDimension,"NGTL  P/L R/W  892 1122",F-RW-T,Compass 5 000
BCABEE,AlignedDimension,"Alliance  P/L R/W  012 1688",F-RW-T,Compass 5 000
BCAC79,MText,"Alliance Meter Station Site Plan 012 5733",F-WS-T,9.99739000000007
BCAE2F,AlignedDimension,"Atco  Power Line R/W  272 522",F-EZE-T,Compass 5 000
BCAE30,AlignedDimension,"Whitecap  P/L R/W  152 2293",F-RW-T,Compass 5 000
BCAEF2,AlignedDimension,"Whitecap  P/L R/W  932 3666",F-RW-T,Compass 5 000
BCAFCB,MText,"Astara 16-20 (Surface)",F-WS-T,9.997550000000086
BCAFE4,AlignedDimension,"Whitecap  A/R",F-AR-T,Compass 5 000
BCB015,AlignedDimension,"Atco Gas  Utility R/W  224 188",F-EZE-T,Compass 5 000
BCB063,MText,"Surge Riser SIte",F-WS-T,9.997550000000086
BCB185,AlignedDimension,"Astara  A/R",F-AR-T,Compass 5 000
BCB1A3,DBText,"(8m High Grade Gravel)",T-TEXT,9.997390000000067
BCB1A4,DBText,"Government Road Allowance",L-ROAD-T,9.997390000000067
BCB398,AlignedDimension,"NGTL  P/L R/W  022 3091",F-RW-T,Compass 5 000
BCB3BC,AlignedDimension,"CSV  P/L R/W  Plan by",F-RW-T,Compass 5 000
BCB4FE,DBText,"Cultivation",T-TEXT,9.997550000000087
BCB500,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.00000000000027
BCBAA1,AlignedDimension,"NGTL  P/L R/W  Plan  by Universal",F-RW-T,Compass 5 000
BCBC26,AlignedDimension,"CNRL  P/L R/W  162 2062",C-RW-T,Compass 5 000
BCBC27,AlignedDimension,"Surge  P/L R/W  172 0719",F-RW-T,Compass 5 000
BCBC88,AlignedDimension,"Whitecap  A/R",F-AR-T,Compass 5 000
BCBC89,MText,"Whitecap 15-20",F-WS-T,9.99755000000009
BCBDFB,MText,"Whitecap 1-29",F-WS-T,9.99755000000009
BCC4BE,BlockReference,"GAS",F-WS-S,5.000000000000043
BCC4BF,BlockReference,"GAS",F-WS-S,5.000000000000043
BCC4C0,BlockReference,"GAS",F-WS-S,5.000000000000043
BCC4C1,BlockReference,"GAS",F-WS-S,5.000000000000043
BCC4C2,BlockReference,"GAS",F-WS-S,5.000000000000043
BCC4C3,BlockReference,"GAS",F-WS-S,5.000000000000043
BCF7BF,AlignedDimension,"Astara  A/R",F-AR-T,Compass 5 000
