Handle,ObjType,Content,Layer,Extra
BE0553,AlignedDimension,"Barrel  A/R  050269",F-AR-T,Compass 5 000
BE0573,AlignedDimension,"Barrel  A/R  051975",F-AR-T,Compass 5 000
BE1641,AlignedDimension,"Inplay  A/R LOC 890382",C-AR-T,Compass 5 000
BE1EA3,MText,"Barrel 4-6 (Surface) MSL 050391",F-WS-T,9.996110000000034
BE1EA6,MText,"Barrel Riser Site PIL 060617",F-RW-T,9.996110000000034
BE1EA7,AlignedDimension,"Barrel  P/L R/W  062 8216  052510",F-RW-T,Compass 5 000
BE2721,AlignedDimension,"Barrel  P/L R/W  102 2515  052511",F-RW-T,Compass 5 000
BE2764,AlignedDimension,"Barrel  P/L R/W  082 8141  062613",F-RW-T,Compass 5 000
BE2FBA,AlignedDimension,"Barrel  P/L R/W  121325",F-RW-T,Compass 5 000
BE3001,AlignedDimension,"Obsidian  P/L R/W  230173",F-RW-T,Compass 5 000
BE3857,AlignedDimension,"Obsidian  P/L R/W  910510",F-RW-T,Compass 5 000
BE41CD,BlockReference,"L-SECLBL",L-SECLBL,0.999611
BE52E7,BlockReference,"GAS",C-WS-S,4.998055000000017
BE6E6B,MText,"L.S. 3",L-SECTION-LSD,9.996110000000034
BE6E6D,MText,"L.S. 4",L-SECTION-LSD,9.996110000000034
BE6E6F,MText,"L.S. 6",L-SECTION-LSD,9.996110000000034
BE6E71,MText,"L.S. 5",L-SECTION-LSD,9.996110000000034
BE76E8,DBText,"(CORRECTION LINE)",L-ROAD-T,9.996110000000034
BE76F6,MText,"Twp. 46",D-TXT,13.994554000000102
BE76F7,MText,"Twp. 47",D-TXT,13.994554000000102
BE7705,MText,"Rge. 10",D-TXT,13.994554000000102
BE7706,MText,"Rge. 9",D-TXT,13.994554000000102
BF82B8,BlockReference,"FDI",L-MON,4.998055000000015
BF82BD,BlockReference,"FDI",L-MON,4.998055000000015
BF82DC,BlockReference,"FDI",L-MON,4.998055000000015
BF82F5,BlockReference,"plspike",L-MON,4.998055000000015
BF8312,BlockReference,"plspike",L-MON,4.998055000000015
BF8317,BlockReference,"plspike",L-MON,4.998055000000015
BF831C,BlockReference,"plspike",L-MON,4.998055000000015
BF851B,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BF8520,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BF8525,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BFD321,BlockReference,"FDI",L-MON,4.998055000000015
BFD322,BlockReference,"FDI",L-MON,4.998055000000015
BFD323,BlockReference,"FDI",L-MON,4.998055000000015
BFD342,AlignedDimension,"Barrel  A/R  050269",F-AR-T,Compass 5 000
BFD347,MText,"Inplay 3-6 (Surface) MSL 221493",C-WS-T,9.99611000000003
BFD34A,MText,"Barrel Riser Site PIL 060617",F-RW-T,9.99611000000003
BFD3A5,BlockReference,"plspike",L-MON,4.998055000000015
BFD3B6,BlockReference,"plspike",L-MON,4.998055000000015
BFD3BB,BlockReference,"plspike",L-MON,4.998055000000015
BFD3C0,BlockReference,"plspike",L-MON,4.998055000000015
BFD587,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BFD58C,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BFD591,BlockReference,"RISER",AS-SYMBOL,4.998055000000015
BFDF26,AlignedDimension,"Barrel  A/R  051975",F-AR-T,Compass 5 000
BFDF88,AlignedDimension,"Barrel  P/L R/W  102 2515  052511",F-RW-T,Compass 5 000
BFE7D3,AlignedDimension,"Barrel  P/L R/W  062 8216  052510",F-RW-T,Compass 5 000
BFF872,AlignedDimension,"Barrel  P/L R/W  082 8141  062613",F-RW-T,Compass 5 000
C000DF,BlockReference,"TEMP",L-MON,4.998055000000015
C000E0,BlockReference,"TEMP",L-MON,4.998055000000015
C000E2,BlockReference,"TEMP",L-MON,4.998055000000015
C00910,BlockReference,"TEMP",L-MON,4.998055000000015
C04479,MText,"10.03 55''",L-BD,9.99611000000003
C0447A,MText,"134°04'00''  9.96",L-BD,9.99611000000003
C0447B,MText,"228°33'10'' 30.00",L-BD,9.99611000000003
C04480,MText,"10.10 10''",L-BD,9.99611000000003
C04481,MText,"20.01 33'",L-BD,9.99611000000003
C04485,MText,"130.00 318°33'10''",L-BD,9.99611000000003
C04486,MText,"170.00 228°33'10''",L-BD,9.99611000000003
C04487,MText,"138°33'10'' 140.00",L-BD,9.99611000000003
C04488,MText,"105.82 10''",L-BD,9.99611000000003
C04489,MText,"73.71 134°",L-BD,9.99611000000003
C0451A,MText,"492.94 48°",L-BD,9.99611000000003
C0557E,MText,"449.48 48°",L-BD,9.99611000000003
C0A641,BlockReference,"WC",L-MON,5.000000000000029
C0A642,BlockReference,"WC",L-MON,5.000000000000029
C0A644,BlockReference,"WC",L-MON,5.000000000000029
C0A645,BlockReference,"WC",L-MON,5.000000000000029
C0C3F5,BlockReference,"L-SECLBL",L-SECLBL,1
C0C3FB,BlockReference,"L-SECLBL",L-SECLBL,1
C0C407,BlockReference,"L-SECLBL",L-SECLBL,1
C0C40D,BlockReference,"L-SECLBL",L-SECLBL,1
C0E617,BlockReference,"WC",L-MON,14.994165000000086
C0E618,BlockReference,"WC",L-MON,14.994165000000086
C0E619,BlockReference,"WC",L-MON,14.994165000000086
C0E61A,BlockReference,"WC",L-MON,14.994165000000086
C10736,BlockReference,"L-SECLBL",L-SECLBL,2.9988330000000074
C1074E,BlockReference,"L-SECLBL",L-SECLBL,2.9988330000000074
C10754,BlockReference,"L-SECLBL",L-SECLBL,2.9988330000000074
C10772,MText,"Twp. 46",D-TXT,41.98366200000023
C10773,MText,"Twp. 47",D-TXT,41.98366200000023
C11ADB,BlockReference,"*U61",L-BD,2.9988330000000074
C11C35,BlockReference,"GAS",F-WS-S,14.994165000000086
C1249A,MText,"Barrel 4-6",C-WS-S,29.988330000000172
