Handle,ObjType,Content,Layer,Extra
BD1FCE,BlockReference,"FDI",L-MON,4.999999999999934
BD1FD3,BlockReference,"FDI",L-MON,4.999999999999934
BD2021,BlockReference,"plspike",L-MON,4.997316549999957
BD202A,BlockReference,"plspike",L-MON,4.997316549999957
BD202F,BlockReference,"plspike",L-MON,4.997316549999957
BD2034,BlockReference,"plspike",L-MON,4.997316549999957
BD3427,BlockReference,"fdspike",L-MON,4.997316549999957
BD3428,BlockReference,"fdspike",L-MON,4.997316549999957
BD343A,MText,"Fd.P. Mp. Pit M. N.E. 24",L-MON,9.999999999999872
BD3C1B,MText,"Fd.I. Mp. E.1/4 24",L-MON,9.999999999999872
BD44EA,BlockReference,"fdspike",L-MON,4.997316549999957
BD5D88,MText,"4m Low Grade  Gravel Road",T-TEXT,9.994633099999879
BD6E9A,BlockReference,"L-SECLBL",L-SECLBL,0.99946331
BD6EA3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999696
BD6EA6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999696
BD6EA8,MText,"Theor. S.W.1/4 Sec. 30-62-20-W.5M.",C-SYMBOL,19.99999999999968
BD6EA9,MText,"Rge. 21",D-TXT,13.999999999999767
BD6EAA,MText,"Rge. 20",D-TXT,13.999999999999767
BD6EFE,AlignedDimension,"Paramount  A/R  941145",F-AR-T,Compass 5 000
BD6EFF,AlignedDimension,"Procyon  A/R  122123",F-AR-T,Compass 5 000
BD6F00,AlignedDimension,"Procyon  A/R  961336",F-AR-T,Compass 5 000
BD6F01,AlignedDimension,"ATCO  Power Line R/W  140304",F-EZE-T,Compass 5 000
BD6F02,AlignedDimension,"ATCO  Power Line R/W  140304",F-EZE-T,Compass 5 000
BD6F03,AlignedDimension,"Paramount  Water Line R/W  160175",F-RW-T,Compass 5 000
BD6F04,AlignedDimension,"Pembina  P/L R/W  160648",F-RW-T,Compass 5 000
BD6F06,AlignedDimension,"Paramount  P/L R/W  2664",F-RW-T,Compass 5 000
BD6F07,AlignedDimension,"Pembina  P/L R/W  160658",F-RW-T,Compass 5 000
BD6F08,AlignedDimension,"Texcal  P/L R/W  95 NY  961251",F-RW-T,Compass 5 000
BD6F09,MText,"Paramount 6-30 (Surface) MSL 941145 (Expired)",F-WS-T,9.994709999999865
BD6F0B,MText,"2-25 (Abd.)",F-WS-T,9.994709999999865
BD6F0D,BlockReference,"GABD",F-WS-S,4.997316549999961
