Handle,ObjType,Content,Layer,Extra
AF572F,BlockReference,"L-SECLBL",L-SECLBL,0.99988423
AF5735,BlockReference,"L-SECLBL",L-SECLBL,0.99988423
AF79BD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998147519999986
AF79BF,BlockReference,"*U41",0,0.99988423
AF7A68,BlockReference,"*U34",0,0.99988423
AF7A77,AlignedDimension,"Tamarack   A/R  112520",C-AR-T,Compass 5 000
AF8B41,AlignedDimension,"Tamarack  A/R LOC 231929",C-AR-T,Compass 5 000
AF8B68,AlignedDimension,"Spur  A/R LOC 780233",F-AR-T,Compass 5 000
AF8B87,MText,"Tamarack Battery Site MSL 122638",C-WS-T,9.998842199999952
AF93B7,BlockReference,"GAS",C-WS-S,4.999421100000003
AF93BF,MText,"Tamarack 10-25 (Surface) MSL 231527",C-WS-T,9.998842199999952
AF9BEA,AlignedDimension,"Tamarack  P/L R/W  230951",C-RW-T,Compass 5 000
AFA45F,AlignedDimension,"CNRL  P/L R/W  792 1240  780072",F-RW-T,Compass 5 000
AFAD1F,AlignedDimension,"Tamarack  P/L R/W  032 5407  990717",C-RW-T,Compass 5 000
AFBF23,BlockReference,"*U45",0,0.99988423
AFBF32,AlignedDimension,"CNRL  P/L R/W  792 1240  780072",F-RW-T,Compass 5 000
AFBF4A,AlignedDimension,"Tamarack  P/L R/W  032 5407  990717",C-RW-T,Compass 5 000
AFBF66,AlignedDimension,"Spur  A/R LOC 780233",F-AR-T,Compass 5 000
AFD1BB,DBText,"Theor. S.E.1/4",C-SYMBOL,19.997684600000134
AFD1BC,DBText,"Sec. 25-74-26-W.4M.",C-SYMBOL,19.997684600000134
AFD1C1,DBText,"Theor. S.W.1/4",C-SYMBOL,19.997684600000134
AFD1C2,DBText,"Sec. 30-74-25-W.4M.",C-SYMBOL,19.997684600000134
AFD1CD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998147519999986
AFD1D7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998147519999986
AFD1E9,MText,"L.S. 9",L-SECTION-LSD,9.998842300000067
AFD1EB,MText,"L.S. 10",L-SECTION-LSD,9.998842300000067
AFD1ED,MText,"L.S. 16",L-SECTION-LSD,9.998842300000067
AFD1EF,MText,"L.S. 15",L-SECTION-LSD,9.998842300000067
AFD1F1,MText,"L.S. 1",L-SECTION-LSD,9.998842300000067
AFD1F2,MText,"L.S. 2",L-SECTION-LSD,9.998842300000067
AFD1F4,MText,"L.S. 8",L-SECTION-LSD,9.998842300000067
AFD1F5,MText,"L.S. 7",L-SECTION-LSD,9.998842300000067
AFD1F7,MText,"L.S. 3",L-SECTION-LSD,9.998842300000067
AFD1F9,MText,"L.S. 4",L-SECTION-LSD,9.998842300000067
AFD1FB,MText,"L.S. 6",L-SECTION-LSD,9.998842300000067
AFD1FD,MText,"L.S. 5",L-SECTION-LSD,9.998842300000067
AFE3DF,DBText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998842300000065
AFE3E7,DBText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998842300000065
AFE3EF,DBText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998842300000065
AFEE03,BlockReference,"FDI",L-MON,5.000000000000033
AFEE08,BlockReference,"FDI",L-MON,5.000000000000033
AFEE4A,BlockReference,"FDI",L-MON,5.000000000000033
AFEE4F,BlockReference,"FDI",L-MON,5.000000000000033
AFF2F0,MText,"Theor. N.E.1/4  Sec. 25-74-26-W.4M.",C-SYMBOL,19.997684600000134
B01DDB,MText,"Low Area",T-LOW-AREA-T,9.998842300000064
B01DDD,MText,"Swamp Muskeg",T-LOW-AREA-T,9.998842300000064
B01DEA,MText,"Buried Pipe",AS-PIPE-UG-T,9.998842300000064
B01DF4,MText,"Buried Pipe",AS-PIPE-UG-T,9.998842300000064
B01E06,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E08,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E0A,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E0B,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E0C,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E0E,BlockReference,"MUSK",T-GENERAL,4.999421150000032
B01E0F,DBText,"5cm-10cm Poplar",T-BUSH-T,9.998842300000064
B01E10,DBText,"Old Cut Block",T-TEXT,9.998842300000064
B01E1A,MText,"10cm-15cm Spruce  & Pine",T-BUSH-T,9.998842300000064
B0267C,MText,"20cm-30cm Spruce  & Poplar",T-BUSH-T,9.998842300000064
B026AD,MText,"10cm-15cm  Spruce & Pine",T-BUSH-T,9.998842300000064
B27789,MText,"Fd.I. Mp.",L-MON,10.00000000000006
B277CA,BlockReference,"*U47",DETAIL-T,0.99988423
B2D02E,BlockReference,"RP",35,0.99988423
B33FD7,MText,"8m High Grade Gravel Road",T-TEXT,9.998842299999966
B33FE1,MText,"Rge. 26",D-TXT,13.998379220000002
B33FE2,MText,"Rge. 25",D-TXT,13.998379220000002
B33FEB,MText,"Rge. 26",D-TXT,13.998379220000002
B33FEC,MText,"Rge. 25",D-TXT,13.998379220000002
BD1282,MText,"Fd.I. Mp.",L-BD,9.998842300000051
BD1E08,MText,"37.15 81°03'45''",L-BD,9.998842300000051
BD23C9,MText,"261°03'45'' 37.15",L-BD,9.998842300000051
BD23D1,MText,"Fd.I. c.s.",L-BD,9.998842300000051
BD23D9,MText,"Fd.I. Mp.",L-BD,9.998842300000051
BD3E90,MText,"351°03'45'' 353.35",L-BD,9.998842300000051
BD7CEC,DBText,"100m",AUX-BUFFER,9.998842300000051
BDFD6B,DBText,"200m",AUX-BUFFER,9.998842300000051
BE1730,BlockReference,"*U47",DETAIL-T,0.99988423
BF175A,DBText,"Muskeg",T-TEXT,9.998842300000042
BF1E5F,BlockReference,"TEMP",L-MON,4.99942115000002
BF1E60,BlockReference,"TEMP",L-MON,4.99942115000002
BF1E63,BlockReference,"TEMP",L-MON,4.99942115000002
BF1E64,BlockReference,"TEMP",L-MON,4.99942115000002
BF1F82,MText,"Culvert",T-TEXT,9.99884230000004
BF4189,MText,"100m Buffer",P-BUFFER-T,9.998842300000039
BF6A0E,MText,"Buried Pipe",AS-PIPE-UG-T,9.998842300000037
BF6A17,DBText,"100m",AUX-BUFFER,9.998842300000037
BF6A1A,MText,"351° 353.35",L-BD,9.998842300000037
BF6A1F,AlignedDimension,"Spur  A/R LOC 780233",F-AR-T,Compass 5 000
BF6A21,AlignedDimension,"CNRL  P/L R/W  792 1240  780072",F-RW-T,Compass 5 000
BF6A22,MText,"8m High Grade Gravel Road",T-TEXT,9.998842300000037
BF6A29,BlockReference,"TEMP",L-MON,4.9994211500000185
BF6A2A,BlockReference,"TEMP",L-MON,4.9994211500000185
BF6A2D,BlockReference,"TEMP",L-MON,4.9994211500000185
BF6A2E,BlockReference,"TEMP",L-MON,4.9994211500000185
BF6A33,MText,"45'' 152.92",L-BD,9.998842300000037
BF6A34,MText,"152.92 45''",L-BD,9.998842300000037
BF6A35,MText,"210.00 351°03'45''",L-BD,9.998842300000037
BF6A36,MText,"171°03'45'' 210.00",L-BD,9.998842300000037
BF7102,MText,"839.72 171°03'45''",L-BD,9.998842300000037
BF7113,MText,"7.08 261°",L-BD,9.998842300000037
BF76D3,MText,"03'",L-BD,9.998842300000037
BF76E4,MText,"81° 7.08",L-BD,9.998842300000037
BF76EC,MText,"03'",L-BD,9.998842300000037
BF7CBD,BlockReference,"wa",P-ELEVATION,0.99988423
BF7CC9,BlockReference,"wa",P-ELEVATION,0.99988423
BF8291,BlockReference,"we",P-ELEVATION,0.99988423
BF82A4,BlockReference,"we",P-ELEVATION,0.99988423
BF82B0,MText,"45''  276.37",L-BD,9.998842300000037
BF887B,MText,"03' 210.00",L-BD,9.998842300000037
BF9447,MText,"10cm-15cm  Spruce & Pine",T-BUSH-T,9.998842300000051
BF9448,DBText,"Muskeg",T-TEXT,9.998842300000037
BFA6FD,BlockReference,"plbh",L-MON,5.000000000000019
BFA6FE,BlockReference,"plbh",L-MON,5.000000000000019
BFA6FF,BlockReference,"plbh",L-MON,5.000000000000019
BFA700,BlockReference,"plbh",L-MON,5.000000000000019
BFA701,BlockReference,"plbh",L-MON,5.000000000000019
BFA702,BlockReference,"plbh",L-MON,5.000000000000019
BFA703,BlockReference,"plbh",L-MON,5.000000000000019
BFA704,BlockReference,"plbh",L-MON,5.000000000000019
BFEC6B,BlockReference,"plbh",L-MON,9.998842300000035
BFEC6C,BlockReference,"plbh",L-MON,9.998842300000035
BFEC6D,BlockReference,"plbh",L-MON,9.998842300000035
BFEC6E,BlockReference,"plbh",L-MON,9.998842300000035
BFEC73,BlockReference,"plbh",L-MON,9.998842300000035
BFEC74,BlockReference,"plbh",L-MON,9.998842300000035
BFEC75,BlockReference,"plbh",L-MON,9.998842300000035
BFEC76,BlockReference,"plbh",L-MON,9.998842300000035
BFEC8A,MText,"TVE 12-30 (HZ) (8 Events)",ABADATA-DRILL-T,19.99768460000007
BFEC8F,BlockReference,"GAS",ABADATA-DRILL-T,9.998842300000035
BFEC90,MText,"TVE 2-30",ABADATA-DRILL-T,19.99768460000007
BFF45F,BlockReference,"L-SECLBL",L-SECLBL,1.999768460000009
BFF483,BlockReference,"L-SECLBL",L-SECLBL,1.999768460000009
