Handle,ObjType,Content,Layer,Extra
BD4494,BlockReference,"L-SECLBL",L-SECLBL,1
BD4CB9,MText,"L.S. 3",L-SECTION-LSD,10.000000000000059
BD4CBB,MText,"L.S. 4",L-SECTION-LSD,10.000000000000059
BD4CBD,MText,"L.S. 6",L-SECTION-LSD,10.000000000000059
BD4CBF,MText,"L.S. 5",L-SECTION-LSD,10.000000000000059
BD4CC2,MText,"Lot 1 Block 1 Plan 072 1465",L-TITLEDB-T,10.000000000000059
BD4CC3,MText,"C. of T.",L-TITLEDB-T,10.000000000000059
BD4CC4,MText,"Lot 2 Block 1 Plan 072 1465",L-TITLEDB-T,10.000000000000059
BD4CC5,DBText,"S.W.1/4 Sec. 20-39-27-W.4M.",C-SYMBOL,20.000000000000117
BD4CC6,DBText,"Existing Pad Site = 4.506 ha  11.14 Ac.",L-AREAREQUIRED,11.000000000000059
BD4CC7,DBText,"Existing Access Road = 1.491 ha  3.68 Ac.",L-AREAWORK,11.000000000000059
BD55DB,BlockReference,"*U54",AS-WILDLIFE-BLOCK,1
BD5673,BlockReference,"HRV_Box",CG-NOTES,1
BD5EBF,MText,"Equs 4-Wire O/H Power Line",AS-POWER-T,10.000000000000059
BD5EC1,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000000000000059
BE1510,DBText,"(High Grade Gravel)",T-TEXT,10.000000000000059
BE1511,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000059
BE738B,MText,"N.-S.1/4 Line",L-QSEC,10.000000000000059
BE7BF1,MText,"E.-W.1/4 Line",L-QSEC,10.000000000000059
BE7D0B,BlockReference,"res_occ",AS-RESIDENCE,5.000000000000029
BE7D0C,BlockReference,"res_occ",AS-RESIDENCE,5.000000000000029
BE7D0D,BlockReference,"res_occ",AS-RESIDENCE,5.000000000000029
BE7D18,BlockReference,"res_occ",AS-RESIDENCE,5.000000000000029
BE7D1B,BlockReference,"res_occ",AS-RESIDENCE,5.000000000000029
BE8591,MText,"2.0km",0,8.000000000000057
BE9117,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9118,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9119,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911A,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911B,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911C,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911D,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911E,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE911F,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9120,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9121,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9122,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9123,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9124,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9125,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9126,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9127,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9128,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE9129,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE912A,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE912C,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE912D,BlockReference,"res_occ",AS-RESIDENCE,5.00000000000003
BE912E,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE912F,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9130,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9131,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9132,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9133,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9134,BlockReference,"res_other",AS-RESIDENCE,5.00000000000003
BE9140,BlockReference,"hwy_primary",AUX-LABELS,1.5000000000000158
BE9143,MText,"BLINDMAN  RIVER",T-WATER-T,10.000000000000068
BE95B7,MText,"SURFACE DEVELOPMENT SKETCH SCALE 1:50000",DETAIL-T,20.000000000000117
BE95B9,MText,"NEAREST RESIDENCE ±0.65 km S.E. (S.E 20-39-27-4) NEAREST SURFACE DEVELOPMENT ±0.65 km S.E. (RESIDENCE, S.E 20-39-27-4) NEAREST URBAN CENTRE ±2.82 km N.E. (TOWN OF BLACKFALDS)",CG-NOTES,10.000000000000059
BE95BB,BlockReference,"*U46",CG-NOTES,1
BE9EA2,BlockReference,"*U55",AS-OWNER,1
BE9EFE,AlignedDimension,"Parallax  P/L R/W  202 2580",C-RW-T,Compass 5 000
BEA7AC,AlignedDimension,"Parallax  P/L R/W  202 2580",C-RW-T,Compass 5 000
BED3C5,MText,"Residence",AS-RESIDENCE,10.000000000000059
BED3C6,MText,"Residence",AS-RESIDENCE,10.000000000000059
BED3C7,MText,"Approximate Location of ATCO Gas (North) Gas Co-op",AS-PIPE-UG-T,10.000000000000059
BEEE23,BlockReference,"FDI",L-MON,5.000000000000029
BEEE28,BlockReference,"FDI",L-MON,5.000000000000029
BEEE2D,BlockReference,"FDI",L-MON,5.000000000000029
BEEE32,BlockReference,"FDI",L-MON,5.000000000000029
BEEE37,BlockReference,"FDI",L-MON,5.000000000000029
BEEE3C,BlockReference,"FDI",L-MON,5.000000000000029
BEEE41,BlockReference,"FDI",L-MON,5.000000000000029
BEEE46,BlockReference,"FDI",L-MON,5.000000000000029
BEEE50,BlockReference,"FDI",L-MON,5.000000000000029
BEEE55,BlockReference,"fdspike",L-MON,5.000000000000029
BEEE5A,BlockReference,"fdspike",L-MON,5.000000000000029
BEEE7B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000029
BEEE80,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000029
BEEEF5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000029
BEEEFA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000029
BEEEFF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000029
BEF124,BlockReference,"RISER",AS-SYMBOL,5.000000000000029
BEF129,BlockReference,"RISER",AS-SYMBOL,5.000000000000029
BEF12E,BlockReference,"RISER",AS-SYMBOL,5.000000000000029
BEF16B,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF170,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF175,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF17A,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF17F,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF184,BlockReference,"GAS",C-WS-S,5.000000000000029
BEF189,BlockReference,"RISER",AS-SYMBOL,5.000000000000029
BF0524,BlockReference,"TEMP",L-MON,5.000000000000029
BF0525,BlockReference,"TEMP",L-MON,5.000000000000029
BF0526,BlockReference,"TEMP",L-MON,5.000000000000029
BF0CA1,MText,"Fd.I. E.1/4 19",L-MON,9.999292100000057
BF13D6,BlockReference,"TEMP",L-MON,4.999646050000028
BF13D8,MText,"Fd.I. Mp.(0.3N) E.1/4 20",L-MON,9.999292100000057
BF13D9,MText,"Fd.I. Mp.(0.3N)",L-MON,9.999292100000057
BF29B6,BlockReference,"TEMP",L-MON,4.999646050000028
BF29B7,BlockReference,"TEMP",L-MON,4.999646050000028
BF29BE,MText,"Est. Position Left No Mk. N.1/4 17",L-MON,9.999292100000057
