Handle,ObjType,Content,Layer,Extra
BC883A,BlockReference,"FDI",L-MON,4.9980889
BC883F,BlockReference,"FDI",L-MON,4.9980889
BC884D,BlockReference,"FDI",L-MON,4.9980889
BC8852,BlockReference,"FDI",L-MON,4.9980889
BCBB0C,BlockReference,"L-SECLBL",L-SECLBL,0.99961778
BCCC03,AlignedDimension,"Fortis  Power Line R/W  050296",F-EZE-T,Compass 5 000
BCD463,MText,"Fortis Variable Width  Power Line R/W EZE 120143",F-EZE-T,9.9961778
BCDC81,AlignedDimension,"Fortis  Power Line R/W  140120",F-EZE-T,Compass 5 000
BCE501,AlignedDimension,"Fortis  Power Line R/W EZE 210028",F-EZE-T,Compass 5 000
BCED5E,AlignedDimension,"Barrel  A/R  111986",F-AR-T,Compass 5 000
BCED8B,MText,"Inplay 20.00 A/R LOC 210027",C-AR-T,9.9961778
BCF5AB,MText,"Barrel Plant Site Plan 062 5588 MLL 050053",L-TITLEDB-T,9.9961778
BCFDCD,MText,"Inplay 6-8 (Surface) MSL 198",F-WS-T,9.9961778
BD05F1,AlignedDimension,"Inplay  A/R  4410",C-AR-T,Compass 5 000
BD060D,MText,"Inplay Battery Site MSL 210030",C-WS-T,9.9961778
BD0E35,MText,"Barrel Riser Site PIL 050529",F-RW-T,9.9961778
BD165D,AlignedDimension,"Inplay  Flow Line R/W  1559",C-FLOWLINE-T,Compass 5 000
BD167C,AlignedDimension,"Barrel  P/L R/W  062 6567  052215",F-RW-T,Compass 5 000
BD1EE6,AlignedDimension,"Barrel  P/L R/W  062 4956  052862",F-RW-T,Compass 5 000
BD2741,AlignedDimension,"Barrel  P/L R/W Plan 122 4708  111673",F-RW-T,Compass 5 000
BD275D,AlignedDimension,"Barrel  P/L R/W  132 1608  121192",F-RW-T,Compass 5 000
BD2FAC,AlignedDimension,"Inplay  P/L R/W PLA 210029",C-RW-T,Compass 5 000
BD3817,AlignedDimension,"Inplay  P/L R/W  210041",C-RW-T,Compass 5 000
BD3851,AlignedDimension,"Inplay  P/L R/W  210295",C-RW-T,Compass 5 000
BD388B,AlignedDimension,"Inplay  P/L R/W PLA 210677",C-RW-T,Compass 5 000
BD38A7,AlignedDimension,"Obsidian  P/L R/W Plan 912 0074  910510",F-RW-T,Compass 5 000
BD4113,AlignedDimension,"Inplay  Vegetation Control R/W  230002",C-RW-T,Compass 5 000
BD649B,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.9961778
BD6DB2,AlignedDimension,"Barrel  A/R  111986",F-AR-T,Compass 5 000
BD6DDA,MText,"Inplay Battery Site  MSL 198",C-WS-T,9.9961778
BD7616,MText,"Barrel 2-8 (Surface)MSL112181",F-WS-T,9.9961778
BD7F02,BlockReference,"GAS",C-WS-S,5.0000000000000115
BDD2D0,AlignedDimension,"Barrel  A/R  051975",F-AR-T,Compass 5 000
BE05E9,BlockReference,"TEMP",L-MON,4.9980889
BE05EA,BlockReference,"TEMP",L-MON,4.9980889
BE05EB,BlockReference,"TEMP",L-MON,4.9980889
BE05EC,BlockReference,"TEMP",L-MON,4.9980889
BE0F56,DBText,"58°28'25''",L-BD,9.9961778
BE1C17,BlockReference,"TEMP",L-MON,4.9980889
BE1C18,BlockReference,"TEMP",L-MON,4.9980889
BE1C19,BlockReference,"TEMP",L-MON,4.9980889
BE1C1A,BlockReference,"TEMP",L-MON,4.9980889
BE1C24,MText,"15.39 40"",L-BD,9.9961778
BE1C25,MText,"135°30'40'' 15.39",L-BD,9.9961778
BE1C26,MText,"15.39 238°28'25''",L-BD,9.9961778
BE1C27,MText,"28" 15.39",L-BD,9.9961778
BE250D,MText,"25''  134.18",L-BD,9.9961778
