Handle,ObjType,Content,Layer,Extra
BD2533,BlockReference,"RP",0,1
BD2933,BlockReference,"L-SECLBL",L-SECLBL,0.999472
BD2939,BlockReference,"L-SECLBL",L-SECLBL,0.999472
BD293F,BlockReference,"L-SECLBL",L-SECLBL,0.999472
BD2945,BlockReference,"L-SECLBL",L-SECLBL,0.999472
BD2956,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994720000000058
BD2957,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994720000000058
BD2959,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994720000000058
BD2976,MText,"Rge. 21",D-TXT,13.992608000000057
BD2977,MText,"Rge. 22",D-TXT,13.992608000000057
BD2978,MText,"Rge. 21",D-TXT,13.992608000000057
BD2979,MText,"Rge. 22",D-TXT,13.992608000000057
BD297A,DBText,"Theor. S.W.1/4 Sec. 24-64-22-W.5M.",C-SYMBOL,19.989440000000116
BD297B,DBText,"Theor. S.E.1/4 Sec. 24-64-22-W.5M.",C-SYMBOL,19.989440000000116
BD297C,DBText,"Theor. S.W.1/4 Sec. 19-64-21-W.5M.",C-SYMBOL,19.989440000000116
BD297D,DBText,"Theor. S.E.1/4 Sec. 19-64-21-W.5M.",C-SYMBOL,19.989440000000116
BD297E,DBText,"Theor. N.W.1/4 Sec. 18-64-21-W.5M.",C-SYMBOL,19.989440000000116
BD298D,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD298F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD2991,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD2993,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD2995,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD2997,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991552000000064
BD2BC0,AlignedDimension,"ATCO  Power Line R/W  180151",F-EZE-T,Compass 5 000
BD2C03,AlignedDimension,"Whitecap  A/R  030947",C-AR-T,Compass 5 000
BD2C3C,AlignedDimension,"Whitecap  A/R  030947",C-AR-T,Compass 5 000
BD2C5B,AlignedDimension,"Whitecap  A/R  030947",C-AR-T,Compass 5 000
BD2C83,AlignedDimension,"Whitecap  A/R  030947",C-AR-T,Compass 5 000
BD2E0B,AlignedDimension,"Whitecap  P/L R/W  042656",C-AR-T,Compass 5 000
BD2E37,MText,"Whitecap Water Reservoir LOC 181062",C-AR-T,9.994720000000056
BD3F3C,MText,"Whitecap 20.00 A/R LOC 181158",C-AR-T,9.994720000000056
BD3F3E,AlignedDimension,"Whitecap  A/R  181277",C-AR-T,Compass 5 000
BD409C,MText,"Whitecap 20.00 A/R LOC 190462",C-AR-T,9.994720000000056
BD409D,AlignedDimension,"Whitecap  P/L R/W  210822",C-AR-T,Compass 5 000
BD40CE,AlignedDimension,"Whitecap  P/L R/W  230495",C-AR-T,Compass 5 000
BD40FF,AlignedDimension,"Whitecap  A/R  800686",C-AR-T,Compass 5 000
BD4142,AlignedDimension,"Whitecap  A/R  800686",C-AR-T,Compass 5 000
BD4269,MText,"Whitecap Storage MLL 220001",C-WS-T,9.994720000000056
BD426A,MText,"Whitecap 14-18 (Surface) MSL 052980",C-WS-T,9.994720000000056
BD426B,MText,"Whitecap 3-19 (Surface) MSL 052981",C-WS-T,9.994720000000056
BD426C,MText,"Whitecap 2-19 (Surface) MSL 180159",C-WS-T,9.994720000000056
BD4375,MText,"Whitecap FC738 6-24 (Surface) MSL 181034",C-WS-T,9.994720000000056
BD4376,MText,"Whitecap Riser Site PIL 180351",C-WS-T,9.994720000000056
BD4381,MText,"Whitecap Riser Site PIL 220228",C-WS-T,9.994720000000056
BD438C,MText,"Whitecap Riser Site PIL 190223",C-WS-T,9.994720000000056
BD4497,AlignedDimension,"Whitecap  P/L R/W  094 1504  053921",C-RW-T,Compass 5 000
BD44BB,AlignedDimension,"Whitecap  P/L R/W  094 1503  054151",C-RW-T,Compass 5 000
BD451B,AlignedDimension,"Whitecap  P/L R/W  094 1536  071598",C-RW-T,Compass 5 000
BD455E,AlignedDimension,"Whitecap  P/L R/W  094 1536  071598",C-RW-T,Compass 5 000
BD4586,AlignedDimension,"Whitecap  P/L R/W  180409",C-RW-T,Compass 5 000
BD45C8,AlignedDimension,"Whitecap  P/L R/W  180409",C-RW-T,Compass 5 000
BD46EF,AlignedDimension,"Whitecap  P/L R/W  180514",C-RW-T,Compass 5 000
BD4745,AlignedDimension,"Whitecap  P/L R/W  180972",C-RW-T,Compass 5 000
BD4776,AlignedDimension,"Whitecap  P/L R/W  190046",C-RW-T,Compass 5 000
BD47A7,AlignedDimension,"Whitecap  P/L R/W  190046",C-RW-T,Compass 5 000
BD47C6,AlignedDimension,"Whitecap  P/L R/W  190046",C-RW-T,Compass 5 000
BD47EE,AlignedDimension,"Whitecap  P/L R/W  190046",C-RW-T,Compass 5 000
BD4816,AlignedDimension,"Whitecap  P/L R/W  190046",C-RW-T,Compass 5 000
BD4865,AlignedDimension,"Whitecap  P/L R/W  190055",C-RW-T,Compass 5 000
BD488D,AlignedDimension,"Whitecap  P/L R/W  190055",C-RW-T,Compass 5 000
BD49B4,AlignedDimension,"Whitecap  P/L R/W  190432",C-RW-T,Compass 5 000
BD49ED,AlignedDimension,"Whitecap  P/L R/W  240868",C-RW-T,Compass 5 000
BD4A15,AlignedDimension,"Whitecap  P/L R/W  240983",C-RW-T,Compass 5 000
BD4A46,AlignedDimension,"CNRL  P/L R/W  782 2854  770729",F-RW-T,Compass 5 000
BD4A77,AlignedDimension,"CNRL  P/L R/W  782 2854  770729",F-RW-T,Compass 5 000
BD4A9F,AlignedDimension,"CNRL  P/L R/W  782 2854  770729",F-RW-T,Compass 5 000
BD4ABE,AlignedDimension,"CNRL  P/L R/W  802 3164  840255",F-RW-T,Compass 5 000
BD4AE6,AlignedDimension,"CNRL  P/L R/W  802 3164  840255",F-RW-T,Compass 5 000
BD4D82,DBText,"TPA 722",AS-TRAPPER-T,9.994150000000035
BD4E8B,DBText,"TPA 1470",AS-TRAPPER-T,9.994150000000035
BD4E8C,DBText,"TPA 722",AS-TRAPPER-T,9.994150000000035
BD4E8D,DBText,"TPA 1470",AS-TRAPPER-T,9.994150000000035
BD8C2E,BlockReference,"GABD",F-WS-S,5.000000000000024
BD8C2F,BlockReference,"GAS",C-WS-S,5.000000000000024
BD8C30,BlockReference,"GAS",C-WS-S,5.000000000000024
BF12CF,MText,"Wooded Fen",WETLAND-T,9.999999999999941
BF12D3,MText,"8m High Grade Gravel Road",T-TEXT,9.994752699999946
BF12D4,MText,"10cm Black Spruce",T-BUSH-T,9.989551930432485
BF12E1,MText,"Buried Pipes(2)",AS-PIPE-UG-T,9.994796499999916
BF16A4,MText,"30cm Poplar, Birch & Spruce",T-BUSH-T,9.994790000000068
BF16A6,MText,"35cm Poplar, Birch & Spruce",T-BUSH-T,9.994790000000068
BF18C9,MText,"Theor. N.E.1/4 Sec. 13-64-22-W.5M.",C-SYMBOL,19.989440000000116
BF1C27,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.994720000000058
BF1E00,BlockReference,"*U68",AS-OWNER,1
BF1E36,BlockReference,"*U68",AS-OWNER,1
BF1E4B,BlockReference,"*U68",AS-OWNER,1
BF2AFA,MText,"Whitecap Vegetation Control  RVC 250011",C-WS-T,10.000000000000052
BF2AFC,MText,"CanFor CLR970367",F-RW-T,10.000000000000052
BFDEA6,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE0DB,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE138,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE145,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE16E,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE17B,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE194,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE1A5,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE1B2,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE257,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE25C,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE261,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE266,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE273,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE294,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE3B1,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE3E2,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE41B,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE450,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE491,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE49E,BlockReference,"PIG",AS-SYMBOL,5.000000000000022
BFE4BF,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
BFE4DC,BlockReference,"RISER",AS-SYMBOL,5.000000000000022
C02F12,MText,"15-25cm Spruce 25cm Scattered Tamarack",T-BUSH-T,10.000000000000071
C02F14,MText,"15-25cm Spruce 25cm Scattered Tamarack",T-BUSH-T,10.000000000000071
C02F18,MText,"40-65cm Aspen, 15-30cm Birch  & Spruce",T-BUSH-T,9.994790000000021
C02F1D,MText,"40-65cm Aspen, 15-30cm Spruce",T-BUSH-T,9.994790000000021
C02F20,BlockReference,"SP",T-WATER,5.000000000000022
C02F21,MText,"40-65cm Aspen, 15-30cm Spruce",T-BUSH-T,9.994790000000021
C02F2E,MText,"Ephemeral Draw",T-WATER-T,10.000000000000044
C02F30,MText,"Wooded Mixedwood Swamp",WETLAND-T,10.000000000000044
C02F32,MText,"Shallow Open Water",WETLAND-T,10.000000000000044
C02F34,MText,"Wooded Coniferous Fen",WETLAND-T,10.000000000000044
C02F37,MText,"40-65cm Aspen, 15-30cm Birch  & Spruce",T-BUSH-T,9.994790000000021
C02F39,MText,"25-40cm Aspen & Spruce",T-BUSH-T,9.994790000000021
C0D4EE,AlignedDimension,"Whitecap  P/L R/W  072 8998  070859",C-RW-T,Compass 5 000
C0F36A,BlockReference,"TEMP",L-MON,4.99736000000002
C0F36B,BlockReference,"TEMP",L-MON,4.99736000000002
C0F36C,BlockReference,"TEMP",L-MON,4.99736000000002
C0F36D,BlockReference,"TEMP",L-MON,4.99736000000002
C0F36E,BlockReference,"TEMP",L-MON,4.99736000000002
C0F36F,BlockReference,"TEMP",L-MON,4.99736000000002
C0F370,BlockReference,"TEMP",L-MON,4.99736000000002
C0F371,BlockReference,"TEMP",L-MON,4.99736000000002
C0F372,BlockReference,"TEMP",L-MON,4.99736000000002
C0F373,BlockReference,"TEMP",L-MON,4.99736000000002
C0F374,BlockReference,"TEMP",L-MON,4.99736000000002
C0F375,BlockReference,"TEMP",L-MON,4.99736000000002
C0F376,BlockReference,"TEMP",L-MON,4.99736000000002
C0F377,BlockReference,"TEMP",L-MON,4.99736000000002
C0F378,BlockReference,"TEMP",L-MON,4.99736000000002
C0F379,BlockReference,"TEMP",L-MON,4.99736000000002
C0F37A,BlockReference,"TEMP",L-MON,4.99736000000002
C17F5F,BlockReference,"*U74",CG-NOTES,0.9975918821266738
C17F6B,BlockReference,"*U73",CG-NOTES,0.9975918821266738
C17F7E,DBText,"0+500",T-TIE-T,9.994720000000036
C17F84,DBText,"1+000",T-TIE-T,9.994720000000036
C17F8A,DBText,"1+500",T-TIE-T,9.994720000000036
C17F90,DBText,"2+000",T-TIE-T,9.994720000000036
C17F9F,AlignedDimension,"Whitecap  A/R  030947",C-AR-T,Compass 5 000
C1C83A,MText,"SEE DETAIL 'A'",DETAIL-T,15.982965176237924
C1C844,MText,"SEE DETAIL 'D'",DETAIL-T,15.982965176237924
C1D85D,BlockReference,"xing2",P-CROSSINGS,0.999472
C1D864,BlockReference,"xing2",P-CROSSINGS,0.999472
C1DDBE,BlockReference,"xing2",P-CROSSINGS,0.999472
C1DDC5,BlockReference,"xing2",P-CROSSINGS,0.999472
C1DDCC,BlockReference,"xing2",P-CROSSINGS,0.999472
C1DDD3,BlockReference,"xing2",P-CROSSINGS,0.999472
C1DDE1,MText,"14-18 (Abd.)",C-WS-S,9.994720000000056
C25925,MText,"97°43' 189.7",L-BD1,9.994720000000036
C299F8,DBText,"132%%d22'",L-BD1,9.99472000000003
C299FE,DBText,"132%%d22'",L-BD1,9.99472000000003
C29A00,DBText,"100%%D25'",L-BD1,9.99472000000003
C29A02,DBText,"49%%d01'",L-BD1,9.99472000000003
C29A04,DBText,"95%%d37'",L-BD1,9.99472000000003
C29A06,DBText,"111%%d57'",L-BD1,9.99472000000003
C29A11,DBText,"168%%d29'",L-BD1,9.99472000000003
C2AC8C,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC8F,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC92,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC95,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC98,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC9B,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2AC9E,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACA1,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACA4,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACA7,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACAA,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACAD,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACB0,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACB3,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2ACB6,BlockReference,"Temp_Area_Small_Pink",P-TEMP-BLOCKS,0.999472
C2B878,BlockReference,"*U81",P-TEMP-BLOCKS,0.999472
C2B95F,BlockReference,"*U81",P-TEMP-BLOCKS,0.999472
C2BF3F,BlockReference,"*U81",P-TEMP-BLOCKS,0.999472
