Handle,ObjType,Content,Layer,Extra
AFF53A,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF540,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF546,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF54C,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF558,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF55E,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF564,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
AFF56A,BlockReference,"L-SECLBL",L-SECLBL,0.9994679999999895
B03401,DBText,"Theor. S.E.1/4 Sec. 5-62-19-W.5M.",0,19.999999999999773
B05794,DBText,"Theor. N.W.1/4 Sec. 17-61-19-W.5M.",C-SYMBOL,19.98935999999977
B05795,DBText,"Theor. S.W.1/4 Sec. 17-61-19-W.5M.",C-SYMBOL,19.98935999999977
B0579C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991487999999864
B0579E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991487999999864
B057A4,AlignedDimension,"Telus  Communication Cable R/W  3568",F-RW-T,Compass 5 000
B06025,MText,"Sprocket 11-17 (Surface) MSL 5460 (Expired)",F-WS-T,9.994679999999876
B0605E,AlignedDimension,"Sprocket  P/L R/W  940 RS  3238",F-RW-T,Compass 5 000
B06AA8,AlignedDimension,"Pembina  P/L R/W  1131 KS  150782  2527",F-RW-T,Compass 5 000
B06AE2,AlignedDimension,"Pembina  P/L R/W  1131 KS  150782  2527",F-RW-T,Compass 5 000
B06B02,AlignedDimension,"Pembina  P/L R/W  1131 KS  150782  2527",F-RW-T,Compass 5 000
B073C0,MText,"ATCO Variable Width Vegetation Control R/W VCE 930017",F-EZE-T,9.994679999999876
B07CE0,AlignedDimension,"NGTL  P/L R/W  6218 NY  2729",F-RW-T,Compass 5 000
B07D2B,AlignedDimension,"NGTL  P/L R/W  6218 NY  2729",F-RW-T,Compass 5 000
B08EC1,MText,"Pembina 12.19 P/L R/W Plan 1131 KS ROE 5906",F-EZE-T,9.994679999999876
B097D8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994679999999885
B097DE,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994679999999885
B097E4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994679999999885
B097EA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994679999999885
B0A0FB,DBText,"Theor. N.E.1/4 Sec. 18-61-19-W.5M.",C-SYMBOL,19.98935999999977
B0A0FE,DBText,"Theor. S.E.1/4 Sec. 18-61-19-W.5M.",C-SYMBOL,19.98935999999977
B0A173,AlignedDimension,"CNRL  A/R  4101",F-AR-T,Compass 5 000
B0A1C9,AlignedDimension,"CNRL  A/R  890535",F-AR-T,Compass 5 000
B0AA54,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991487999999864
B0CFA4,MText,"20cm Pine  & Balsm Fir 30cm Spruce & Poplar",T-BUSH-T,9.99453379999983
B0DB2C,MText,"Wooded Coniferous Fen",WETLAND-T,9.999958177666825
B0DB2E,DBText,"Old Cutblock",T-GENERAL,9.994618200000007
B0DB32,MText,"Ephemeral Draw",T-WATER-T,9.994618200000007
