Handle,ObjType,Content,Layer,Extra
AF365E,DBText,"Theor. N.E.1/4 Sec. 28-64-3-W.6M.",C-SYMBOL,19.999999999999158
AF3660,DBText,"Theor. N.W.1/4 Sec. 27-64-3-W.6M.",C-SYMBOL,19.999999999999158
AF36C5,MText,"Veren 9-28(Surface) MSL 160830",C-WS-T,10.004401236235616
AF36C8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999579
AF36C9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999579
AF36CC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999577
AF36D3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999944
AF36D5,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999944
AF36D8,MText,"CNRL 12-27(Surface) MSL 992356",F-WS-T,10.004401236235616
AF36DA,BlockReference,"GAS",F-WS-S,5.002200618117735
AF36DB,BlockReference,"GAS",F-WS-S,5.002200618117735
AF36DC,AlignedDimension,"Veren  A/R  991615",C-AR-T,Compass 5 000
AF36E1,MText,"CNRL Riser Site PIL 000130",F-WS-T,10.004401236235616
AF36E3,AlignedDimension,"CNRL  A/R  031066",F-AR-T,Compass 5 000
AF36E5,AlignedDimension,"PGI   P/L R/W  151378",F-RW-T,Compass 5 000
AF36E6,AlignedDimension,"PGI  P/L R/W  190452",F-RW-T,Compass 5 000
AF36E8,AlignedDimension,"Veren  A/R  901296",C-AR-T,Compass 5 000
AF36E9,AlignedDimension,"Veren  Water Line R/W  200508",C-AR-T,Compass 5 000
AF36EA,AlignedDimension,"Veren  A/R  170293",C-AR-T,Compass 5 000
AF372C,BlockReference,"*U30",AS-WILDLIFE-BLOCK,1.0000026211530906
AF373B,BlockReference,"*U31",AS-WILDLIFE-BLOCK,1.0000026211530906
AF374A,BlockReference,"*U32",AS-WILDLIFE-BLOCK,1.0000026211530906
AF375D,BlockReference,"HRV",CG-NOTES,1.0000049321697781
AF3761,BlockReference,"HRV",CG-NOTES,1.0000049321697781
AF3783,BlockReference,"*U28",0,1.0004401236235683
AF3792,BlockReference,"*U28",0,1.0004401236235683
AF37A1,BlockReference,"*U29",0,1.0004401236235683
AF37B0,MText,"800m Trumpeter  Swan Boundary",AS-WILDLIFE,10.004401236235465
AF37EB,AlignedDimension,"Veren  P/L R/W  160738",C-RW-T,Compass 5 000
AF37EC,AlignedDimension,"Veren  A/R  160940",C-AR-T,Compass 5 000
AF37EE,AlignedDimension,"Veren  P/L R/W  160738",C-RW-T,Compass 5 000
AF37EF,AlignedDimension,"Veren  A/R  991615",C-AR-T,Compass 5 000
AF382D,MText,"Theor. S.W.1/4 Sec. 27-64-3-W.6M.",C-SYMBOL,19.99999999999915
AF382E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999944
AF3832,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
AF3834,AlignedDimension,"Veren  P/L R/W  ______",C-RW-T,Compass 5 000
AF45F0,BlockReference,"L-SECLBL",L-SECLBL,0.9995620000000001
AF45F2,BlockReference,"L-SECLBL",L-SECLBL,0.9995620000000001
AF4780,BlockReference,"L-SECLBL",L-SECLBL,0.9995620000000001
AF4789,BlockReference,"L-SECLBL",L-SECLBL,0.9995620000000001
AF4792,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999579
AF4793,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999579
AF4795,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999577
AF47A3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992991999999516
AF47A5,DBText,"Theor. N.E.1/4 Sec. 27-64-3-W.6M.",C-SYMBOL,19.991239999999454
AF47A6,DBText,"Theor. S.E.1/4 Sec. 27-64-3-W.6M.",C-SYMBOL,19.991239999999454
AF47A7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992991999999516
AF4C5F,AlignedDimension,"Veren  A/R  901296",C-AR-T,Compass 5 000
AF4C7B,AlignedDimension,"Veren  Water Line R/W  200508",C-AR-T,Compass 5 000
