Handle,ObjType,Content,Layer,Extra
BCA3FB,BlockReference,"L-SECLBL",L-SECLBL,0.99955072
BCA458,MText,"Outlier 8-34 (Surface) MSL 030735",C-WS-T,9.995507199999823
BCA4A9,BlockReference,"GABD",F-WS-S,4.997753599999917
BCA4AA,MText,"8-34 (Abd.)",C-WS-T,9.995507199999823
BCA631,DBText,"Government Road Allowance",L-ROAD-T,9.99550719999984
BCA632,DBText,"(Undeveloped)",T-TEXT,9.99550719999984
BCA633,DBText,"(Correction Line)",L-ROAD-T,9.99550719999984
BCCD73,DBText,"Government Road Allowance",L-ROAD-T,9.995507199999844
BCCD74,DBText,"(High Grade Gravel Road)",T-TEXT,9.995507199999844
BCCD76,BlockReference,"*U32",AS-OWNER,1
BCD705,AlignedDimension,"Woodlands County  Forestry Road  600018",F-AR-T,Compass 5 000
BCDFC3,AlignedDimension,"Outlier  A/R  030512",C-AR-T,Compass 5 000
BCDFE2,AlignedDimension,"Outlier  P/L R/W  021935",C-RW-T,Compass 5 000
BD2867,AlignedDimension,"10.36 Road  832 0593",L-TITLEDB-T,Compass 5 000
BD43F2,DBText,"(Correction Line)",L-ROAD-T,9.99550719999984
BD43F4,MText,"(Undeveloped)",T-TEXT,9.99550719999984
BD43F5,MText,"Government Road Allowance",L-ROAD-T,9.99550719999984
BD605B,MText,"Buried Telus Cable",AS-TELUS,9.995507199999823
BDAD6F,MText,"Buried Telus Cable",AS-TELUS,9.995507199999823
BDB33B,AlignedDimension,"Fortis  Power Line R/W  5821 MC",F-RW-T,Compass 5 000
BDB37E,MText,"Fortis O/H Power Line",AS-POWER,9.99115995400839
BDB500,AlignedDimension,"20.12 Road  800 CL",L-TITLEDB,Compass 5 000
BDD276,MText,"Twp. 58",D-TXT,13.999999999999785
BDD277,MText,"Twp. 59",D-TXT,13.999999999999785
BDD278,MText,"Twp. 58",D-TXT,13.999999999999785
BDD279,MText,"Twp. 59",D-TXT,13.999999999999785
BE138F,AlignedDimension,"Fortis  Width  Control R/W  150003",F-VCE-T,Compass 5 000
BE13C9,AlignedDimension,"Fortis  Width  Line R/W  3105",F-EZE-T,Compass 5 000
BE4778,BlockReference,"L-SECLBL",L-SECLBL,0.99955072
BE50B6,BlockReference,"FDI",L-MON,4.997753599999977
BE50BB,BlockReference,"FDI",L-MON,4.997753599999977
BE50C0,BlockReference,"FDI",L-MON,4.997753599999991
BE50C5,BlockReference,"FDI",L-MON,4.997753599999977
BE50CA,BlockReference,"FDI",L-MON,4.997753599999977
BE50D9,BlockReference,"FDI",L-MON,4.997753599999977
BE50DE,BlockReference,"FDI",L-MON,4.997753599999977
BE50E3,BlockReference,"FDI",L-MON,4.997753599999977
BE554F,MText,"Lot 3 Block 1 Plan 852 2203",L-TITLEDB-T,9.995507199999823
BE5550,MText,"Lot 4 Block 1 Plan 852 2203",L-TITLEDB-T,9.995507199999823
BE5555,BlockReference,"*U32",AS-OWNER,1
BE5805,MText,"Special Access Zone Boundary",AS-WILDLIFE,9.999999999999803
BE6521,AlignedDimension,"Fortis  Power Line R/W  3105",F-EZE-T,Compass 5 000
BE664C,AlignedDimension,"Woodlands County  Forestry Road  600018",F-AR-T,Compass 5 000
BE6674,AlignedDimension,"Outlier  A/R  030656",C-AR-T,Compass 5 000
BE66A5,MText,"Outlier 11-35 (Surface) MSL 030656",C-WS-T,9.995507199999823
BE6CBC,AlignedDimension,"Mayerthorpe REA  Line R/W  860005",F-EZE-T,Compass 5 000
BE6CED,AlignedDimension,"Mayerthorpe REA  Power Line R/W  920019",F-EZE-T,Compass 5 000
BE6D11,AlignedDimension,"Fortis  Vegetation Control R/W  150003",F-VCE-T,Compass 5 000
BE7311,BlockReference,"res_occ",AS-RESIDENCE,4.997753599999938
BE7312,MText,"Residence",AS-RESIDENCE,9.995507199999823
BE7A1E,BlockReference,"res_occ",AS-RESIDENCE,4.997753599999938
BE7A1F,MText,"Residence",AS-RESIDENCE,9.995507199999823
BE7A20,MText,"Approximate Location of TRL Natural Gas Co-op Ltd.",AS-PIPE-UG-T,9.99997118755165
BE7BD1,MText,"6-35 (Abd.)",C-WS-T,9.995507199999823
BE7BD2,BlockReference,"GABD",F-WS-S,4.997753599999917
BE7CBC,MText,"Fortis O/H Power Line",AS-POWER,9.99115995400839
BE9AAE,AlignedDimension,"Fortis  Power Line R/W  5821 MC",F-EZE-T,Compass 5 000
BF70E0,BlockReference,"TEMP",L-MON,4.997753599999958
BF81AE,AlignedDimension,"Outlier  P/L R/W  112 1221  033923",C-RW-T,Compass 5 000
BF837D,DBText,"RP",35,9.995507199999919
BF8CBF,MText,"SEE DETAIL",DETAIL-T,15.992811519999837
BF9B92,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,0.99955072
BF9CA4,DBText,"270°02'50''",L-BD,9.995507199999919
BF9CA6,DBText,"270°02'50''",L-BD,9.995507199999919
BF9CAE,MText,"270°02'50''",L-BD,9.995507199999919
BF9CB0,DBText,"220°15'55''",L-BD,9.995507199999919
BF9DB2,DBText,"277°01'55''",L-BD,9.995507199999919
BF9ED4,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
BF9EDE,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
BF9EDF,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
BFA01A,BlockReference,"*U51",DETAIL-T,0.99955072
BFE7F4,DBText,"N.E.1/4 Sec. 34-58-12-W.5M.",C-SYMBOL,19.99101439999985
BFE7F5,DBText,"Area Required = 0.201 ha  0.50 Ac.",L-AREAREQUIRED,10.995057919999926
BFE7F6,DBText,"Workspace = 0.491 ha  1.21 Ac.",L-AREAWORK,10.995057919999926
BFE7F7,DBText,"N.W.1/4 Sec. 35-58-12-W.5M.",C-SYMBOL,19.99101439999985
BFE7F8,DBText,"Area Required = 0.727 ha  1.80 Ac.",L-AREAREQUIRED,10.995057919999926
C0276C,AlignedDimension,"Mayerthorpe REA  Powerline R/W  920019",F-EZE-T,Compass 5 000
C02B31,BlockReference,"xing2",P-CROSSINGS,0.99955072
C02B38,BlockReference,"xing2",P-CROSSINGS,0.99955072
C02B5F,BlockReference,"xing2",P-CROSSINGS,0.99955072
C02B6F,BlockReference,"xing2",P-CROSSINGS,0.99955072
C0E202,BlockReference,"FDI",L-MON,4.997753599999977
C0ED3A,AlignedDimension,"46.00 Road  842 1011",L-TITLEDB-T,Compass 5 000
C0ED6E,BlockReference,"TEMP",L-MON,4.997753599999958
C0ED6F,BlockReference,"TEMP",L-MON,4.997753599999958
C0F118,AlignedDimension,"{  CUT ZONE <>}",P-TEMP-NO CUT-T,Compass 5 000
C0F3D3,AlignedDimension,"Cenovus  P/L R/W  092 6577",F-RW-T,Compass 5 000
C1045D,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,0.99955072
C10460,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,0.99955072
C1046C,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.99955072
C10753,BlockReference,"FDI",L-MON,4.997753599999977
C10754,BlockReference,"TEMP",L-MON,4.997753599999977
C10755,BlockReference,"FDI",L-MON,4.997753599999977
C1078D,MText,"E.-W. 1/4 Line",L-QSEC,9.995507199999905
C1078E,MText,"Outlier 8-34 (Surface) MSL 030735",C-WS-T,9.995507199999823
C1078F,AlignedDimension,"Cenovus  P/L R/W  092 6577",F-RW-T,Compass 5 000
C107BF,AlignedDimension,"Outlier  P/L R/W  112 1221  033923",C-RW-T,Compass 5 000
C1081F,AlignedDimension,"Outlier  P/L R/W  021935",C-RW-T,Compass 5 000
C10861,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
C1097D,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
C1097F,BlockReference,"*U60",P-TEMP-BLOCKS,0.99955072
C109CA,BlockReference,"*U61",P-TEMP-BLOCKS,0.99955072
C10B6E,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.991014399999845
C1248A,BlockReference,"*U51",DETAIL-T,0.99955072
C126C0,MText,"270°02'50''",L-BD,9.995507199999919
C127E6,DBText,"78°28'40''",L-BD1,9.995507199999961
C127F9,DBText,"12°26'10''",L-BD,9.995507199999961
C127FB,DBText,"12°",L-BD,9.995507199999961
C12805,DBText,"10''",L-BD,9.995507199999961
C12806,MText,"Fd.I. Mp.",L-MON-T,9.995507199999905
C12922,MText,"178°45'40'' 59.64",L-BD,9.995507199999961
C12E8C,MText,"67.19 calc.",L-BD,9.995507199999919
C21C35,MText,"Small Permanent  Creek",T-WATER-T,9.999999999999952
C22B3C,DBText,"26'",L-BD,9.995507199999961
C22F1A,BlockReference,"xing2",P-CROSSINGS,0.99955072
C240F5,AlignedDimension,"Cenovus  P/L R/W  032086",F-RW-T,Compass 5 000
C245C9,BlockReference,"TEMP",L-MON,4.997753599999958
