Handle,ObjType,Content,Layer,Extra
12E6747,BlockReference,"L-SECLBL",L-SECLBL,0.999755
12E674D,BlockReference,"L-SECLBL",L-SECLBL,0.999755
12E6794,BlockReference,"L-SECLBL",L-SECLBL,0.999755
12E679A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.997550000000011
12E6812,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.997550000000011
12E6813,MText,"Theor. S.E.1/4 Sec. 5-76-9-W.6M.",C-SYMBOL,19.995100000000022
12E6814,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000244
12E6816,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99608000000024
12E684C,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,9.997550000000011
12E6852,DBText,"Theor. S.W.1/4 Sec. 19-76-9-W.6M.",C-SYMBOL,20.0000000000002
12E6853,BlockReference,"L-SECLBL",L-SECLBL,1
12E6859,BlockReference,"L-SECLBL",L-SECLBL,1
12E685F,DBText,"Theor. S.W.1/4 Sec. 7-76-9-W.6M.",C-SYMBOL,20.0000000000002
12E6860,DBText,"Theor. S.E.1/4 Sec. 7-76-9-W.6M.",C-SYMBOL,20.0000000000002
12E6868,DBText,"Theor. N.W.1/4 Sec. 5-76-9-W.6M.",C-SYMBOL,20.0000000000002
12E6869,DBText,"Theor. S.W.1/4 Sec. 5-76-9-W.6M.",C-SYMBOL,20.0000000000002
12E687A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E687C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E687E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E6880,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E6882,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E6884,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E6888,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E688A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996080000000166
12E6902,MText,"Trumpeter Swan 800m Boundary",AS-WILDLIFE,9.997550000000011
12E6904,MText,"Trumpeter Swan 800m Boundary",AS-WILDLIFE,9.997550000000011
12E6906,MText,"Trumpeter Swan 800m Boundary",AS-WILDLIFE,9.997550000000011
12E6908,MText,"Trumpeter Swan 500m Boundary",AS-WILDLIFE,9.997550000000011
12E690A,MText,"Trumpeter Swan 500m Boundary",AS-WILDLIFE,9.997550000000011
