Handle,ObjType,Content,Layer,Extra
B6A4F8,BlockReference,"TEMP",L-MON,4.99787839999997
B6A4F9,BlockReference,"TEMP",L-MON,4.99787839999997
B6A4FA,BlockReference,"TEMP",L-MON,4.99787839999997
B6A4FB,BlockReference,"TEMP",L-MON,4.99787839999997
B6A4FC,BlockReference,"TEMP",L-MON,4.99787839999997
B6A4FD,BlockReference,"FDI",L-MON,4.999999999999965
B6A4FE,BlockReference,"GAS",C-WS-S,4.9999999999999325
B6A51E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995756799999855
B6A51F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995756799999855
B6A520,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993210879999758
B6A54D,BlockReference,"*U38",L-SECLBL,0.99957568
B6A55C,MText,"Prairie Provident 7-25 (Surface) MSL 100738",F-WS-T,9.99575679999986
B6A55E,AlignedDimension,"ATCO  Power Line R/W  120289",F-EZE-T,Compass 5 000
B6A55F,AlignedDimension,"Prairie Provident  P/L R/W  111989",F-RW-T,Compass 5 000
B6A560,AlignedDimension,"Prairie Provident  A/R  100496",F-FLOWLINE-T,Compass 5 000
B6A562,AlignedDimension,"Prairie Provident  A/R  100501",F-AR-T,Compass 5 000
B6A563,AlignedDimension,"Prairie Provident  Water Line R/W  170067",F-RW-T,Compass 5 000
B6A564,MText,"Prairie Provident Sump Site MSL 130142",F-WS-T,9.99575679999986
B6A565,AlignedDimension,"Prairie Provident  P/L R/W  111990",F-RW-T,Compass 5 000
B6A566,AlignedDimension,"Prairie Provident  P/L R/W  160008",F-RW-T,Compass 5 000
B6A567,AlignedDimension,"ATCO  Vegetation Control  120054",F-RW-T,Compass 5 000
B6A568,AlignedDimension,"Prairie Provident  Water Line R/W  170108",F-RW-T,Compass 5 000
B6A569,AlignedDimension,"Prairie Provident  A/R  062880",F-AR-T,Compass 5 000
B6A56A,BlockReference,"GAS",F-WS-S,4.999999999999931
B6A56B,BlockReference,"GAS",F-WS-S,4.999999999999931
B6A56C,BlockReference,"GAS",F-WS-S,4.999999999999931
B6A56D,BlockReference,"GAS",F-WS-S,4.999999999999931
B6A57C,MText,"Muskeg 5cm Spruce & Tamarack",T-BUSH-T,9.995756799999882
B6A57D,MText,"50cm Poplar & Spruce",T-BUSH-T,9.995756799999882
B6A57E,MText,"15cm Spruce & Tamarack",T-BUSH-T,9.995756799999882
B6A580,MText,"50cm Poplar & Spruce",T-BUSH-T,9.995756799999882
B6A581,MText,"Prairie Provident 5-25 (Surface) MSL 100745",F-WS-T,9.99575679999986
B6A582,BlockReference,"L-SECLBL",L-SECLBL,0.99957568
B6A588,MText,"6m Overgrown Seismic Line",AS-SEISMIC,9.995756799999857
B6A58B,AlignedDimension,"Karve  A/R  ______",C-AR-T,Compass 5 000
B6A58C,MText,"Open Water",T-WATER,9.991468620332592
B6A595,BlockReference,"L-SECLBL",L-SECLBL,1
B6A5A5,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999575
B6A5AE,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9957099999998
B6A5C1,AlignedDimension,"Karve  A/R   900805",C-AR-T,Compass 5 000
B6A5C2,MText,"Karve 5-35 (Surface) MSL 053155",C-WS-T,9.995709999999814
B6A5C4,MText,"Karve 5-35 (Surface) MSL 220579",C-WS-T,9.995709999999814
B6A5C6,AlignedDimension,"Prairie Provident  A/R  231684",F-VCE-T,Compass 5 000
B6A5C7,AlignedDimension,"ATCO  Power Line R/W   100066",F-EZE-T,Compass 5 000
B6A5C8,MText,"7-35 (Abd.)",F-WS-T,9.992351063163412
B6A5CB,MText,"30cm Poplar  & Spruce",T-BUSH-T,9.9957099999998
B6A5CD,BlockReference,"GABD",F-WS-S,4.9978549999999
B6A5CE,BlockReference,"GABD",F-WS-S,4.9999999999999165
B6A5CF,BlockReference,"GAS",F-WS-S,4.999999999999934
B6A5D0,BlockReference,"GAS",F-WS-S,4.999999999999934
B6A5D1,BlockReference,"GAS",F-WS-S,4.999999999999934
B6A5D2,BlockReference,"GAS",F-WS-S,4.999999999999934
B6A5D3,BlockReference,"GABD",F-WS-S,4.999999999999938
B6A5D4,BlockReference,"GAS",F-WS-S,4.999999999999938
B6A5D5,BlockReference,"GAS",F-WS-S,4.999999999999938
B6A5D6,BlockReference,"GAS",C-WS-S,4.9999999999999325
B6A5E5,AlignedDimension,"ATCO  Power Line R/W  150229",F-EZE-T,Compass 5 000
