Handle,ObjType,Content,Layer,Extra
AF4909,BlockReference,"L-SECLBL",L-SECLBL,1
AF490F,BlockReference,"L-SECLBL",L-SECLBL,1
AF4915,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000114
AF4917,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000114
AF4919,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000114
AF4921,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000114
AF4922,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000114
AF4923,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000114
AF4A0A,BlockReference,"*U16",AS-WILDLIFE-BLOCK,1.000407846270768
AF4A19,BlockReference,"*U20",AS-WILDLIFE-BLOCK,1.000407846270768
AF4A28,AlignedDimension,"Hammerhead  P/L R/W  220744",F-RW,Compass 5 000
AF4A29,BlockReference,"L-SECLBL",L-SECLBL,1.0000105142864713
AF4A3C,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.000105142864713
AF4A3D,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.000105142864713
AF4A3F,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000112
AF4A40,BlockReference,"*U21",L-SECLBL,1
AF4A4F,MText,"Theor. S.W.1/4 Sec.  12-66-4-W.6M.",C-SYMBOL,20.000000000000227
AF4A50,BlockReference,"*U17",L-SECLBL,1.0008191829549686
AF4A5F,MText,"Key Wildlife & Biodiversity Zone Boundary",AS-WILDLIFE,10.00000000000001
AF4A61,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,10.00000000000001
AF4A63,BlockReference,"*U18",AS-WILDLIFE-BLOCK,1.000407846270768
AF4A72,BlockReference,"*U19",AS-WILDLIFE-BLOCK,1.000407846270768
AF4A81,MText,"Rge. 4",D-TXT,14.005709847790847
AF4A82,MText,"Rge. 3",D-TXT,14.005709847790847
AF4A83,MText,"Theor. S.E.1/4 Sec. 13-66-4-W.6M.",C-SYMBOL,20.000000000000227
AF4A94,MText,"Theor. N.W.1/4 Sec. 12-66-4-W.6M.",C-SYMBOL,20.000000000000227
AF4AAA,MText,"Hammerhead 15.00 A/R LOC 131113",F-AR-T,10.00000000000001
AF4AAC,AlignedDimension,"Hammerhead  A/R  210907",F-AR-T,Compass 5 000
AF4AAD,AlignedDimension,"Hammerhead  A/R  210907",F-AR-T,Compass 5 000
AF4AAE,AlignedDimension,"Alberta Rail Rock  A/R  012332",F-AR-T,Compass 5 000
AF4AAF,AlignedDimension,"CNRL  A/R  045549",F-AR-T,Compass 5 000
AF4AB0,AlignedDimension,"CNRL  A/R  902 2055  881104",F-AR-T,Compass 5 000
AF4AB2,AlignedDimension,"HWN  A/R  131674",F-AR-T,Compass 5 000
AF4AB3,AlignedDimension,"Hammerhead  A/R  131628",F-AR-T,Compass 5 000
AF4AB4,AlignedDimension,"HWN  A/R  131674",F-AR-T,Compass 5 000
AF4AB5,AlignedDimension,"CNRL  A/R  131881",F-AR-T,Compass 5 000
AF4AB7,AlignedDimension,"Alberta Rail Rock  A/R  012332",F-AR-T,Compass 5 000
AF4AB8,BlockReference,"*U15",F-AR-T,1
AF4AC8,AlignedDimension,"Hammerhead  Waterline R/W  210892",F-RW-T,Compass 5 000
AF4AC9,AlignedDimension,"Hammerhead  Waterline R/W  210892",F-RW-T,Compass 5 000
AF4ACB,AlignedDimension,"Hammerhead  P/L R/W  170447",F-RW-T,Compass 5 000
AF4ACC,AlignedDimension,"Hammerhead  P/L R/W  170041",F-RW-T,Compass 5 000
AF4ACE,AlignedDimension,"Hammerhead  P/L R/W  160830",F-RW-T,Compass 5 000
AF4ACF,AlignedDimension,"HWN  P/L R/W  121940",F-RW-T,Compass 5 000
AF4AD0,AlignedDimension,"CNRL  P/L R/W  942 0857  940124",F-RW-T,Compass 5 000
AF4AD2,AlignedDimension,"Mancal  P/L R/W  112169",F-RW-T,Compass 5 000
AF4AD3,AlignedDimension,"CNRL  P/L R/W  902 2055  890721",F-RW-T,Compass 5 000
AF4AD4,AlignedDimension,"Hammerhead  P/L R/W  220277",F-RW-T,Compass 5 000
AF4AD8,AlignedDimension,"HWN  P/L R/W  131055",F-RW-T,Compass 5 000
AF4AD9,AlignedDimension,"Keyera  P/L R/W  200094",F-RW-T,Compass 5 000
AF4ADA,AlignedDimension,"Keyera  P/L R/W  131091",F-RW-T,Compass 5 000
AF4ADB,AlignedDimension,"PGI  P/L R/W  022 1872  001999",F-RW-T,Compass 5 000
AF4ADC,AlignedDimension,"Hammerhead  P/L R/W  180744",F-RW-T,Compass 5 000
AF4ADD,AlignedDimension,"Hammerhead  P/L R/W  141279",F-RW-T,Compass 5 000
AF4ADE,AlignedDimension,"PGI  P/L R/W  022 1872  001999",F-RW-T,Compass 5 000
AF4ADF,AlignedDimension,"HWN  P/L R/W  131055",F-RW-T,Compass 5 000
AF4AE0,AlignedDimension,"CNRL  P/L R/W  131818",F-RW-T,Compass 5 000
AF4AE1,AlignedDimension,"HWN  P/L R/W  151471",F-RW-T,Compass 5 000
AF4AE2,AlignedDimension,"Hammerhead  P/L R/W  170447",F-RW-T,Compass 5 000
AF4AE4,AlignedDimension,"CNRL  P/L R/W  052 4987  052315",F-RW-T,Compass 5 000
AF4AEA,MText,"Hammerhead 5-12 (Surface) MSL 131064",F-WS-T,10.00000000000001
AF4AEB,MText,"Hammerhead Pump Station PIL 210219",F-WS-T,10.00000000000001
AF4AEE,MText,"CNRL 6-12 MSL 045549",F-WS-T,10.00000000000001
AF4AEF,MText,"CNRL 1-11 MSL 881654",F-WS-T,10.00000000000001
AF4AF0,MText,"Mancal 16-11 (Surface) MSL 141322",F-WS-T,10.00000000000001
AF4AF1,MText,"Hammerhead 12-12(Surface) MSL 221538",F-WS-T,10.00000000000001
AF4AF2,MText,"HWN Riser Site PIL 130509",F-WS-T,10.00000000000001
AF4AF5,MText,"HWN Storage MLL 160098",F-WS-T,10.00000000000001
AF4AF6,MText,"Hammerhead 2-13 (Surface) MSL 111884",F-WS-T,10.00000000000001
AF4AF7,MText,"HWN 16-12 (Surface) MSL 131286",F-WS-T,10.00000000000001
AF4AF8,MText,"CNRL 16-12 (Surface) MSL 131790",F-WS-T,10.00000000000001
AF4AFA,MText,"HWN Riser Site PIL 150784",F-WS-T,10.00000000000001
AF4AFC,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4AFD,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4AFE,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4AFF,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B00,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B01,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B02,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B03,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B04,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B05,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B06,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B08,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B09,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0A,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0B,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0C,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0D,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0E,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B0F,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B10,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B11,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B12,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B13,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B14,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B15,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B16,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B17,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B18,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B19,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1A,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1B,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1C,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1D,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1E,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B1F,BlockReference,"GAS",F-WS-S,5.000000000000009
AF4B24,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000114
AF4B26,MText,"Theor. N.E.1/4 Sec. 12-66-4-W.6M.",C-SYMBOL,20.000000000000227
AF4B27,BlockReference,"*U14",L-SECLBL,1
AF4B56,MText,"Theor. S.E.1/4 Sec. 12-66-4-W.6M.",C-SYMBOL,20.000000000000227
AF5600,MText,"Rge. 4",D-TXT,14.005709847790847
AF5601,MText,"Rge. 3",D-TXT,14.005709847790847
AF5602,AlignedDimension,"CNRL  P/L R/W  220903",F-RW-T,Compass 5 000
AF62EB,MText,"Seismic Line",AS-SEISMIC,10.00000000000001
AF856B,AlignedDimension,"CNRL  P/L R/W  220903",F-RW-T,Compass 5 000
AF866D,AlignedDimension,"HWN  P/L R/W  121940",F-RW-T,Compass 5 000
AF9176,BlockReference,"Temp_Area",P-TEMP-BLOCKS,1
AF9184,BlockReference,"Temp_Area",P-TEMP-BLOCKS,1
AF9563,MText,"Ephemeral Draw",T-WATER-T,10.00000000000001
AF970D,MText,"Ephemeral Draw",T-WATER-T,10.00000000000001
AF9712,MText,"Ephemeral Draw",T-WATER-T,10.00000000000001
AF9809,MText,"Intermittent Creek",T-WATER-T,10.00000000000001
AF980C,MText,"Ephemeral Draw",T-WATER-T,10.00000000000001
AF980F,MText,"Ephemeral  Draw",T-WATER-T,10.00000000000001
AF9812,MText,"Ephemeral Draw",T-WATER-T,10.00000000000001
AF9916,DBText,"F-Wc",WETLAND-T,10.00000000000001
AF9917,DBText,"M-g",WETLAND-T,10.00000000000001
AF9928,DBText,"F-g",WETLAND-T,10.00000000000001
AF9A3C,MText,"Ephemeral  Draw",T-WATER-T,10.00000000000001
AF9DD5,BlockReference,"TEMP",L-MON,5.000000000000005
AF9DD8,BlockReference,"TEMP",L-MON,5.000000000000005
AF9DD9,BlockReference,"TEMP",L-MON,5.000000000000005
AF9DDA,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC3,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC4,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC5,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC6,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC7,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC8,BlockReference,"TEMP",L-MON,5.000000000000005
AF9EC9,BlockReference,"TEMP",L-MON,5.000000000000005
AF9ECA,BlockReference,"TEMP",L-MON,5.000000000000005
AF9ECB,BlockReference,"TEMP",L-MON,5.000000000000005
AFA590,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFA597,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFA5A5,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFA69B,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFA6A9,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFA6F2,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFABC3,BlockReference,"Temp_Area",P-TEMP-BLOCKS,1
AFABD5,BlockReference,"Temp_Area",P-TEMP-BLOCKS,1
AFABD8,BlockReference,"Temp_Area",P-TEMP-BLOCKS,1
AFAC07,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAC0E,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAC15,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAD09,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAD18,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAD1F,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAE0C,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAE13,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFAE1A,BlockReference,"xing2",P-CROSSINGS,0.9995923200000004
AFDE83,BlockReference,"*U62",P-TEMP-BLOCKS,1
AFDEC5,BlockReference,"*U62",P-TEMP-BLOCKS,1
AFE4C6,BlockReference,"*U63",P-TEMP-BLOCKS,1
AFE508,AlignedDimension,"Hammerhead  P/L R/W  170041",F-RW-T,Compass 5 000
AFE524,AlignedDimension,"Hammerhead  P/L R/W  220744",F-RW-T,Compass 5 000
B05AB4,BlockReference,"*U66",F-RW-T,1.000407846270768
B110A5,MText,"30m Buffer",P-BUFFER-T,10.000000000000064
B110A7,MText,"30m Buffer",P-BUFFER-T,10.000000000000064
B110A9,MText,"30m Buffer",P-BUFFER-T,10.000000000000064
B110AB,MText,"30m Buffer",P-BUFFER-T,10.000000000000064
B13039,AlignedDimension,"HWN  P/L R/W  200392",F-RW-T,Compass 5 000
B152B1,BlockReference,"*U18",AS-WILDLIFE-BLOCK,1.000407846270768
B152C0,BlockReference,"*U19",AS-WILDLIFE-BLOCK,1.000407846270768
B1E564,BlockReference,"*U68",DETAIL-T,0.9995923200000004
B1ECBC,DBText,"403.3 (Tie)",L-BD,10.000000000000043
