Handle,ObjType,Content,Layer,Extra
AF5727,BlockReference,"L-SECLBL",L-SECLBL,1
AF572D,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999913
AF572E,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999913
AF5A2F,MText,"Twp. 65",D-TXT,13.986146508825497
AF5A30,MText,"Twp. 66",D-TXT,13.986146508825497
AF5AB5,DBText,"S.E.1/4 Sec. 6-66-5-W.4M.",C-SYMBOL,19.98020929832214
AF5AB6,DBText,"Area Required = 1.542 ha  3.81 Ac.",L-SYMBOL,10.989115114077167
AF5BBB,BlockReference,"*U22",0,1
AF5BCA,BlockReference,"*U23",0,1
AF5D94,MText,"Government Road Allowance",L-ROAD-T,9.999999999999915
AF5DD1,AlignedDimension,"CNRL  A/R  822 0165  820371",F-AR-T,Compass 5 000
AF5E0F,AlignedDimension,"ATCO  Power Line R/W  120218",F-EZE-T,Compass 5 000
AF5E14,AlignedDimension,"ATCO  Transmission Line R/W  022 0949  000256",F-EZE-T,Compass 5 000
AF5E15,AlignedDimension,"ATCO  Power Line R/W  020140",F-EZE-T,Compass 5 000
AF5E16,AlignedDimension,"ATCO  Power Line R/W  120220",F-EZE-T,Compass 5 000
AF5E18,AlignedDimension,"ATCO  Power Line R/W  870507",F-EZE-T,Compass 5 000
AF5E19,AlignedDimension,"ATCO  Power Line R/W  892 1342  880061",F-EZE-T,Compass 5 000
AF5E1A,AlignedDimension,"ATCO  Vegetation Control  880062",F-EZE-T,Compass 5 000
AF5E1C,AlignedDimension,"ATCO  Power Line R/W  950259",F-EZE-T,Compass 5 000
AF5E28,AlignedDimension,"Telus  Communication Control  160002",F-EZE-T,Compass 5 000
AF5E46,AlignedDimension,"ATCO  Power Line R/W  120218",F-RW-T,Compass 5 000
AF5E47,AlignedDimension,"Cold Lake  P/L R/W  100690",F-RW-T,Compass 5 000
AF5E48,AlignedDimension,"Inter Pipeline  P/L R/W  130419",F-RW-T,Compass 5 000
AF5E49,AlignedDimension,"CNRL  P/L R/W  180314",F-RW-T,Compass 5 000
AF5E4A,AlignedDimension,"Cold Lake  P/L R/W  842 2501  860288",F-RW-T,Compass 5 000
AF5E4B,AlignedDimension,"CNRL  P/L R/W  972 2739  961624",F-RW-T,Compass 5 000
AF5E4C,AlignedDimension,"ATCO  Width Vegetation Control  070044",F-RW-T,Compass 5 000
AF5E4D,AlignedDimension,"ATCO  Power Line R/W  120218",F-RW-T,Compass 5 000
AF5E4F,AlignedDimension,"CNRL  A/R  822 0165  820371",F-RW-T,Compass 5 000
AF5E50,AlignedDimension,"Cold Lake  P/L R/W  100690",F-RW-T,Compass 5 000
AF5E51,AlignedDimension,"CNRL  P/L R/W  180314",F-RW-T,Compass 5 000
AF5E52,AlignedDimension,"Cold Lake  P/L R/W  842 2501  860288",F-RW-T,Compass 5 000
AF5EAF,AlignedDimension,"ATCO  Width Vegetation Control  000035",F-VCE-T,Compass 5 000
AF5EB3,AlignedDimension,"ATCO  Vegetation Control  120039",F-VCE-T,Compass 5 000
AF5EC4,MText,"ATCO Substation Site Plan 842 2536 DML 840019 (Expired)",F-WS-T,9.995051099999957
AF5EC6,MText,"CNRL Commercial Development MLL 860237 (Expired)",F-WS-T,9.995051099999957
AF5EC8,MText,"1798471 Alberta Surface Materials SME 210072 (Expired)",F-WS-T,9.995051099999957
AF5ECA,MText,"1798471 Alberta SME 210072 (Expired)",F-WS-T,9.995051099999957
AF5F01,AlignedDimension,"40.00 Road  052 0029",L-TITLEDB-T,Compass 5 000
AF5F05,DBText,"(Undeveloped)",T-TEXT,9.999999999999913
AF5F06,DBText,"(Undeveloped)",T-TEXT,9.999999999999913
AF5F1C,DBText,"(Undeveloped)",T-TEXT,9.999999999999915
AF5F6F,BlockReference,"Gabd",F-WS-S,4.9975255499999784
AF5F70,BlockReference,"Gabd",F-WS-S,4.9975255499999784
B25EAA,BlockReference,"RP",0,0.999501
B2CE45,DBText,"Area Required = 2.209 ha  5.46 Ac.",L-AREAREQUIRED,10.994510999999967
B2CF4E,MText,"SEE DETAIL 'A'",DETAIL-T,15.992015999999957
B2D572,DBText,"15°38'",L-BD1,9.99500999999998
B2D587,MText,"64.6 25°38'",L-BD1,9.99500999999998
B2D589,DBText,"25°38'",L-BD1,9.99500999999998
B2D58D,DBText,"6°12'",L-BD1,9.99500999999998
B2D592,AlignedDimension,"Nova  P/L R/W  162 0677  130752",F-RW-T,Compass 5 000
B2D5BA,AlignedDimension,"ATCO  Vegetation Control  120041",F-VCE-T,Compass 5 000
B2DD3B,MText,"266°11' 13.4",L-BD1,9.99500999999998
B2DD43,MText,"76.2 33°57'",L-BD1,9.99500999999998
B2DD47,MText,"27.3 359°37'",L-BD1,9.99500999999998
B2DE39,DBText,"346°33'",L-BD1,9.99500999999998
B2DE66,BlockReference,"TEMP",L-MON,4.99750499999999
B2DE67,BlockReference,"TEMP",L-MON,4.99750499999999
B2DE68,BlockReference,"TEMP",L-MON,4.99750499999999
B2E5C9,DBText,"2°26'",L-BD1,9.99500999999998
B2E5CB,DBText,"15°38'",L-BD1,9.99500999999998
B2E5CD,DBText,"2°26'",L-BD1,9.99500999999998
B2ECE4,DBText,"15°38'",L-BD1,9.99500999999998
B31416,AlignedDimension,"Federation  Power Line R/W  842 2504  850219  be Cancelled)",C-EZE-T,Compass 5 000
B31B5D,AlignedDimension,"Variable Width",P-TXT,Compass 5 000
B31B90,MText,"43.2 40°44'",L-BD1,9.99500999999998
B32877,AlignedDimension,"40.00 Road  052 0029",L-TITLEDB-T,Compass 5 000
B32931,BlockReference,"*U19",DETAIL-T,0.999501
B3293F,MText,"DETAIL 'A'",DETAIL-T,19.990019999999966
B32941,MText,"SEE DETAIL 'B'",DETAIL-T,15.992015999999957
B32F90,DBText,"Federation",C-EZE-T,9.995009999999983
B32F92,DBText,"Plan 842 2504",C-EZE-T,9.995009999999983
B32F93,DBText,"EZE 850219",C-EZE-T,9.995009999999983
B32F94,DBText,"(To be Cancelled)",C-EZE-T,9.995009999999983
B32F95,MText,"Variable Width Power Line R/W",C-EZE-T,9.995009999999983
B335D7,BlockReference,"TEMP",L-MON,4.997504999999991
B335D8,BlockReference,"TEMP",L-MON,4.997504999999991
B3515E,DBText,"15°38'",L-BD1,9.99500999999998
B3521D,AlignedDimension,"Variable Width",P-TXT,Compass 5 000
B35332,AlignedDimension,"Inter Pipeline  P/L R/W  130419",F-RW-T,Compass 5 000
B35A81,AlignedDimension,"ATCO  Width Power Line R/W  950258",F-RW-T,Compass 5 000
B35AAD,BlockReference,"xing2",P-CROSSINGS,0.999501
B35CD2,BlockReference,"xing2",P-CROSSINGS,0.999501
B35DC7,BlockReference,"xing2",P-CROSSINGS,0.999501
B35DCE,BlockReference,"xing2",P-CROSSINGS,0.999501
B364EF,BlockReference,"xing2",P-CROSSINGS,0.999501
B38C46,AlignedDimension,"Variable Width",P-TXT,Compass 5 000
B3930F,AlignedDimension,"ATCO  Width Power Line R/W  950258",F-RW-T,Compass 5 000
B39476,DBText,"15°38'",L-BD1,9.995009999999983
B39567,MText,"64.6 25°38'",L-BD1,9.99500999999998
B39572,BlockReference,"xing2",P-CROSSINGS,0.999501
B39579,AlignedDimension,"Cold Lake  P/L R/W  842 2501  860288",F-RW-T,Compass 5 000
B395A3,BlockReference,"*U19",DETAIL-T,0.999501
B395B1,MText,"DETAIL 'B'",DETAIL-T,19.990019999999966
B396A1,DBText,"696.5 (Tie)",L-BD,9.995009999999983
B396A2,DBText,"296°35'",L-BD,9.995009999999983
B396A3,DBText,"764.7 (Tie)",L-BD,9.995009999999983
B396A4,DBText,"144°56'",L-BD,9.995009999999983
B398BC,AlignedDimension,"Federation  Power Line R/W  842 2504  850219  be Cancelled)",C-EZE-T,Compass 5 000
B39A27,MText,"6.2 25°38'",L-BD1,9.995009999999983
B3A6BF,AlignedDimension,"CNRL  A/R  822 0165  820371",F-RW-T,Compass 5 000
B3A7DD,AlignedDimension,"40.00 Road  052 0029",L-TITLEDB-T,Compass 5 000
B3A855,AlignedDimension,"CNRL  A/R  822 0165  820371",F-RW-T,Compass 5 000
B3BB5F,MText,"N.E.1/4 Sec. 6-66-5-W.4M.",C-SYMBOL,19.99001999999996
B3BCBE,BlockReference,"xing2",P-CROSSINGS,0.999501
B40728,MText,"Unnamed Creek",T-WATER-T,10.999999999999915
B40729,MText,"10-6 (Abd.)",F-WS-T,9.995051099999957
B40866,DBText,"ATCO",F-RW-T,9.99500999999999
B40868,DBText,"EZE 950258",F-RW-T,9.99500999999999
B40869,MText,"Variable Width Power Line R/W",F-RW-T,9.99500999999999
B40874,MText,"10-6 (Abd.)",F-WS-T,9.995051099999957
B421ED,BlockReference,"Gabd",F-WS-S,4.997504999999997
B421EE,MText,"8-6 (Abd.)",F-WS-T,9.995051099999957
