Handle,ObjType,Content,Layer,Extra
BC54DE,BlockReference,"GAS",C-WS-T,5.000000000000091
BC54F3,BlockReference,"GAS",C-WS-T,5.000000000000091
BC5504,BlockReference,"GAS",C-WS-T,5.000000000000091
BC5561,BlockReference,"GAS",C-WS-T,5.000000000000091
BC5E86,BlockReference,"GAS",C-WS-T,5.000000000000091
BC68F7,BlockReference,"PIG",AS-SYMBOL,5.000000000000091
BC6908,BlockReference,"PIG",AS-SYMBOL,5.000000000000091
BD01B6,BlockReference,"as-built legend",CG-NOTES,1
BD247C,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD247D,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD247E,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD247F,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2480,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2481,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2482,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2483,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2484,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD2485,BlockReference,"BH-Existing",AS-DRILL-T,0.40000000000000757
BD3DF9,BlockReference,"FLARE",AS-SYMBOL,5.000000000000091
BD461F,BlockReference,"RISER",AS-SYMBOL,5.000000000000091
BD462D,BlockReference,"RISER",AS-SYMBOL,5.000000000000091
BD462E,BlockReference,"RISER",AS-SYMBOL,5.000000000000091
BE0DBA,BlockReference,"RISER",AS-SYMBOL,5.000000000000085
BE2EEC,MText,"Break Line",T-TEXT,9.998030600000165
BE36C8,MText,"Beaver Dams",T-TEXT,9.998030600000165
BE36CA,MText,"Flood Area",T-WATER-T,9.998030600000165
BE3703,MText,"Culvert",T-TEXT,9.998030600000165
BE3EDF,MText,"Flood Area",T-WATER-T,9.998030600000165
BE479F,MText,"Beaver Dam",T-TEXT,9.998030600000165
BE47A5,MText,"Break Line",T-TEXT,9.998030600000163
BE577D,MText,"Small Permanent Creek 1.0 Wide, 0.5 deep",T-WATER-T,9.998030600000165
BE577F,MText,"Small Permanent Creek",T-WATER-T,9.998030600000165
BE5F62,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BE5F63,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BE6828,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BE7A2A,MText,"30cm Poplar  & Spruce",T-BUSH-T,9.998030600000165
BE7A2B,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000165
BE7A2C,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000165
BE8216,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEA271,MText,"Break Line",T-TEXT,9.998030600000165
BEAA48,MText,"Intermittent Creek 1.0 Wide, 0.4 Deep",T-CREEK,9.998030600000165
BED28E,MText,"8m High Grade Gravel Road",T-TEXT,9.998030600000165
BEDA68,MText,"Old Borrow Pit",T-TEXT,9.998030600000165
BEDA6B,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEE242,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEE249,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEE24A,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEEA26,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BEEA27,BlockReference,"RISER",AS-SYMBOL,4.9990153000000825
BF0A84,MText,"7m High Grade Gravel Road",T-TEXT,9.998030600000165
BF7561,MText,"SEE DETAIL 'H'",DETAIL-T,15.996856959999894
