Handle,ObjType,Content,Layer,Extra
AF42F8,MText,"Twp. 64",D-TXT,13.999999999999744
AF42F9,MText,"Twp. 65",D-TXT,13.999999999999744
AF42FD,BlockReference,"L-SECLBL",L-SECLBL,0.9995639999999775
AF4308,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995639999999819
AF4309,MText,"Theor. S.E.1/4 Sec. 4  65-3-W.6M.",L-DESC,19.999999999999492
AF4310,DBText,"Undeveloped Government Road Allowance",L-ROAD-T,9.995639999999819
AF4311,DBText,"17th BASELINE",L-ROAD-T,9.995639999999819
AF4312,DBText,"Undeveloped Government Road Allowance",L-ROAD-T,9.995639999999819
AF4313,MText,"UNSURVEYED TERRITORY",L-DESC,15.99999999999962
AF433A,MText,"3-Buried Pipes",AS-PIPE-UG-T,9.995621099999775
AF4380,BlockReference,"HRV",CG-NOTES,1
AF43A0,AlignedDimension,"Crescent Point  A/R  170130  be Cancelled)",C-AR-T,Compass 5 000
AF43A1,MText,"Crescent Point 1-4 (Surface) MSL 150090",C-WS-T,9.995639999999819
AF43A4,AlignedDimension,"PGI  P/L R/W  150578",F-RW-T,Compass 5 000
AF43A5,AlignedDimension,"PGI  P/L R/W  151381",F-RW-T,Compass 5 000
AF43A6,AlignedDimension,"PGI  P/L R/W  151374",F-RW-T,Compass 5 000
AF43A9,AlignedDimension,"PGI  P/L R/W  190496",F-RW-T,Compass 5 000
AF43AA,MText,"CNRL 7-4 (Surface) MSL 043645",F-WS-T,9.995639999999819
AF43AC,MText,"CNRL 1-4 (Surface) MSL 042454",F-WS-T,9.995639999999819
AF43C0,BlockReference,"*U43",0,1
AF43E0,BlockReference,"RISER",AS-SYMBOL,4.999999999999879
AF43E1,BlockReference,"RISER",AS-SYMBOL,4.999999999999879
AF43E2,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E3,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E4,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E5,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E6,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E7,BlockReference,"GAS",F-WS-S,4.9977979999999915
AF43E8,BlockReference,"GABD",F-WS-S,4.997810549999895
AF440F,MText,"Theor. S.W.1/4  Sec. 3-65-3-W.6M.",L-DESC,19.99999999999985
AF4412,MText,"UNSURVEYED TERRITORY",L-DESC,15.999999999999854
AF4414,BlockReference,"L-SECLBL",L-SECLBL,0.9995639999999921
AF441B,MText,"Twp. 64",D-TXT,13.999999999999924
AF441C,MText,"Twp. 65",D-TXT,13.999999999999924
AF4442,DBText,"17th BASELINE",L-ROAD-T,9.995639999999936
AF4455,BlockReference,"HRV",CG-NOTES,1
AF446C,AlignedDimension,"PGI  P/L R/W  151381",F-RW-T,Compass 5 000
AF446D,AlignedDimension,"Crescent Point  A/R  170130  be Cancelled)",C-AR-T,Compass 5 000
AF446F,MText,"Crescent Point 6-3 (Surface) MSL 930256",C-WS-T,9.995639999999936
AF5834,BlockReference,"*U51",AS-SURFACE IMPACT,1
