Handle,ObjType,Content,Layer,Extra
AF887D,MText,"Rge. 19",D-TXT,14.000000000000068
AF887E,MText,"Rge. 18",D-TXT,14.000000000000068
AF88A3,BlockReference,"L-SECLBL",L-SECLBL,1
AF88A9,MText,"(Correction Line)",L-ROAD-T,9.9999999999997
AF88AA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999718
AF88AB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999718
AF88AC,MText,"Twp. 62",D-TXT,13.999999999999547
AF88AD,MText,"Twp. 63",D-TXT,13.999999999999547
AF88AE,MText,"Rge. 19",D-TXT,13.999999999999547
AF88AF,MText,"Rge. 18",D-TXT,13.999999999999547
AF88E4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999442
AF88E6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999442
AF88F3,MText,"500m Trumpeter Swan Boundary",AS-BOUNDARY,9.996643062181514
AF890D,BlockReference,"*U31",P-75m DRAINAGE AREA,0.99947958
AF892B,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999698
AF8934,AlignedDimension,"Crescent Point  A/R  220579",C-RW-T,Compass 5 000
AF8935,AlignedDimension,"Crescent Point  A/R  231973",C-RW-T,Compass 5 000
AF8936,AlignedDimension,"Crescent Point  P/L R/W  231182",C-RW-T,Compass 5 000
AF8937,AlignedDimension,"Crescent Point  A/R  231973",C-RW-T,Compass 5 000
AF8938,AlignedDimension,"Crescent Point  P/L R/W  231182",C-RW-T,Compass 5 000
AF8939,AlignedDimension,"Crescent Point  A/R  220579",C-RW-T,Compass 5 000
AF893A,MText,"Crescent Point FC806 Ext. 9-1 (Surface) MSL 231098",C-WS-T,10.000000000000068
AF893C,MText,"Crescent Point FC806 9-1 (Surface) MSL 220469",C-WS-T,10.000000000000068
AF893F,BlockReference,"*U32",0,0.9994744700000041
AF894E,AlignedDimension,"GMT  P/L R/W  812 2457  800649  60180-2)",F-RW-T,Compass 5 000
AF894F,AlignedDimension,"GMT  P/L R/W  812 2457  800649  60180-2)",F-RW-T,Compass 5 000
AF8950,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8951,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8952,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8953,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8954,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8955,BlockReference,"GAS",C-WS-S,4.997397900000022
AF8956,BlockReference,"GAS",C-WS-S,4.997397900000022
AF9E6F,BlockReference,"RISER",AS-SYMBOL,4.997397900000022
AF9E7C,BlockReference,"RISER",AS-SYMBOL,4.997397900000022
AF9EB0,BlockReference,"PIG",AS-SYMBOL,4.997397900000022
