Handle,ObjType,Content,Layer,Extra
BEE16C,BlockReference,"L-SECLBL",L-SECLBL,1
BEE172,BlockReference,"L-SECLBL",L-SECLBL,1
BEE178,BlockReference,"L-SECLBL",L-SECLBL,1
BEE1D8,DBText,"Theor. N.W.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1D9,DBText,"Theor. S.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DB,DBText,"Theor. N.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DC,DBText,"Theor. S.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DE,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BF5EBC,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5EBD,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5F98,MText,"Buried Pipe (3)",AS-PIPE-UG,9.990429872970768
BF5F9B,MText,"Rge. 3",D-TXT,13.993889979999507
BF5F9C,MText,"Rge. 2",D-TXT,13.993889979999507
BF5F9D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5FA3,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5FA6,MText,"Twp. 65",D-TXT,13.993889979999507
BF5FA7,MText,"Twp. 66",D-TXT,13.993889979999507
BF600F,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF6011,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF6018,DBText,"Theor. S.E.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.99127139999936
BF601F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BF6026,MText,"Rge. 3",D-TXT,13.993889979999507
BF6027,MText,"Rge. 2",D-TXT,13.993889979999507
BF6029,MText,"Buried Pipes(2)",AS-PIPE-UG,9.990429872970768
