Handle,ObjType,Content,Layer,Extra
AF6F79,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF6F7F,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF7113,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF7119,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF711F,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF7125,DBText,"Theor. N.W.1/4 Sec. 16-63-18-W.5M.",C-SYMBOL,19.989629
AF7126,DBText,"Theor. N.E.1/4 Sec. 16-63-18-W.5M.",C-SYMBOL,19.989629
AF7127,DBText,"Theor. S.E.1/4 Sec. 16-63-18-W.5M.",C-SYMBOL,19.989629
AF7128,DBText,"Theor. S.W.1/4 Sec. 15-63-18-W.5M.",C-SYMBOL,19.989629
AF7129,DBText,"Theor. N.W.1/4 Sec. 10-63-18-W.5M.",C-SYMBOL,19.989629
AF712A,DBText,"Theor. S.W.1/4 Sec. 10-63-18-W.5M.",C-SYMBOL,19.989629
AF712D,DBText,"Theor. N.W.1/4 Sec. 2-63-18-W.5M.",C-SYMBOL,19.989629
AF7130,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF7136,BlockReference,"L-SECLBL",L-SECLBL,0.99948145
AF72CA,DBText,"Theor. N.E.1/4 Sec. 34-62-18-W.5M.",C-SYMBOL,19.989629
AF72CB,DBText,"Theor. N.W.1/4 Sec. 35-62-18-W.5M.",C-SYMBOL,19.989629
AF72CD,DBText,"Theor. S.E.1/4 Sec. 35-62-18-W.5M.",C-SYMBOL,19.989629
AF7D60,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D61,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D62,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D63,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D64,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D65,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D67,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D69,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D6B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D6C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D6D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D6F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D70,DBText,"(Correction Line)",L-ROAD-T,9.9948145
AF7D76,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9948145
AF7D77,DBText,"(Correction Line)",L-ROAD-T,9.9948145
AF87F4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF87FC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8804,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF880C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8814,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF881C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8824,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8834,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF883C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF884C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8854,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF8864,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991703199999993
AF9AC4,BlockReference,"*U444",AS-WILDLIFE-BLOCK,1
AF9AD3,BlockReference,"*U443",AS-WILDLIFE-BLOCK,1
AFA4F3,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.994814499999993
AFAE8A,MText,"Grizzly Bear Support Zone Boundary",AS-WILDLIFE,9.994814499999993
AFC03E,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.994814499999993
AFE2A3,AlignedDimension,"Paramount  A/R  970682",F-AR-T,Compass 5 000
AFE2D4,AlignedDimension,"Paramount  A/R  970682",F-AR-T,Compass 5 000
AFE344,AlignedDimension,"Paramount  A/R  992574",F-AR-T,Compass 5 000
AFE387,AlignedDimension,"Paramount  A/R  992574",F-AR-T,Compass 5 000
AFE55C,AlignedDimension,"Paramount  A/R  992574",F-AR-T,Compass 5 000
AFE584,AlignedDimension,"Paramount  A/R  992574",F-AR-T,Compass 5 000
AFE5A3,AlignedDimension,"Paramount  A/R  992574",F-AR-T,Compass 5 000
AFEEA8,MText,"Paramount 14-2 (Surface) MSL 992181",F-WS-T,9.994814499999993
AFEEB0,AlignedDimension,"Paramount  P/L R/W  042 0936  000981",F-RW-T,Compass 5 000
AFEEE4,AlignedDimension,"Paramount  P/L R/W  042 0936  000981",F-RW-T,Compass 5 000
AFEF00,AlignedDimension,"Paramount  P/L R/W  981631",F-RW-T,Compass 5 000
AFEF31,AlignedDimension,"Whitecap  P/L R/W  131229",C-RW-T,Compass 5 000
AFEF7D,AlignedDimension,"Whitecap  P/L R/W  131229",C-RW-T,Compass 5 000
B00199,AlignedDimension,"Paramount  P/L R/W  021246",F-RW-T,Compass 5 000
B001E9,AlignedDimension,"Paramount  P/L R/W  021246",F-RW-T,Compass 5 000
B01474,AlignedDimension,"Whitecap  P/L R/W  180078",C-RW-T,Compass 5 000
B01D7B,AlignedDimension,"Paramount  A/R  013287",F-AR-T,Compass 5 000
B01DBE,MText,"Whitecap Water Reservoir LOC 231786",C-AR-T,9.994814499999993
B01DBF,MText,"Paramount 3-2 (Surface) MSL 013380",F-WS-T,9.994814499999993
B01DC8,MText,"Whitecap 6-2 (Surface) MSL 130185",C-WS-T,9.994814499999993
B01DCB,MText,"Paramount Riser Site PIL 020108",F-WS-T,9.994814499999993
B03163,BlockReference,"*U130",0,0.99948145
B03171,BlockReference,"*U129",0,0.99948145
B0317F,BlockReference,"*U327",0,0.99948145
