Handle,ObjType,Content,Layer,Extra
BB2CDB,BlockReference,"L-SECLBL",L-SECLBL,1
BB2CE1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999954
BB2CE2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999954
BB2CE4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999954
BB2CE5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999954
BB2CE6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999906
BB2CEA,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999906
BB2CEC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999906
BB2E98,MText,"Theor. S.E.1/4  Sec. 13-62-20-W.5M.",C-SYMBOL,19.999999999999904
BB2E99,MText,"Theor. S.W.1/4  Sec. 13-62-20-W.5M.",C-SYMBOL,19.999999999999904
BB2EAD,BlockReference,"L-SECLBL",L-SECLBL,0.9994667800000024
BB2EB3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991468479999973
BB2EC0,MText,"Theor. S.E.1/4  Sec. 24-62-20-W.5M.",C-SYMBOL,19.989335599999716
BB2ED2,MText,"Rge. 19",D-TXT,13.992534920000038
BB2ED3,MText,"Rge. 20",D-TXT,13.992534920000038
BB2ED4,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2ED5,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2ED6,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2ED7,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2ED8,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2ED9,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.99732665
BB2EDB,MText,"Rge. 19",D-TXT,13.992534920000038
BB2EDC,MText,"Rge. 20",D-TXT,13.992534920000038
BB2EDD,MText,"Rge. 19",D-TXT,13.992534920000038
BB2EDE,MText,"Rge. 20",D-TXT,13.992534920000038
BB2EDF,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999952
