Handle,ObjType,Content,Layer,Extra
BBFD96,DBText,"RP",35,9.999999999999732
BBFDB6,BlockReference,"L-SECLBL",L-SECLBL,0.9994709999999788
BBFDBC,BlockReference,"L-SECLBL",L-SECLBL,0.9994709999999788
BBFDBE,BlockReference,"L-SECLBL",L-SECLBL,0.9994709999999788
BBFDC4,BlockReference,"L-SECLBL",L-SECLBL,0.9994709999999788
BBFDCA,DBText,"Theor. N.E.1/4 Sec. 3-65-22-W.5M.",C-SYMBOL,19.989419999999622
BBFDCB,DBText,"Theor. N.E.1/4 Sec. 2-65-22-W.5M.",C-SYMBOL,19.989419999999622
BBFDCC,DBText,"Theor. N.W.1/4 Sec. 2-65-22-W.5M.",C-SYMBOL,19.989419999999622
BBFE0F,MText,"Buried Pipes (2)",AS-PIPE-UG-T,9.994789399999762
BBFE7D,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999968
BBFE7F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999968
BBFE81,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99999999999968
BBFEBC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994709999999818
BBFECA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994709999999818
BC007A,MText,"Ephemeral Draw 5.0 Wide",T-WATER,9.994729699999835
BC007E,MText,"Ephemeral Draw 3.0 Wide",T-WATER,9.994729699999835
BC0081,MText,"Ephemeral Draw 10.0 Wide",T-WATER,9.994729699999835
BCC215,MText,"Shrubby Swamp",WETLAND-T,9.994789399999762
BCC219,MText,"Ephemeral Draw 3.0 Wide",T-WATER,9.994729699999835
BCC21C,MText,"Ephemeral Draw 3.0 Wide",T-WATER,9.994729699999835
BCC228,MText,"Shrubby Swamp",WETLAND-T,9.994789399999762
BCC22A,MText,"Wooded Coniferous Fen",WETLAND-T,9.994789399999762
BCC239,DBText,"Government Road Allowance",L-ROAD-T,9.994729699999894
BCC247,MText,"Small Permanent Creek 0.6 - 1.1 Wide 0.3 Deep",T-WATER,9.999999999999845
BCC2A3,MText,"Existing  Borrow Pit",T-EXISTING TFA-T,9.999999999999783
BCC2AB,MText,"30m Buffer",P-BUFFER-T,9.994729700000018
BCC2AD,MText,"30m Buffer",P-BUFFER-T,9.994729700000018
BCC2AF,MText,"30m Buffer",P-BUFFER-T,9.994729700000018
BCC2B1,MText,"30m Buffer",P-BUFFER-T,9.994729700000018
BCC2B3,MText,"30m Buffer",P-BUFFER-T,9.994729700000018
BCC630,MText,"Buried Pipe",AS-PIPE-UG-T,9.98952184614248
BCC634,MText,"Buried Pipe",AS-PIPE-UG-T,9.98952184614248
BCC641,BlockReference,"Temp_Area_Small_Pink",P-100m WELL BORE BUFFER,0.9994729699999954
BCC644,MText,"Buried Pipe",AS-PIPE-UG-T,9.98952184614248
BCC646,MText,"A/G Pipes",AS-PIPE-AG-T,9.994729699999976
BCC656,DBText,"0+500",CHAINAGE-T,9.994729699999976
BCC65C,DBText,"1+000",CHAINAGE-T,9.994729699999976
BCC662,DBText,"1+500",CHAINAGE-T,9.994729699999976
BCC668,DBText,"2+000",CHAINAGE-T,9.994729699999976
BCC66E,DBText,"2+500",CHAINAGE-T,9.994729699999976
BCC674,DBText,"3+000",CHAINAGE-T,9.994729699999976
BCC67A,DBText,"3+500",CHAINAGE-T,9.994729699999976
BCC680,DBText,"4+000",CHAINAGE-T,9.994729699999976
BCC6BD,MText,"SEE DETAIL 'B'",DETAIL-T,15.991567519999926
BCC7AB,DBText,"927.6 (Tie)",L-BD,9.994729699999947
BCC7AC,DBText,"92°30'",L-BD,9.994729699999947
BCC7B4,DBText,"269°57'",L-BD,9.994729699999947
BCC7B5,MText,"270°12' 152.4",L-BD,9.994729699999947
BCC7B9,DBText,"269°54'",L-BD,9.994729699999947
BCC7BB,DBText,"359°17'",L-BD,9.994729699999947
BCC7C3,MText,"186°20'",L-BD,9.994729699999947
BCC7C4,BlockReference,"NEZD Point",L-BD,0.9994729699999954
BCC7C9,BlockReference,"NEZD Point",L-BD,0.9994729699999954
BCC7CE,BlockReference,"NEZD Point",L-BD,0.9994729699999954
BCC7D3,BlockReference,"NEZD Point",L-BD,0.9994729699999954
BCC7D8,BlockReference,"NEZD Point",L-BD,0.9994729699999954
BCC7DD,BlockReference,"NEZD Point",L-BD,0.9994729699999954
