Handle,ObjType,Content,Layer,Extra
AF45A6,MText,"Twp. 64",D-TXT,13.992552000000039
AF45A7,MText,"Twp. 65",D-TXT,13.992552000000039
AF45AC,MText,"Twp. 64",D-TXT,13.992552000000039
AF45AD,MText,"Twp. 65",D-TXT,13.992552000000039
AF45AE,MText,"Twp. 64",D-TXT,13.992552000000039
AF45AF,MText,"Twp. 65",D-TXT,13.992552000000039
AF45BD,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FE8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FE9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FEA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FEB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FEC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF4FED,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000045
AF517C,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF5182,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF5188,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF518E,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF5194,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF519A,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF51A0,BlockReference,"L-SECLBL",L-SECLBL,0.9994680000000036
AF54EA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000043
AF54EB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000043
AF54EC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994680000000043
AF6023,DBText,"Theor. N.W.1/4",C-SYMBOL,20.000000000000085
AF6024,DBText,"Sec. 34-64-22-W.5M.",C-SYMBOL,20.000000000000085
AF6025,DBText,"Theor. N.E.1/4",C-SYMBOL,20.000000000000085
AF6026,DBText,"Sec. 34-64-22-W.5M.",C-SYMBOL,20.000000000000085
AF604B,MText,"Theor. S.W.1/4  Sec. 24-64-22-W.5M.",C-SYMBOL,20.000000000000085
AF604C,MText,"Theor. N.W.1/4  Sec. 24-64-22-W.5M.",C-SYMBOL,20.000000000000085
AF604D,MText,"Theor. N.E.1/4  Sec. 23-64-22-W.5M.",C-SYMBOL,20.000000000000085
