Handle,ObjType,Content,Layer,Extra
BC673B,BlockReference,"L-SECLBL",L-SECLBL,0.9995621799999973
BC6744,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995619999999786
BC677C,BlockReference,"HRV",CG-NOTES,0.9999979991275996
BC6781,AlignedDimension,"Veren  P/L R/W  180881",C-RW-T,Compass 5 000
BC6786,AlignedDimension,"CNRL  P/L R/W  082 7986  060875",F-RW-T,Compass 5 000
BC678A,MText,"CNRL 13-4 (Surface) MSL 054183",F-WS-T,9.99561999999979
BC678C,MText,"CanFor CLR970229",F-WS-T,9.995639999999806
BC695E,MText,"Ephemeral Draw",T-WATER-T,9.995639999999812
BC6BCA,MText,"Theor. N.W.1/4 Sec. 4-65-3-W.6M.",C-SYMBOL,19.99123999999957
BC6BCB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992991999999692
BC6BCD,BlockReference,"GAS",C-WS-S,4.997809999999895
BC6C3B,AlignedDimension,"Veren  P/L R/W  151374",C-RW-T,Compass 5 000
BD7C9A,DBText,"RP",35,9.999999999999968
BDB160,BlockReference,"TEMP",L-MON,4.9978449999999865
BDB161,BlockReference,"TEMP",L-MON,4.9978449999999865
BDB197,DBText,"CNRL",F-AR-T,9.995689999999973
BDB198,DBText,"10.00 A/R",F-AR-T,9.995689999999973
BDB199,DBText,"LOC 052800",F-AR-T,9.995689999999973
BE43AA,AlignedDimension,"Veren  A/R  ______",C-RW-T,Compass 5 000
BE43C0,BlockReference,"xing2",P-CROSSINGS,1
BE43C7,BlockReference,"xing2",P-CROSSINGS,1
BE78D1,DBText,"863.0(Tie)",L-BD,9.995689999999978
BE78D2,DBText,"112°49'",L-BD,9.995689999999978
BE78D5,DBText,"881.3(Tie)",L-BD,9.995689999999978
BE78D6,DBText,"240°23'",L-BD,9.995689999999978
BE7D72,MText,"Veren 15-4(Surface) MSL ______",C-RW-T,9.995689999999978
BE7D81,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995689999999877
BEA860,DBText,"0+050",0,9.999999999999979
BEA861,DBText,"0+060",0,9.999999999999979
BEA865,DBText,"0+000",0,9.999999999999979
BEA866,DBText,"0+010",0,9.999999999999979
BEA867,DBText,"0+020",0,9.999999999999979
BEA868,DBText,"0+030",0,9.999999999999979
BEA869,DBText,"0+040",0,9.999999999999979
BEA88C,MText,"Scale	1: 500 (Horiz.) 	1: 200 (Vert.)",DETAIL-T,9.999999999999979
BEA88D,MText,"PROFILE OF VEREN 14-4 TO 14-4 P/L R/W",L-DETAIL-T,17.49999999999997
BEBE6E,AlignedDimension,"Veren  A/R  ______",C-RW-T,Compass 5 000
BEBE78,BlockReference,"xing2",P-CROSSINGS,1
BEBE7F,BlockReference,"xing2",P-CROSSINGS,1
BEBE8A,BlockReference,"TEMP",L-MON,4.999999999999989
BEBE8B,BlockReference,"TEMP",L-MON,4.999999999999989
BEBEE7,MText,"57.0  52°55'",L-BD,9.999999999999979
BEBF0E,DBText,"0+057",T-TIE,9.999999999999979
BEC31F,MText,"Veren Riser Site PIL ______",C-RW-T,9.999999999999979
BEC327,MText,"Veren 15-4(Surface) MSL ______",C-RW-T,9.999999999999979
BFFF5F,MText,"112°49'  863.0(Tie)",L-BD,9.999999999999979
C003E5,DBText,"881.3(Tie)",L-BD,9.995689999999978
C003E6,DBText,"240°23'",L-BD,9.995689999999978
C06676,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995489999999982
C07C6A,BlockReference,"*U30",P-TEMP-BLOCKS,0.9995523499329647
C07C7F,BlockReference,"*U29",P-TEMP-BLOCKS,0.9995489999999982
C07C94,BlockReference,"*U30",P-TEMP-BLOCKS,0.9995523499329647
C08676,DBText,"0+000",T-TIE,9.999999999999979
C09AB1,BlockReference,"WC",L-MON,4.999999999999989
C09AB2,BlockReference,"WC",L-MON,4.999999999999989
C09AB3,BlockReference,"WC",L-MON,4.999999999999989
C09AB4,BlockReference,"WC",L-MON,4.999999999999989
C09AB5,BlockReference,"WC",L-MON,4.999999999999989
C09AB6,BlockReference,"WC",L-MON,4.999999999999989
C09AB7,BlockReference,"WC",L-MON,4.999999999999989
C09AB8,BlockReference,"WC",L-MON,4.999999999999989
C12059,MText,"SEE DETAIL",DETAIL-T,15.99310399999998
C121EE,BlockReference,"*U33",P-TEMP-BLOCKS,0.9995489999999982
C14154,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.991379999999978
C17B6F,AlignedDimension,"Veren  P/L R/W  231083",C-RW-T,Compass 5 000
C17B9F,AlignedDimension,"Veren  P/L R/W  231083",C-RW-T,Compass 5 000
C19767,BlockReference,"Disclaimer_Legal",0,1
