Handle,ObjType,Content,Layer,Extra
BEE16C,BlockReference,"L-SECLBL",L-SECLBL,1
BEE172,BlockReference,"L-SECLBL",L-SECLBL,1
BEE178,BlockReference,"L-SECLBL",L-SECLBL,1
BEE1D8,DBText,"Theor. N.W.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1D9,DBText,"Theor. S.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DA,DBText,"Theor. N.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DB,DBText,"Theor. N.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DC,DBText,"Theor. S.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999414
BEE1DE,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEE1E8,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999408
BEEDB7,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDB9,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBB,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBD,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BEEDBF,MText,"30m Buffer",P-BUFFER-T,9.990452463107477
BF5EBC,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5EBD,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5EBE,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5F98,MText,"Buried Pipe (3)",AS-PIPE-UG,9.990429872970804
BF5F9B,MText,"Rge. 3",D-TXT,13.993889979999587
BF5F9C,MText,"Rge. 2",D-TXT,13.993889979999587
BF5F9D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5FA2,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
BF5FA3,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107482
