Handle,ObjType,Content,Layer,Extra
BAC6E4,BlockReference,"FDI",L-MON,4.999999999999923
BAC6E9,BlockReference,"FDI",L-MON,4.999999999999923
BAC6F8,BlockReference,"FDI",L-MON,4.999999999999923
BAC6FD,BlockReference,"FDI",L-MON,4.999999999999923
BAC702,BlockReference,"plspike",L-MON,4.999999999999923
BAC707,BlockReference,"plspike",L-MON,4.999999999999923
BAC768,BlockReference,"plspike",L-MON,4.999999999999923
BAEDAF,BlockReference,"WC",L-MON,4.998838799999976
BAEDB0,BlockReference,"WC",L-MON,4.998838799999976
BAEDB1,BlockReference,"WC",L-MON,4.998838799999976
BAEDB2,BlockReference,"WC",L-MON,4.998838799999976
BAEDB3,BlockReference,"WC",L-MON,4.998838799999976
BAEDB4,BlockReference,"WC",L-MON,4.998838799999976
BAEDB5,BlockReference,"WC",L-MON,4.998838799999976
BAEDB6,BlockReference,"WC",L-MON,4.998838799999976
BAEDB7,BlockReference,"WC",L-MON,4.998838799999976
BAEDB8,BlockReference,"WC",L-MON,4.998838799999976
BAEDB9,BlockReference,"WC",L-MON,4.998838799999976
BAEDBA,BlockReference,"WC",L-MON,4.998838799999976
BAEDBB,BlockReference,"WC",L-MON,4.998838799999976
BB08A0,AlignedDimension,"ATCO  P/L R/W  603 NY  Pipe)",F-RW-T,Compass 5 000
BB08A1,AlignedDimension,"Tamarack  P/L R/W  042 3157",F-RW-T,Compass 5 000
BB08A2,MText,"Lot 1 Block 1 Plan 042 0280",L-TITLEDB-T,9.004347549453144
BB08A3,MText,"Lot 1 Block 1 Plan 112 3987",L-TITLEDB-T,9.004347549453144
BB08A4,MText,"Lot 1 Plan 972  2661",L-TITLEDB-T,9.004347549453144
BB08A6,BlockReference,"res_occ",AS-RESIDENCE,5.002415305251707
BB08A7,BlockReference,"res_occ",AS-RESIDENCE,5.002415305251707
BB08A8,MText,"Residence",AS-RESIDENCE,9.997762799999926
BB08A9,MText,"Residence",AS-RESIDENCE,9.997762799999926
BB08AA,MText,"Residence",AS-RESIDENCE,9.997762799999926
BB08B8,AlignedDimension,"5.03 Road Widening  112 248 513",L-TITLEDB-T,Compass 5 000
BB08B9,AlignedDimension,"Archer  P/L R/W  942 0670",F-RW-T,Compass 5 000
BB08BA,MText,"Cultivation",T-TEXT,9.995523201155018
BB08BB,MText,"Cultivation",T-TEXT,9.995523201155018
BB08BE,MText,"Approximate Location of ATCO Natural Gas Distribution Customer Correspondence",AS-PIPE-UG-T,9.997762799999908
BB08C3,AlignedDimension,"Archer  A/R  942 1598",F-RW-T,Compass 5 000
BB08C4,AlignedDimension,"Archer  A/R",F-AR-T,Compass 5 000
BB08C7,MText,"30cm  Poplar",T-BUSH-T,9.997789999999979
BB08C8,BlockReference,"*U39",AS-OWNER,0.9997759899999875
BB76BA,BlockReference,"*U46",CG-NOTES,0.9993178945019221
BB76DE,BlockReference,"WAT",0,4.998838799999941
BB76DF,MText,"Water Well",0,9.997677599999882
BB8BB9,BlockReference,"L-SECLBL",L-SECLBL,1
BBA018,MText,"L.S. 1",L-SECTION-LSD,9.999999999999883
BBA019,MText,"L.S. 2",L-SECTION-LSD,9.999999999999883
BBA01B,MText,"L.S. 8",L-SECTION-LSD,9.999999999999883
BBA01C,MText,"L.S. 7",L-SECTION-LSD,9.999999999999883
BBACA4,AlignedDimension,"Archer  P/L R/W  992 1820",F-RW-T,Compass 5 000
BBAE24,AlignedDimension,"Archer  P/L R/W  992 1820",F-RW-T,Compass 5 000
BBAE2E,AlignedDimension,"Archer  P/L R/W  942 0670",F-RW-T,Compass 5 000
BBAE2F,AlignedDimension,"Archer  A/R",F-RW-T,Compass 5 000
BBAE30,AlignedDimension,"ATCO  Power Line R/W  152 205 007",F-RW-T,Compass 5 000
BBAE31,MText,"Archer 4-23 (Abd.)",F-WS-T,9.995440919567258
BBAE32,MText,"Cardinal 8-22 (Surface)",F-WS-T,9.995440919567258
BBAE33,BlockReference,"GAS",F-WS-T,4.998838799999959
BBAE36,MText,"Lot 1 Block 1 Plan 094 0861",L-TITLEDB-T,9.002256379778256
BBAE37,MText,"Approximate Location of ATCO Natural Gas Distribution Customer Correspondence",AS-PIPE-UG-T,9.995440919567223
BBAE3A,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE3B,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE3C,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE3D,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE3E,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE3F,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE40,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE41,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE42,BlockReference,"WC2",C-WS-S,4.998838799999981
BBAE43,AlignedDimension,"CNRL  A/R  Constructed)",C-AR-T,Compass 5 000
