Handle,ObjType,Content,Layer,Extra
AF5A98,BlockReference,"L-SECLBL",L-SECLBL,0.99961531
AF5B4B,DBText,"Government Road Allowance",L-ROAD-T,9.99615200000015
AF5C06,DBText,"(High Grade Gravel Road)",AS-GENERAL,9.99615200000015
AF5C66,AlignedDimension,"Inplay  Flow Line R/W  1677",C-FLOWLINE-T,Compass 5 000
AF5C67,MText,"Inplay 14-17(Surface) ROE 3487",C-WS-T,10.00000000000003
AF5C69,MText,"Inplay 14-17(Surface) MSL 5500",C-WS-T,10.00000000000003
AF5C6B,MText,"Inplay 3-20(Surface) MSL 001662",C-WS-T,10.00000000000003
AF5C6F,MText,"Inplay 4-20(Surface) MSL 012072",C-WS-T,10.00000000000003
AF5C71,MText,"Inplay Battery Site ROE 3030",C-WS-T,10.00000000000003
AF5C75,AlignedDimension,"Fortis  Power Line R/W  030098",F-EZE-T,Compass 5 000
AF5C76,AlignedDimension,"Fortis  Vegetation Control  870408",F-EZE-T,Compass 5 000
AF5C77,AlignedDimension,"Keyera  P/L R/W  052 5152  034290",F-RW-T,Compass 5 000
AF5C7B,MText,"30cm Poplar",T-BUSH-T,9.99615200000015
AF5C7D,MText,"30cm Poplar",T-BUSH-T,9.99615200000015
AF5CB0,AlignedDimension,"Inplay  A/R  3487",C-WS-S,Compass 5 000
AF5CB2,AlignedDimension,"Inplay  Flow Line R/W  3422",C-WS-S,Compass 5 000
AF5CB3,AlignedDimension,"Inplay  A/R  001200",C-WS-S,Compass 5 000
AF5CB5,AlignedDimension,"Inplay  P/L R/W  032 2164  012040",C-WS-S,Compass 5 000
AF5CB7,BlockReference,"GAS",C-WS-S,4.998076550000011
AF5CFE,AlignedDimension,"Fortis  Vegetation Control  870408",F-EZE-T,Compass 5 000
AFA8C4,MText,"Keyera Riser Site PIL 230205",F-WS-T,9.996152000000153
AFB9FC,AlignedDimension,"Inplay  P/L R/W  230938",C-RW-T,Compass 5 000
AFDDDC,AlignedDimension,"Inplay  P/L R/W  240039",C-RW,Compass 5 000
AFE7A7,AlignedDimension,"Inplay  P/L R/W  012 3586  010634",C-RW-T,Compass 5 000
B0405F,BlockReference,"GAS",C-WS-S,4.998076550000011
B04060,BlockReference,"GAS",C-WS-S,4.998076550000011
B0BC67,BlockReference,"RISER",AS-SYMBOL,5.000000000000032
B0BD74,BlockReference,"RISER",AS-SYMBOL,5.000000000000032
B0BE41,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000032
B0BE4E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000032
B0BE53,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000032
B0BE84,BlockReference,"GAS",C-WS-S,4.998076550000011
B13829,AlignedDimension,"Inplay  Flow Line R/W  3487",C-WS-S,Compass 5 000
B150C0,AlignedDimension,"Inplay  P/L R/W  240048",C-RW-T,Compass 5 000
B1856C,DBText,"358°",L-BD,9.996153100000118
B1856E,DBText,"10''",L-BD,9.996153100000118
B18CDE,DBText,"39'",L-BD,9.996153100000118
B18CE1,DBText,"260°58'30''",L-BD,9.996153100000118
B1D2E6,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,9.992844165037003
B1DA71,MText,"Fd.I. Mp. E.1/4 18",L-MON,9.99230658028719
B1DA73,MText,"Fd.I. Mp. N.E. 18",L-MON,9.99230658028719
B1DAC4,BlockReference,"*U67",DETAIL-T,0.99961531
B1DB08,BlockReference,"*U67",DETAIL-T,0.99961531
B25D1C,MText,"L.S. 11",L-SECTION-LSD,9.996153100000118
B25D1E,MText,"L.S. 12",L-SECTION-LSD,9.996153100000118
