Handle,ObjType,Content,Layer,Extra
AF3D10,BlockReference,"L-SECLBL",L-SECLBL,0.99957568
AF3D16,BlockReference,"L-SECLBL",L-SECLBL,0.99957568
AF3D1E,DBText,"Theor. S.W.1/4 Sec. 36-87-12-W.5M.",C-SYMBOL,19.991513599999774
AF3D1F,DBText,"Theor. S.E.1/4 Sec. 36-87-12-W.5M.",C-SYMBOL,19.991513599999774
AF3D28,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995756799999887
AF3D29,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995756799999887
AF3D2A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995756799999887
AF3D2B,MText,"L.S. 11",L-SECTION-LSD,9.995756799999887
AF3D2D,MText,"L.S. 12",L-SECTION-LSD,9.995756799999887
AF3D2F,MText,"L.S. 14",L-SECTION-LSD,9.995756799999887
AF3D30,MText,"L.S. 13",L-SECTION-LSD,9.995756799999887
AF3D32,MText,"L.S. 9",L-SECTION-LSD,9.995756799999887
AF3D34,MText,"L.S. 10",L-SECTION-LSD,9.995756799999887
AF3D36,MText,"L.S. 16",L-SECTION-LSD,9.995756799999887
AF3D38,MText,"L.S. 15",L-SECTION-LSD,9.995756799999887
AF3D3A,MText,"L.S. 1",L-SECTION-LSD,9.995756799999887
AF3D3B,MText,"L.S. 2",L-SECTION-LSD,9.995756799999887
AF3D3D,MText,"L.S. 8",L-SECTION-LSD,9.995756799999887
AF3D3E,MText,"L.S. 7",L-SECTION-LSD,9.995756799999887
AF3D55,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993210879999811
AF3D57,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993210879999811
AF3D59,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993210879999811
AF3D5B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993210879999811
AF59A6,BlockReference,"*U66",AS-SURFACE IMPACT,0.99957568
AF6209,MText,"Prairie Provident 7-25 (Surface) MSL 100738",F-WS-T,9.995756799999892
AF620D,AlignedDimension,"Prairie Provident  P/L R/W  111989",F-RW-T,Compass 5 000
AF6AA3,AlignedDimension,"Prairie Provident  A/R  121124",F-RW-T,Compass 5 000
AF6ADC,MText,"Prairie Provident 5-30 (Surface) MSL 100299",F-WS-T,9.995756799999892
AF7303,MText,"Prairie Provident 8-25 (Surface) MSL 121144",F-WS-T,9.995756799999892
AF7304,MText,"Prairie Provident Riser Site PIL 120546",F-WS-T,9.995756799999892
AF735E,AlignedDimension,"Prairie Provident  P/L R/W  140486",F-RW-T,Compass 5 000
