Handle,ObjType,Content,Layer,Extra
AF7205,BlockReference,"GAS",C-WS-S,4.9980793999999555
AFAC02,MText,"Break Line",T-TEXT,9.996158799999911
B0024E,BlockReference,"FDI",L-MON,4.999999999999957
B00253,BlockReference,"FDI",L-MON,4.999999999999957
B00258,BlockReference,"FDI",L-MON,4.999999999999957
B0025D,BlockReference,"FDI",L-MON,4.999999999999957
B00B06,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B00B13,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014C5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014CA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014CF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014D4,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014D9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014DE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014E3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B014E8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99807939999996
B01D20,BlockReference,"fdspike",L-MON,4.99807939999996
B01D25,BlockReference,"fdspike",L-MON,4.99807939999996
B01D2A,BlockReference,"FDI",L-MON,4.999999999999957
B01D2F,BlockReference,"fdspike",L-MON,4.99807939999996
B01D34,BlockReference,"fdspike",L-MON,4.99807939999996
B01D39,BlockReference,"fdspike",L-MON,4.99807939999996
B01D3E,BlockReference,"plspike",L-MON,4.99807939999996
B01D53,BlockReference,"plspike",L-MON,4.99807939999996
B01D58,BlockReference,"plspike",L-MON,4.99807939999996
B01D5D,BlockReference,"plspike",L-MON,4.99807939999996
B01D62,BlockReference,"plspike",L-MON,4.99807939999996
B01D69,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998079399999958
B01D6C,DBText,"358°41'35''",L-BD,9.996158799999916
B06BC9,BlockReference,"L-SECLBL",L-SECLBL,1.0003842676048618
