Handle,ObjType,Content,Layer,Extra
AF60A8,BlockReference,"FDI",L-MON,5.000000000000016
AF60AD,BlockReference,"FDI",L-MON,5.000000000000016
AF60B2,BlockReference,"fdspike",L-MON,4.998521950000003
AF60B7,BlockReference,"fdspike",L-MON,4.998521950000003
AF60BC,BlockReference,"plspike",L-MON,4.998521950000003
AF60C1,BlockReference,"plspike",L-MON,4.998521950000003
AF60C6,BlockReference,"fdspike",L-MON,4.998521950000003
AF60CB,BlockReference,"plspike",L-MON,4.998521950000003
AF60D0,BlockReference,"plspike",L-MON,4.998521950000003
AF60D5,BlockReference,"plspike",L-MON,4.998521950000003
AF60DA,BlockReference,"plspike",L-MON,4.998521950000003
AF62BA,BlockReference,"L-SECLBL",L-SECLBL,1
AF62DE,BlockReference,"*U40",0,1
AF62ED,AlignedDimension,"Fortis  Vegetation Control  880172",F-EZE-T,Compass 5 000
AF62EE,BlockReference,"*U42",AS-OWNER,1
AF6303,MText,"Tamarack 14-33 (Surface) MSL 973614 (Expired,  To Be Cancelled)",C-WS-T,10.000000000000032
AF6306,MText,"L.S. 11",L-SECTION-LSD,10.000000000000032
AF6308,MText,"L.S. 12",L-SECTION-LSD,10.000000000000032
AF630A,MText,"L.S. 14",L-SECTION-LSD,10.000000000000032
AF630B,MText,"L.S. 13",L-SECTION-LSD,10.000000000000032
AF630E,AlignedDimension,"Obsidian  P/L R/W  152",F-RW-T,Compass 5 000
AF630F,MText,"Obsidian 14-33 (Surface) ROE 4426",F-WS-T,9.997043900000003
AF6310,AlignedDimension,"Obsidian  A/R  4426",F-AR-T,Compass 5 000
AF631B,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.000000000000032
AF631C,DBText,"(Undeveloped)",T-TEXT,10.000000000000032
AF631D,DBText,"(High Grade Gravel)",T-TEXT,10.00000000000003
AF631E,DBText,"20.12 Government Road Allowance",L-ROAD-T,10.00000000000003
AF631F,MText,"Twp. 42",D-TXT,14.000000000000032
AF6320,MText,"Twp. 43",D-TXT,14.000000000000032
AF6321,DBText,"(Correction Line)",L-ROAD-T,10.000000000000032
AF6322,BlockReference,"GAS",C-WS-S,5.000000000000016
AF6323,BlockReference,"GABD",F-WS-S,5.000000000000016
AF6325,BlockReference,"GAS",F-WS-S,5.000000000000016
AF6328,AlignedDimension,"10.06 P/L R/W  12 MC  on PLSR)",F-RW-T,Compass 5 000
AF7861,BlockReference,"*U47",L-MON,0.99970439
AF9491,MText,"Fd.I. Mp. N.1/4 33",L-MON-T,9.997043900000014
AF9492,MText,"Fd.I. Mp. N.E. 32",L-MON-T,9.997043900000014
AF94E9,DBText,"342.23 (Tie)",L-BD,9.997043900000007
AF94EA,DBText,"224°54'50''",L-BD,9.997043900000007
AF9650,DBText,"509.61 (Tie)",L-BD,9.997043900000007
AF9651,DBText,"295°35'30''",L-BD,9.997043900000007
AF9757,BlockReference,"GAS",C-WS-S,4.998521950000003
AF975C,BlockReference,"fdspike",L-MON,4.998521950000003
AF9761,BlockReference,"fdspike",L-MON,4.998521950000003
AF9766,BlockReference,"plspike",L-MON,4.998521950000003
AF976B,BlockReference,"plspike",L-MON,4.998521950000003
AF9770,BlockReference,"fdspike",L-MON,4.998521950000003
AF9775,BlockReference,"plspike",L-MON,4.998521950000003
AF977A,BlockReference,"plspike",L-MON,4.998521950000003
AF977F,BlockReference,"plspike",L-MON,4.998521950000003
AF9784,BlockReference,"plspike",L-MON,4.998521950000003
AF982C,BlockReference,"GABD",F-WS-S,4.998521950000003
AF982D,MText,"1S0/2-4 (Abd.)",F-WS-T,9.997043900000003
AF9846,MText,"Gate",T-TEXT,9.997043900000007
AF9902,BlockReference,"*U48",0,0.99970439
AF998B,DBText,"342.23 (Tie)",L-BD,9.997043900000007
AF998C,DBText,"224°54'50''",L-BD,9.997043900000007
AF998D,MText,"Obsidian 14-33 (Surface) ROE 4426",F-WS-T,9.997043900000003
AF9AA0,DBText,"30''",L-BD,9.997043900000007
AF9AA2,DBText,"28'",L-BD,9.997043900000007
AF9AA4,DBText,"178°",L-BD,9.997043900000007
AF9AAB,DBText,"266°06'00''",L-BD,9.997043900000007
AF9AAD,DBText,"358°",L-BD,9.997043900000007
AF9BB3,DBText,"30''",L-BD,9.997043900000007
AF9BB5,DBText,"88°",L-BD,9.997043900000007
AF9BB7,DBText,"30''",L-BD,9.997043900000007
AF9DCD,DBText,"178°28'30''",L-BD,9.997043900000007
AF9DCF,DBText,"88°28'30''",L-BD,9.997043900000007
AF9DD0,DBText,"28'",L-BD,9.997043900000007
AF9DD2,DBText,"28'",L-BD,9.997043900000007
AF9EEC,MText,"SEE DETAIL",DETAIL-T,15.995270240000014
AF9FCB,BlockReference,"*U38",DETAIL-T,0.99970439
AF9FD9,MText,"DETAIL",DETAIL-T,19.994087800000013
AF9FDB,DBText,"509.61 (Tie)",L-BD,9.997043900000007
AF9FDC,DBText,"295°35'30''",L-BD,9.997043900000007
AFA245,DBText,"N.W.1/4 Sec. 33-42-6-W.5M.",C-SYMBOL,19.994087800000013
AFA246,DBText,"Well Site = 1.426 ha  3.52 Ac.",L-AREAREQUIRED,10.996748290000006
AFB11C,MText,"Fortis O/H Power Line",AS-POWER,10.00000000000001
AFB165,DBText,"88°13'35''",L-BD,9.997043900000003
B008BD,MText,"Tamarack 14-33 (Surface) MSL 973614 (Expired, To Be Cancelled)",C-WS-T,10.000000000000032
B008CE,BlockReference,"*U49",AS-OWNER,1
B013DD,MText,"Fd. No Mk. Re-est. Position by MSL 973614 PI.Spike",L-BD,9.9970439
B017FF,DBText,"268°28'30''",L-BD,9.9970439
B0EFF5,BlockReference,"Disclaimer_Legal",L-BD,0.3
B0F122,MText,"W/H 2-4 (Drilled & Cased)",C-WS-T,9.997043900000007
