Handle,ObjType,Content,Layer,Extra
BEC8A7,BlockReference,"FDI",L-MON,4.998072450000006
BEC8AC,BlockReference,"FDI",L-MON,4.998072450000006
BEC8B1,BlockReference,"FDI",L-MON,4.998072450000006
BEC8B6,BlockReference,"FDI",L-MON,4.998072450000006
BEC8BB,BlockReference,"FDI",L-MON,4.998072450000006
BEC8C0,BlockReference,"FDI",L-MON,4.998072450000006
BEC8C5,BlockReference,"FDI",L-MON,4.998072450000006
BEC8DE,BlockReference,"plspike",L-MON,4.998072450000006
BED24D,BlockReference,"plspike",L-MON,4.998072450000006
BED257,BlockReference,"plspike",L-MON,4.998072450000006
BED25C,BlockReference,"plspike",L-MON,4.998072450000006
BED2BA,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BEE8A7,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BEE8A8,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BEEFAB,DBText,"L.S. 14",L-SECTION-LSD,10
BEEFB0,DBText,"L.S. 11",L-SECTION-LSD,10
BEEFB2,DBText,"L.S. 6",L-SECTION-LSD,10
BEEFB3,DBText,"L.S. 3",L-SECTION-LSD,10
BEEFB4,DBText,"L.S. 5",L-SECTION-LSD,10
BEEFED,BlockReference,"WC",L-MON,5
BEEFEE,BlockReference,"WC",L-MON,5
BEEFEF,BlockReference,"WC",L-MON,5
BEEFF0,BlockReference,"WC",L-MON,5
BEEFF1,BlockReference,"WC",L-MON,5
BEF183,MText,"100m",AUX-BUFFER,10
BEF185,MText,"200m",AUX-BUFFER,10
BEF186,BlockReference,"WC",0,5
BF0022,MText,"100m",AUX-BUFFER,9.996144900000012
BF0029,AlignedDimension,"Nuvista  P/L R/W  170241",F-RW-T,Compass 5 000
BF002A,AlignedDimension,"Weyerhaeuser  A/R  4508",F-RW-T,Compass 5 000
BF0035,AlignedDimension,"Nuvista  A/R  090577",F-RW-T,Compass 5 000
BF0036,AlignedDimension,"Nuvista  Water Line R/W  250429",F-RW-T,Compass 5 000
BF003B,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF003C,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF003D,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF003E,BlockReference,"FDI",L-MON,4.998072450000006
BF003F,BlockReference,"FDI",L-MON,4.998072450000006
BF0040,BlockReference,"FDI",L-MON,4.998072450000006
BF0041,BlockReference,"FDI",L-MON,4.998072450000006
BF0042,BlockReference,"FDI",L-MON,4.998072450000006
BF0043,BlockReference,"FDI",L-MON,4.998072450000006
BF0044,BlockReference,"FDI",L-MON,4.998072450000006
BF0045,BlockReference,"plspike",L-MON,4.998072450000006
BF0046,BlockReference,"plspike",L-MON,4.998072450000006
BF0048,BlockReference,"plspike",L-MON,4.998072450000006
BF0049,BlockReference,"plspike",L-MON,4.998072450000006
BF004B,BlockReference,"WC",L-MON,5
BF004C,BlockReference,"WC",L-MON,5
BF004D,BlockReference,"WC",L-MON,5
BF004E,BlockReference,"WC",L-MON,5
BF004F,BlockReference,"WC",L-MON,5
BF019E,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF019F,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF01A0,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF064C,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CB6,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CB7,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CCD,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CCE,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CCF,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CD0,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0CD1,BlockReference,"RISER",AS-SYMBOL,4.998072450000006
BF0D2D,BlockReference,"*U128",P-TEMP-BLOCKS,0.99961449
BF0D4D,BlockReference,"*U129",P-TEMP-BLOCKS,0.99961449
BF0D83,BlockReference,"*U130",P-TEMP-BLOCKS,0.99961449
BF143D,MText,"Fd.I. Mp.",L-MON-T,10
BF1440,MText,"Fd.I. Mp.",L-MON-T,10
BF1441,MText,"(2)Fd.I. Mp.",L-MON-T,10
BF1449,MText,"Fd.I. Mp.",L-MON-T,10
BF1451,MText,"Fd.I. Mp.",L-MON-T,10
BF26DE,DBText,"348%%D00'05''",L-BD,9.996144900000012
BF26E0,DBText,"25%%D44'10''",L-BD,9.996144900000012
BF26E2,DBText,"348%%D",L-BD,9.996144900000012
BF26E7,DBText,"78%%D24'40''",L-BD,9.996144900000012
BF26E8,DBText,"348%%D07'25''",L-BD,9.996144900000012
BF26EA,DBText,"347%%D",L-BD,9.996144900000012
BF26EC,DBText,"22'",L-BD,9.996144900000012
BF26EE,DBText,"77%%D22'30''",L-BD,9.996144900000012
BF26F1,DBText,"167%%D22'30''",L-BD,9.996144900000012
BF26F3,DBText,"257%%D20'50''",L-BD,9.996144900000012
BF2BC2,DBText,"25''",L-BD,9.996144900000012
BF2BC6,DBText,"30''",L-BD,9.996144900000012
BF3152,DBText,"08'",L-BD,9.996144900000012
BF3154,MText,"5m High Grade Gravel Road",T-TEXT,10
BF3158,MText,"Blind Line",L-USEC,10
BF3169,BlockReference,"*U131",0,0.99961449
BF3660,BlockReference,"WC",L-MON,5
BF3661,BlockReference,"WC",L-MON,5
BF3662,BlockReference,"WC",L-MON,5
BF3663,BlockReference,"WC",L-MON,5
BF3664,BlockReference,"WC",L-MON,5
BF3BFE,BlockReference,"we",0,0.99961449
BF3C10,DBText,"W/C 102/2-24 (HZ)",L-BD,9.996144900000012
BF3C11,DBText,"W/C 102/1-24 (HZ)",L-BD,9.996144900000012
BF3C1E,BlockReference,"we",0,0.99961449
BF3C21,BlockReference,"we",0,0.99961449
BF3C24,BlockReference,"we",0,0.99961449
BF3C27,BlockReference,"we",0,0.99961449
BF3C47,BlockReference,"we",T-TIE-T,0.99961449
BF3C4A,BlockReference,"we",T-TIE-T,0.99961449
BF3C4D,BlockReference,"we",T-TIE-T,0.99961449
BF3C50,BlockReference,"we",T-TIE-T,0.99961449
BF3CFB,AlignedDimension,"Nuvista  Water Line R/W  250429",F-RW-T,Compass 5 000
BF3D69,AlignedDimension,"Nuvista  A/R  020301",F-RW-T,Compass 5 000
BF3DA2,AlignedDimension,"Nuvista  P/L R/W  130030",F-RW-T,Compass 5 000
BF4823,MText,"Nuvista Compressor Site MLL 130077 (Expired)",F-RW-T,10
BF4824,MText,"Nuvista Riser Site PIL 220053",F-RW-T,10
BF4826,MText,"Nuvista Riser Site PIL 140885",F-RW-T,10
BF64D2,BlockReference,"L-SECLBL",L-SECLBL,1
BF64D8,MText,"Theor. S.W.1/4 Sec. 36-65-6-W.6M.",C-SYMBOL,19.992379999999883
BF64D9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999937
BF64DC,BlockReference,"L-SECLBL",L-SECLBL,1
BF64E2,MText,"Theor. N.W.1/4 Sec. 25-65-6-W.6M.",C-SYMBOL,19.992379999999883
BF64E3,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999937
BF64E5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BF64E6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BF64F8,AlignedDimension,"Nuvista  A/R  230701",F-AR-T,Compass 5 000
BF64F9,AlignedDimension,"Nuvista  A/R  020301",F-AR-T,Compass 5 000
BF64FA,AlignedDimension,"Nuvista  Water Line R/W  250337",F-AR-T,Compass 5 000
BF64FB,AlignedDimension,"Nuvista  A/R  090577",F-RW-T,Compass 5 000
BF64FC,AlignedDimension,"Nuvista  P/L R/W  220140",F-RW-T,Compass 5 000
BF64FE,AlignedDimension,"Nuvista  A/R  140228",F-AR-T,Compass 5 000
BF64FF,AlignedDimension,"Nuvista  P/L R/W  122040",F-RW-T,Compass 5 000
BF6500,AlignedDimension,"Nuvista  P/L R/W  150900",F-RW-T,Compass 5 000
BF6501,AlignedDimension,"Nuvista  P/L R/W  240736",F-RW-T,Compass 5 000
BF6504,AlignedDimension,"Nuvista  P/L R/W  131485",F-RW-T,Compass 5 000
BF6505,AlignedDimension,"Nuvista  P/L R/W  PLA 210903",F-RW-T,Compass 5 000
BF6506,AlignedDimension,"Nuvista  P/L R/W  130030",F-RW-T,Compass 5 000
BF6507,MText,"Nuvista Riser Site PIL 190107",F-WS-T,9.996189999999942
BF6509,MText,"Nuvista Compressor Site MLL 130077 (Expired)",F-WS-T,9.996189999999942
BF650A,MText,"Nuvista Riser Site PIL 190069",F-WS-T,9.996189999999942
BF650C,MText,"Nuvista 4-36 (Surface) MSL 140253",F-WS-T,9.996189999999942
BF6511,AlignedDimension,"Weyerhaeuser  A/R  4508",F-AR-T,Compass 5 000
BF6513,AlignedDimension,"Keyera  P/L R/W  131090",F-RW-T,Compass 5 000
BF6515,MText,"Keyera Riser Site PIL 140134",F-WS-T,9.996189999999942
BF6516,MText,"Weyerhaeuser CLR 950078",F-WS-T,9.996189999999942
BF6517,AlignedDimension,"Nuvista  Water Line R/W  250429",P-TXT,Compass 5 000
BF6518,AlignedDimension,"Nuvista  Water Line R/W  250429",F-RW-T,Compass 5 000
BF651F,MText,"Gate",T-TEXT,9.996189999999936
BF6521,MText,"10m High Grade Gravel Road",T-TEXT,9.996189999999936
BF6524,MText,"Culvert",T-TEXT,9.996189999999936
BF6527,MText,"Culvert",T-TEXT,9.996189999999936
BF652A,MText,"Culvert",T-TEXT,9.996189999999936
BF652C,MText,"Dugout",T-WATER-T,9.996189999999936
BF652D,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BF6530,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BF6532,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BF66F0,AlignedDimension,"Nuvista  Water Line R/W  250429",F-RW-T,Compass 5 000
BF7344,MText,"Ditch",T-TEXT,9.996189999999936
BF738E,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BF738F,MText,"Intermittent Creek",T-WATER-T,9.996189999999936
BF7390,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BF7391,MText,"Intermittent Creek",T-WATER-T,9.996189999999936
BF73B0,MText,"Temporary  Shrubby Swamp",WETLAND-T,9.996189999999936
BF78E8,MText,"Wooded Deciduous  Swamp",WETLAND-T,9.996189999999936
BF7EE0,MText,"Temporary  Graminoid Marsh",WETLAND-T,9.996189999999936
BF8CE5,BlockReference,"L-SECLBL",L-SECLBL,1
BF9ED2,MText,"1.5km",0,8
BF9ED5,MText,"0.5km",0,8
BFA25A,DBText,"Rge.6",0,11
BFA25B,DBText,"Rge.5",0,11
BFA2C4,DBText,"Twp.65",0,11
BFA2C5,DBText,"Twp.66",0,11
BFA482,MText,"BIG MOUNTAIN  CREEK",T-WATER-T,9
BFAA18,MText,"SURFACE DEVELOPMENT SKETCH SCALE 1:50000",DETAIL-T,20
BFAA1A,MText,"NEAREST RESIDENCE ±2.80 km W. (HARVEST CAMP SITE, N.W.27-65-6-6) NEAREST SURFACE DEVELOPMENT ±0.20 km N.E. (NUVISTA COMPRESSOR SITE, S.W. 36-65-6-6) NEAREST URBAN CENTRE ±40.74 km N.E. (HAMLET OF GROVEDALE)",CG-NOTES,10
BFAA24,BlockReference,"res_abd",AS-RESIDENCE,5
BFAA25,BlockReference,"res_other",AS-RESIDENCE,5
BFAA26,MText,"OCCUPIED	UNOCCUPIED	    OTHER",CG-NOTES,12.00000000000001
BFAA29,BlockReference,"res_occ",AS-RESIDENCE,5
BFAA2A,MText,"WATER WELL",CG-NOTES,12.00000000000001
BFAA2C,DBText,"W1",T-WATER-T,10
BFAA2D,BlockReference,"WAT",F-WS-S,5
BFAA2E,BlockReference,"Mine",AS-SYMBOL,5
BFAA2F,MText,"COAL MINE",CG-NOTES,12.00000000000001
BFAA3D,DBText,"Compressor Site",AS-RESIDENCE,9
BFBDB5,BlockReference,"plbh",L-MON,5
BFBDB7,BlockReference,"plbh",L-MON,5
BFBDB9,BlockReference,"plbh",L-MON,5
BFBDBA,BlockReference,"plbh",L-MON,5
BFBDBC,BlockReference,"plbh",L-MON,5
BFBDBD,BlockReference,"plbh",L-MON,5
BFBDBF,BlockReference,"plbh",L-MON,5
BFBDC0,BlockReference,"plbh",L-MON,5
BFBDC2,BlockReference,"plbh",L-MON,5
BFBDC3,BlockReference,"plbh",L-MON,5
BFD210,BlockReference,"GAS",F-WS-S,5
BFD211,BlockReference,"GAS",F-WS-S,5
BFD212,BlockReference,"GAS",F-WS-S,5
BFD21A,BlockReference,"BH-Existing",AS-DRILL-T,5
BFD21B,MText,"Nuvista 5-36 (HZ)",AS-DRILL-T,9.996189999999942
BFD767,MText,"Nuvista 16-35 (HZ)",AS-DRILL-T,9.996189999999942
BFD769,MText,"Nuvista 8-25 (HZ)",AS-DRILL-T,9.996189999999942
