Handle,ObjType,Content,Layer,Extra
AF5729,MText,"L.S. 3",L-SECTION-LSD,10
AF572B,MText,"L.S. 4",L-SECTION-LSD,10
AF572D,MText,"L.S. 6",L-SECTION-LSD,10
AF572F,MText,"L.S. 5",L-SECTION-LSD,10
AF5731,MText,"L.S. 1",L-SECTION-LSD,10
AF5732,MText,"L.S. 2",L-SECTION-LSD,10
AF5734,MText,"L.S. 8",L-SECTION-LSD,10
AF5735,MText,"L.S. 7",L-SECTION-LSD,10
AF6C02,BlockReference,"FDI",L-MON,5
AF6C03,BlockReference,"FDI",L-MON,5
AF6C04,BlockReference,"FDI",L-MON,5
AF6D97,BlockReference,"L-SECLBL",L-SECLBL,1
AF80AE,BlockReference,"*U49",L-SECLBL,0.99975057
AF80D3,BlockReference,"*U49",L-SECLBL,0.99975057
AF80E1,MText,"CNRL 7-35 (Surface) MSL 973911 (Expired)",F-WS-T,9.9975057
AF80E2,AlignedDimension,"CNRL  A/R  972631",F-AR-T,Compass 5 000
AF8112,AlignedDimension,"Sinopec  P/L R/W  180267",C-RW-T,Compass 5 000
AF8155,AlignedDimension,"Sinopec  P/L R/W  220004",C-RW-T,Compass 5 000
AF8314,AlignedDimension,"Cenovus  P/L R/W  022 0906  980989",F-RW-T,Compass 5 000
AF8338,DBText,"S.E.1/4 Sec. 35-69-9-W.6M.",C-SYMBOL,19.9950114
AF8339,DBText,"Existing Pad Site = 1.558 ha 3.85 Ac.",L-AREAREQUIRED,10.99725627
AF833A,DBText,"Flare Site Extension = 0.003 ha  0.01 Ac.",L-AREAWORK,10.99725627
AF833B,AlignedDimension,"CNRL  A/R  972631",F-AR-T,Compass 5 000
AF8362,MText,"CNRL 5-35 (Surface) MSL 042593",F-AR-T,9.9975057
AF8684,DBText,"S.W.1/4 Sec. 35-69-9-W.6M.",C-SYMBOL,19.9950114
AF8685,DBText,"Existing Pad Site = 0.277 ha  0.68 Ac.",L-AREAREQUIRED,10.99725627
AF8688,BlockReference,"fdspike",L-MON,4.99875285
AF8689,BlockReference,"fdspike",L-MON,4.99875285
AF868A,BlockReference,"fdspike",L-MON,4.99875285
AF868B,BlockReference,"fdspike",L-MON,4.99875285
AF868C,BlockReference,"fdspike",L-MON,4.99875285
AF881E,BlockReference,"plspike",L-MON,4.99875285
AF881F,BlockReference,"plspike",L-MON,4.99875285
AF89B0,BlockReference,"GAS",ABADATA-DRILL-T,4.99875285
AF89B4,BlockReference,"WC",L-MON,4.99875285
AF89B6,BlockReference,"WC",L-MON,4.99875285
AF8D33,BlockReference,"*U55",AS-WILDLIFE-BLOCK,0.99975057
AF8D5C,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,9.9975057
AF8D5D,BlockReference,"*U55",AS-WILDLIFE-BLOCK,0.99975057
AF8D87,BlockReference,"HRV",CG-NOTES,0.99975057
AF959B,MText,"100m",AUX-BUFFER,9.9975057
AF959D,MText,"200m",AUX-BUFFER,9.997505699999996
AFC471,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,15.99600912
AFCAD0,BlockReference,"FDI",L-MON,4.99875285
AFCAD1,BlockReference,"FDI",L-MON,4.99875285
AFCAD2,BlockReference,"FDI",L-MON,4.99875285
AFCAE0,AlignedDimension,"CNRL  A/R  972631",F-AR-T,Compass 5 000
