Handle,ObjType,Content,Layer,Extra
AFA234,BlockReference,"L-SECLBL",L-SECLBL,0.99989367
AFA23A,BlockReference,"L-SECLBL",L-SECLBL,0.99989367
AFA241,DBText,"Theor. S.W.1/4 Sec. 6-75-25-W.4M.",C-SYMBOL,19.99787339999991
AFA277,BlockReference,"*U22",0,0.99989367
AFABD6,BlockReference,"*U22",0,0.99989367
AFABF2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998298719999907
AFABF4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998298719999907
AFAC03,AlignedDimension,"CNRL  Flow Line R/W  770209",F-RW-T,Compass 5 000
AFAC10,AlignedDimension,"Tamarack  A/R  972346",C-AR-T,Compass 5 000
B02EE7,MText,"Rge. 26",D-TXT,13.999999999999927
B02EE8,MText,"Rge. 25",D-TXT,13.999999999999927
B02EF7,MText,"Twp. 74",D-TXT,13.999999999999929
B02EF8,MText,"Twp. 75",D-TXT,13.999999999999929
B02EF9,MText,"Twp. 74",D-TXT,13.999999999999929
B02EFA,MText,"Twp. 75",D-TXT,13.999999999999929
B03CFB,BlockReference,"GAS",C-WS-S,4.999468349999992
B08187,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998842199999878
B08188,DBText,"(CORRECTION LINE)",L-ROAD-T,9.998842199999878
B0818D,AlignedDimension,"Tamarack  P/L R/W  982 3065  972354",C-RW-T,Compass 5 000
B0818E,MText,"Tamarack Industrial Storage MLL 200135",C-WS-T,9.998842199999851
B0818F,MText,"Tamarack 7-6 (Surface) MSL 973483",C-WS-T,9.998842199999851
B08191,MText,"7-6 (Abd.)",F-WS-T,9.996728456802582
B08193,DBText,"6m High Grade Gravel Road",T-TEXT,9.998842199999913
B08194,DBText,"Wolf Road",T-TEXT,9.998842199999913
B08195,BlockReference,"GABD",F-WS-S,4.999999999999939
B09DFD,DBText,"6m High Grade Gravel Road",T-TEXT,9.998842199999913
B0A84B,DBText,"Wolf Road",T-TEXT,9.998842199999913
B0DB69,BlockReference,"MUSK",T-GENERAL,4.999999999999985
B0DB6A,BlockReference,"MUSK",T-GENERAL,4.999999999999985
B0DB6B,BlockReference,"MUSK",T-GENERAL,4.999999999999985
B0DB6C,BlockReference,"MUSK",T-GENERAL,4.999999999999985
B0DB6D,BlockReference,"MUSK",T-GENERAL,4.999999999999985
B10AD9,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADA,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADB,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADC,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADD,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADE,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10ADF,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE0,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE1,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE2,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE3,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE4,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE5,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE6,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE7,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AE8,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B10AF5,MText,"Muskeg",T-TEXT,9.996770447160893
B10AF7,MText,"10cm Spruce  & Tamarack",T-BUSH-T,9.997779023108771
B1144E,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
B11520,MText,"Muskeg",T-TEXT,9.996770447160893
B11522,MText,"10cm Spruce  & Tamarack",T-BUSH-T,9.997779023108771
B11524,BlockReference,"MUSK",T-GENERAL,4.999468349999986
B11E7C,MText,"High Ground",T-TEXT,9.996770447160893
B11E7E,MText,"30cm Poplar & Spruce",T-BUSH-T,9.997779023108771
B11E80,MText,"Muskeg",T-TEXT,9.996770447160893
B11E82,MText,"10cm Spruce  & Tamarack",T-BUSH-T,9.997779023108771
B11E88,MText,"Low  Area",T-TEXT,9.996770447160893
B11E8C,MText,"High Ground",T-TEXT,9.996770447160893
B11E8E,MText,"30cm Poplar & Spruce",T-BUSH-T,9.997779023108771
B11E90,MText,"20cm  Spruce",T-BUSH,9.997779023108771
B127F9,MText,"Low  Area",T-TEXT,9.996770447160893
B12803,MText,"Ephemeral  Draw",T-WATER-T,9.997779023108771
B12806,MText,"Small Permanent Creek (Dry) 2.0 Wide 0.5 Deep",T-WATER-T,9.997779023108771
B131EA,MText,"High Ground",T-TEXT,9.996770447160893
B131EC,MText,"30cm Poplar & Spruce",T-BUSH-T,9.997779023108771
B131EE,MText,"20cm  Spruce",T-BUSH-T,9.997779023108771
B13B5A,MText,"Muskeg",T-TEXT,9.996770447160893
B13B5C,MText,"10cm Spruce  & Tamarack",T-BUSH-T,9.997779023108771
B13B5E,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
B13B60,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
B13B64,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
B13B66,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
B235AD,DBText,"(CORRECTION LINE)",L-ROAD-T,9.998842199999878
B235BE,MText,"Berm",T-TEXT,9.999999999999973
B25CBB,DBText,"Trail (Overgrown, Willow)",T-TEXT,9.998842199999913
B26682,BlockReference,"*U29",P-TEMP-BLOCKS,0.99989367
B2DC96,BlockReference,"WC",L-MON,4.9994683499999875
B2DC97,BlockReference,"WC",L-MON,4.9994683499999875
B2DC98,BlockReference,"WC",L-MON,4.9994683499999875
B2DC99,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9A,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9B,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9C,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9D,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9E,BlockReference,"WC",L-MON,4.9994683499999875
B2DC9F,BlockReference,"WC",L-MON,4.9994683499999875
B2DCA0,BlockReference,"WC",L-MON,4.9994683499999875
B2DCA1,BlockReference,"WC",L-MON,4.9994683499999875
B36D47,AlignedDimension,"Tamarack  P/L R/W  230876",C-RW-T,Compass 5 000
B376FD,AlignedDimension,"Sequoia  A/R  770575",F-AR-T,Compass 5 000
B4072A,AlignedDimension,"Tamarack  A/R  112518",C-AR-T,Compass 5 000
B410C2,MText,"Theor. S.E.1/4 Sec. 1-75-26-W.4M.",C-SYMBOL,19.99787339999991
B423B5,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.998842199999878
B44014,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.999999999999973
B4A899,MText,"30m FNC Buffer",P-BUFFER-T,9.993453184081108
B4A8A4,MText,"Buried  Pipes",AS-PIPE-UG-T,9.993453184081108
B4D574,BlockReference,"xing2",P-CROSSINGS,0.99989367
B4D57B,BlockReference,"xing2",P-CROSSINGS,0.99989367
BB3A44,BlockReference,"Propane_Tank",AS-SYMBOL,0.8276398841047128
BB42DE,BlockReference,"Propane_Tank",AS-SYMBOL,0.8276398841047128
BB7200,AlignedDimension,"CNRL  P/L R/W  792 1240  780072",F-RW-T,Compass 5 000
BB721C,DBText,"5m Medium Grade Gravel Road",T-TEXT,9.998842199999913
BB721E,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.999999999999973
BB721F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998842199999878
BB7220,DBText,"(CORRECTION LINE)",L-ROAD-T,9.998842199999878
BB7221,MText,"Twp. 74",D-TXT,13.999999999999929
BB7222,MText,"Twp. 75",D-TXT,13.999999999999929
BB92A7,DBText,"Theor. S.E.1/4 Sec. 6-75-25-W.4M.",C-SYMBOL,19.99787339999991
BB92A8,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.998298719999907
BB92AA,BlockReference,"*U50",0,0.99989367
BB9A68,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A69,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A6A,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A6B,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A6C,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A6D,BlockReference,"TEMP",L-MON,4.999468349999992
BB9A71,MText,"Tamarack 1-1 (Surface) MSL ______",C-WS-T,9.998842199999851
BB9A72,AlignedDimension,"Tamarack  A/R  ______",C-AR-T,Compass 5 000
BB9AB4,AlignedDimension,"Tamarack  A/R  ______",C-AR-T,Compass 5 000
BBA278,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.997779023108771
BBA27A,BlockReference,"MUSK",T-GENERAL,4.999468349999992
BBA27B,BlockReference,"MUSK",T-GENERAL,4.999468349999992
BBA27C,BlockReference,"MUSK",T-GENERAL,4.999468349999992
BBA286,AlignedDimension,"CNRL  Flow Line R/W  770209",F-RW-T,Compass 5 000
BBA2AE,AlignedDimension,"Sequoia  A/R  770575",F-AR-T,Compass 5 000
BBAA81,BlockReference,"xing2",P-CROSSINGS,0.99989367
BBAA88,BlockReference,"xing2",P-CROSSINGS,0.99989367
BC5EEC,BlockReference,"TEMP",L-MON,4.999468349999995
BC5EED,BlockReference,"TEMP",L-MON,4.999468349999995
BC5EEE,BlockReference,"TEMP",L-MON,4.999468349999995
BC75FB,BlockReference,"TEMP",L-MON,4.999468349999995
BC75FC,BlockReference,"TEMP",L-MON,4.999468349999995
BC85A6,DBText,"107°06'",L-BD1,9.99893669999999
BC85A8,DBText,"96°32'",L-BD,9.99893669999999
BC85AA,DBText,"58°23'",L-BD1,9.99893669999999
BC85AC,DBText,"50°28'",L-BD1,9.99893669999999
BC85AE,DBText,"92°05'",L-BD1,9.99893669999999
BC85B0,DBText,"133°24'",L-BD1,9.99893669999999
BC85B4,DBText,"144°26'",L-BD1,9.99893669999999
BC85B6,DBText,"54°26'",L-BD1,9.99893669999999
BC8F00,BlockReference,"RP",35,1
BCAFE1,BlockReference,"*U42",P-TEMP-BLOCKS,0.99989367
BCC9FD,MText,"246.6 93°06'",L-BD1,9.99893669999999
BD0E0F,AlignedDimension,"Tamarack  P/L R/W  230951",C-RW-T,Compass 5 000
BDA261,MText,"183°07'",L-BD,9.99893669999999
BDE733,MText,"30m FNC Buffer",P-BUFFER-T,9.993453184081108
BDE734,MText,"30m FNC Buffer",P-BUFFER-T,9.993453184081108
BDF140,MText,"246.6 93°06'",L-BD1,9.99893669999999
BDF146,MText,"Tamarack 7-6 (Surface) MSL 973483",C-WS-T,9.998936699999996
BDF149,MText,"Tamarack Industrial Storage MLL 200135",C-WS-T,9.998936699999996
BDF14B,BlockReference,"Propane_Tank",AS-SYMBOL,4.138199420523566
BDF14C,BlockReference,"Propane_Tank",AS-SYMBOL,4.138199420523566
BDF14D,BlockReference,"GABD",F-WS-S,4.999468349999998
BDF14E,BlockReference,"GAS",C-WS-S,4.999468349999998
BDF14F,BlockReference,"TEMP",L-MON,4.999468349999998
BDFC1D,BlockReference,"FLARE",AS-SYMBOL,4.999468349999998
BDFC1E,BlockReference,"FLARE",AS-SYMBOL,4.999468349999998
BE04D0,DBText,"591.3 (Tie)",L-TIE-T,9.998936699999996
BE04D1,DBText,"213°15'",L-TIE-T,9.998936699999996
BE04D2,DBText,"707.9 (Tie)",L-TIE-T,9.998936699999996
BE04D3,DBText,"63°35'",L-TIE-T,9.998936699999996
BE04D4,DBText,"707.9 (Tie)",L-TIE-T,9.998936699999996
BE04D5,DBText,"63°35'",L-TIE-T,9.998936699999996
BE04D6,DBText,"183°07'",L-BD,9.998936699999996
BE0D9F,AlignedDimension,"Tamarack  P/L R/W  230876",C-RW-T,Compass 5 000
BE0DC3,AlignedDimension,"Tamarack  P/L R/W  982 3065  972354",C-RW-T,Compass 5 000
BE0E0D,AlignedDimension,"Tamarack  P/L R/W  230951",C-RW-T,Compass 5 000
BE0F40,MText,"DETAIL 'A'",DETAIL-T,19.997873399999992
BE1965,AlignedDimension,"Tamarack  A/R  972346",C-AR-T,Compass 5 000
BE6A6B,MText,"Berm",T-TEXT,9.999999999999973
BE6A6D,MText,"Berm",T-TEXT,9.999999999999973
BE6A6F,MText,"Building",AS-GENERAL,9.999999999999973
BE6A71,MText,"Building",AS-GENERAL,9.999999999999973
BE6A73,MText,"Building",AS-GENERAL,9.999999999999973
BE7330,MText,"102/8-5 W/H",C-WS-T,9.996728456802582
BE7334,MText,"Steel Containment  Ring",AS-GENERAL,9.999999999999973
BE7337,DBText,"High Grade Gravel Road",T-TEXT,9.998842199999913
BE7338,MText,"Gate",AS-GENERAL,9.999999999999973
BE733B,MText,"A/G Pipe (Typ.)",AS-PIPE-AG,9.999999999999973
BE733E,MText,"Flare",AS-GENERAL,9.999999999999973
BE7C01,MText,"Tanks",AS-GENERAL,9.999999999999973
BE7C05,MText,"Chemical Tanks",AS-GENERAL,9.999999999999973
BE7C09,MText,"Propane Tanks",AS-GENERAL,9.999999999999973
BE99C2,MText,"Muskeg",T-TEXT,9.998936699999978
BE99C4,MText,"5cm Spruce",T-BUSH-T,9.998936699999978
BE99C6,BlockReference,"MUSK",T-GENERAL,4.999468349999999
BE99C7,BlockReference,"MUSK",T-GENERAL,4.999468349999999
BE99C8,BlockReference,"MUSK",T-GENERAL,4.999468349999999
BE99C9,BlockReference,"MUSK",T-GENERAL,4.999468349999999
BE99CA,BlockReference,"MUSK",T-GENERAL,4.999468349999999
BEAE5C,MText,"High Ground",T-TEXT,9.998936699999978
BEAE5E,MText,"30cm Poplar",T-BUSH-T,9.998936699999978
BEAE71,BlockReference,"xing2",P-CROSSINGS,0.99989367
BF5A17,MText,"Trail (Overgrown, Willow)",AS-GENERAL,9.998842199999928
BF6112,MText,"Existing Log Deck",T-EXISTING TFA-T,9.997779023108771
BF67D7,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.997779023108771
BF6E9D,MText,"Culvert",T-TEXT,9.997779023108771
BF6EA1,MText,"Culvert",T-TEXT,9.997779023108771
BF7584,MText,"Telus Buried Cable",AS-TELEPHONE-T,9.998936699999998
BF9045,MText,"Creek 0.6m Wide 0.7m Deep",T-WATER-T,9.998912297421755
BF9046,MText,"Culvert",T-TEXT,9.997779023108771
BF9755,MText,"Buried Pipe",AS-PIPE-UG,9.000351051253558
BFA56D,MText,"Open Water",T-WATER-T,9.995192822573806
BFAC85,MText,"Ephemeral Draw",T-WATER-T,9.998842199999865
BFAD03,MText,"Break Line",T-TEXT,9.995192822573806
BFAD05,MText,"Break Line",T-TEXT,9.995192822573806
BFB486,MText,"Open Water",T-WATER-T,9.995192822573806
BFB54D,MText,"Break Line",T-TEXT,9.995192822573806
BFCF37,MText,"Open Water",T-WATER-T,9.995192822573806
