Handle,ObjType,Content,Layer,Extra
BD311B,BlockReference,"L-SECLBL",L-SECLBL,0.999748
BD3121,BlockReference,"L-SECLBL",L-SECLBL,0.999748
BD3127,BlockReference,"L-SECLBL",L-SECLBL,0.999748
BD4552,DBText,"S.W.1/4 Sec. 23-69-9-W.6M.",C-SYMBOL,19.99496
BD4555,DBText,"N.W.1/4 Sec. 14-69-9-W.6M.",C-SYMBOL,19.99496
BD4558,DBText,"N.E.1/4 Sec. 15-69-9-W.6M.",C-SYMBOL,19.99496
BD455B,DBText,"N.W.1/4 Sec. 15-69-9-W.6M.",C-SYMBOL,19.99496
BD57E5,DBText,"Government Road Allowance",L-ROAD-T,9.99748
BD57E6,DBText,"(Undeveloped)",T-TEXT,9.99748
BD59EE,BlockReference,"HRV",CG-NOTES,0.999748
BD59F2,MText,"L.S. 11",L-SECTION-LSD,9.99748
BD59F4,MText,"L.S. 12",L-SECTION-LSD,9.99748
BD59F6,MText,"L.S. 14",L-SECTION-LSD,9.99748
BD59F7,MText,"L.S. 13",L-SECTION-LSD,9.99748
BD59F9,DBText,"Government Road Allowance",L-ROAD-T,9.99748
BD59FA,DBText,"(Undeveloped)",T-TEXT,9.99748
BD5B9D,MText,"L.S. 9",L-SECTION-LSD,10
BD5B9F,MText,"L.S. 10",L-SECTION-LSD,10
BD5BA1,MText,"L.S. 16",L-SECTION-LSD,10
BD5BA3,MText,"L.S. 15",L-SECTION-LSD,10
BD5BA5,MText,"L.S. 11",L-SECTION-LSD,10
BD5BA7,MText,"L.S. 12",L-SECTION-LSD,10
BD5BA9,MText,"L.S. 14",L-SECTION-LSD,10
BD5BAA,MText,"L.S. 13",L-SECTION-LSD,10
BD5BAC,MText,"L.S. 3",L-SECTION-LSD,10
BD5BAE,MText,"L.S. 4",L-SECTION-LSD,10
BD5BB0,MText,"L.S. 6",L-SECTION-LSD,10
BD5BB2,MText,"L.S. 5",L-SECTION-LSD,10
BD678B,DBText,"S.W.1/4 Sec. 15-69-9-W.6M.",C-SYMBOL,19.99496
BD678E,MText,"L.S. 3",L-SECTION-LSD,9.99748
BD6790,MText,"L.S. 4",L-SECTION-LSD,9.99748
BD6792,MText,"L.S. 6",L-SECTION-LSD,9.99748
BD6794,MText,"L.S. 5",L-SECTION-LSD,9.99748
BD694B,DBText,"(High Grade Gravel)",T-TEXT,9.99748
BD694D,BlockReference,"HRV",CG-NOTES,0.999748
BD80B7,BlockReference,"*U21",AS-OWNER,0.999748
BD8319,AlignedDimension,"Nova  P/L R/W  792 1033  780540",F-RW-T,Compass 5 000
BD8CCE,AlignedDimension,"Nova  P/L R/W  822 0121  800718",F-RW-T,Compass 5 000
BD967A,AlignedDimension,"Nova  P/L R/W  912 0488  900650",F-RW-T,Compass 5 000
BDB4AC,AlignedDimension,"ATCO  Power Line R/W  010292",F-EZE-T,Compass 5 000
BDB4DD,AlignedDimension,"Sinopec  A/R  033101",F-AR-T,Compass 5 000
BDB520,AlignedDimension,"Sinopec  A/R  033101",F-AR-T,Compass 5 000
BDBEF3,AlignedDimension,"CNRL  A/R  241543",C-AR-T,Compass 5 000
BDD21A,AlignedDimension,"CNRL  A/R  771110",C-AR-T,Compass 5 000
BDD25E,AlignedDimension,"CNRL  A/R  771110",C-AR-T,Compass 5 000
BDD451,MText,"Sinopec 6-15 (Surface) MSL 012242",F-WS-T,9.99748
