Handle,ObjType,Content,Layer,Extra
AF3D36,BlockReference,"FDI",L-MON,5
AF3D3B,BlockReference,"FDI",L-MON,5
AF3D40,BlockReference,"FDI",L-MON,5
AFADF4,BlockReference,"L-SECLBL",L-SECLBL,0.99974368
AFC130,MText,"Fd.I. c.s. N.E. 29",L-MON,9.996395499999968
AFC131,MText,"Fd.I. Mp.",L-MON,9.996395499999968
B08812,MText,"Fd.I. Mp. E.1/4 29",L-MON,9.996395499999968
B0AEAF,AlignedDimension,"Pembina  P/L R/W  330 RS",F-RW-T,Compass 5 000
B0AECE,AlignedDimension,"Pembina  P/L R/W  3601 MC",F-RW-T,Compass 5 000
B0B826,DBText,"(High Grade Gravel)",T-TEXT,9.997436800000045
B0B827,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000045
B0B835,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000045
B0B836,DBText,"(Undeveloped)",T-TEXT,9.997436800000045
B0C155,DBText,"(High Grade Gravel)",T-TEXT,9.997436800000045
B0C156,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000045
B0C157,DBText,"(High Grade Gravel)",T-TEXT,9.997436800000045
B0C158,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000045
B0D39B,DBText,"(High Grade Gravel)",T-TEXT,9.997436800000044
B0D39C,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000044
B0D39D,DBText,"(High Grade Gravel)",T-TEXT,9.997436800000044
B0D39E,DBText,"Government Road Allowance",L-ROAD-T,9.997436800000044
B0D3A0,MText,"CANADIAN NATIONAL RAILWAY",37,9.997436800000045
B0DCBB,AlignedDimension,"30.18 Railway  6276 BB",L-TITLEDB-T,Compass 5 000
B0DCDA,MText,"HWY 43",37,9.997436800000045
B0DCDB,AlignedDimension,"45.72 Road  2143 JY",L-TITLEDB-T,Compass 5 000
B0F898,AlignedDimension,"Variable Width Road  082 3749",L-TITLEDB-T,Compass 5 000
B101FD,AlignedDimension,"ATCO  P/L R/W  3494 NY",C-RW-T,Compass 5 000
B10225,AlignedDimension,"ATCO  P/L R/W  982 0516",C-RW-T,Compass 5 000
B1025F,AlignedDimension,"ATCO  P/L R/W  762 2045",C-RW-T,Compass 5 000
B10BBB,BlockReference,"GABD",F-WS-S,4.998718400000023
B10BBC,MText,"4-28 (Abd.)",F-WS-S,9.997436800000045
B114E6,AlignedDimension,"ATCO  P/L R/W  3494 NY",C-RW-T,Compass 5 000
B11520,AlignedDimension,"ATCO  P/L R/W  982 0516",C-RW-T,Compass 5 000
B14477,MText,"C. of T.",L-TITLEDB-T,9.994240819403828
B14481,MText,"Lot 2 Block 1 Plan 102 0791",L-TITLEDB-T,9.994240819403828
B14483,MText,"Lot 2 Block 1 Plan 082 8233",L-TITLEDB-T,9.994240819403828
B14DAC,MText,"Small Permanent Creek",T-WATER-T,9.994240819403775
B14DB6,MText,"Kelly Lake",T-WATER-T,9.994240819403775
B14DB8,MText,"Intermittent Creek",T-WATER-T,9.994240819403775
B14DBA,MText,"Small Permanent Creek",T-WATER-T,9.994240819403775
B14DBC,MText,"Intermittent Creek",T-WATER-T,9.994240819403775
B14DBE,MText,"Intermittent Creek",T-WATER-T,9.994240819403775
B14DC0,MText,"Intermittent Creek",T-WATER-T,9.994240819403775
B156E8,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B156E9,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B156EA,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B16025,BlockReference,"*U43",AS-POWER-EXISTING-ANC,4.998718400000023
B16040,BlockReference,"*U44",AS-POWER-EXISTING-ANC,4.998718400000023
B1605B,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B16983,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B16984,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.998718400000018
B1FE12,DBText,"Rge Rd. 64",L-ROAD-T,9.99743680000008
B213BC,MText,"Approximate Location of  Ste. Anne Natural Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999999
B21D36,MText,"Approximate Location of  Ste. Anne Natural Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999999
B21D38,MText,"Approximate Location of  Ste. Anne Natural Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999999
B2570B,BlockReference,"RP",35,0.99974368
B2585B,BlockReference,"*U45",DETAIL-T,1
B2ED18,MText,"Lot 2 Block 1 Plan 102 0791",L-TITLEDB-T,9.994240819403828
B2ED1B,AlignedDimension,"20.00 Road  082 3898",L-TITLEDB-T,Compass 5 000
B2F690,MText,"ATCO Variable Width P/L R/W Plan 052 4703",C-RW-T,9.997436800000045
B3098B,BlockReference,"*U47",AS-OWNER,0.9996252665215225
B312F6,BlockReference,"*U48",AS-OWNER,0.9996252665215225
B31C92,BlockReference,"*U49",AS-OWNER,0.9996252665215225
B32FBB,BlockReference,"*U50",AS-OWNER,0.9996252665215225
B32FF1,AlignedDimension,"Pembina  P/L R/W  3601 MC",F-RW-T,Compass 5 000
B32FFE,AlignedDimension,"Pembina  P/L R/W  330 RS",F-RW-T,Compass 5 000
B33049,AlignedDimension,"Pembina  P/L R/W  330 RS",F-RW-T,Compass 5 000
B33056,AlignedDimension,"Pembina  P/L R/W  3601 MC",F-RW-T,Compass 5 000
B330B4,AlignedDimension,"ATCO  P/L R/W  3494 NY",C-RW-T,Compass 5 000
B330EE,AlignedDimension,"30.18 Railway  6276 BB",L-TITLEDB-T,Compass 5 000
B330FB,AlignedDimension,"45.72 Road  2143 JY",L-TITLEDB-T,Compass 5 000
