Handle,ObjType,Content,Layer,Extra
AF2CA7,BlockReference,"FDI",L-MON,5.001866496501836
AF2F4A,BlockReference,"FDI",L-MON,5.001866496501836
AF8D04,BlockReference,"FDI",L-MON,5
B08DFA,MText,"Lafarge Quarry DMS 910266",F-WS-T,10
B09597,AlignedDimension,"Fortis  Power Line R/W  090237",F-EZE-T,Compass 5 000
B09D5F,AlignedDimension,"Fortis  Power Line R/W  120215",F-EZE-T,Compass 5 000
B09D90,AlignedDimension,"Altalink  Power Line R/W  210023",F-EZE-T,Compass 5 000
B09DE4,AlignedDimension,"ATCO  P/L R/W  771 0871  750096  750096",C-RW,Compass 5 000
B0BCD8,MText,"Lafarge Quarry DMS 910263 SML 9100037",F-WS-T,10
B0BCD9,AlignedDimension,"CPR  Railway R/W  377 EO",L-TITLEDB-T,Compass 5 000
B0C4AD,AlignedDimension,"60.96 Road  241 JK",L-TITLEDB-T,Compass 5 000
B0D4B3,MText,"Road Plan 241 JK",L-TITLEDB-T,10
B0DC58,AlignedDimension,"Altalink  Power Line R/W  886 IB",F-EZE-T,Compass 5 000
B0E425,AlignedDimension,"Altalink  Fireguard  210003",F-EZE-T,Compass 5 000
B0E486,BlockReference,"*U40",F-EZE-T,1
B19E9D,AlignedDimension,"CPR  Railway R/W  377 EO",L-TITLEDB-T,Compass 5 000
B19EC2,MText,"Road Plan 241 JK",L-TITLEDB-T,10
B19EC3,AlignedDimension,"60.96 Road  241 JK",L-TITLEDB-T,Compass 5 000
B19F0F,AlignedDimension,"ATCO  P/L R/W  771 0871  750096  750096",C-RW,Compass 5 000
B1A6C1,MText,"Pipe Vent",EXISTING PIPE (EXIST OR HP),9.999999999999986
B1F2C8,BlockReference,"*U44",CG-NOTES,1
B1F76E,BlockReference,"L-SECLBL",L-SECLBL,1
B1F775,DBText,"N.W.1/4 Sec. 33-24-8-W.5M.",C-SYMBOL,20
B1F776,DBText,"Area Required = 0.642 ha  1.59 Ac.",L-AREAREQUIRED,11
B1FBBA,MText,"Gravel Area",T-TEXT,10.000261419657011
B1FBBC,MText,"Gravel Access",T-TEXT,10.000261419657011
B1FBBE,MText,"Top of Bank",T-SLOPE,10.000261419657011
B1FBC0,MText,"Top of Bank",T-SLOPE,10.000261419657011
B1FBC2,MText,"Asphalt Road",AS-ROADS,10.000261419657011
B1FFD8,MText,"Asphalt Road",AS-ROADS,10.000261419657011
B21999,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999998
B2199A,DBText,"(Undeveloped)",T-TEXT,9.999999999999998
B22F0B,DBText,"Government Road Allowance",L-ROAD-T,10
B22F0C,DBText,"(Undeveloped)",T-TEXT,10
B23D37,MText,"Kananaskis Improvement District",L-33,11.999999999999998
B23D43,MText,"M.D. of Bighorn No.8",L-33,12
B24159,MText,"Kananaskis Improvement District",L-33,11.999999999999998
B2415B,MText,"M.D. of Bighorn No.8",L-33,12
B24EA3,MText,"Bow River",T-WATER-T,10.000000000000009
B24EA4,MText,"Kananaskis River",T-WATER-T,10.000000000000009
