Handle,ObjType,Content,Layer,Extra
AF192E,BlockReference,"FDI",L-MON,4.999999999999998
AF1933,BlockReference,"FDI",L-MON,4.999999999999998
AF1938,BlockReference,"FDI",L-MON,4.999999999999998
AF1BA8,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BAD,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BBA,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BBF,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BC4,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BC9,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BE2,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BE7,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BEC,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BF1,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1BF6,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C23,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C2C,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C5D,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C66,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C6B,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
AF1C78,BlockReference,"VALVE",AS-SYMBOL,4.999999999999998
B0FC49,DBText,"Trans-Canada Hwy. 1",L-TITLEDB-T,9.999999999999996
B0FCBA,DBText,"Rundlecairn Road NE",L-TITLEDB-T,9.999999999999996
B0FCCE,DBText,"Rundlecairn",L-TITLEDB-T,9.999999999999996
B0FCD9,DBText,"Rundlehord Drive NE",L-TITLEDB-T,9.999999999999996
B0FCF0,DBText,"50 St NE",L-TITLEDB-T,9.999999999999996
B0FCFF,DBText,"48 St NE",L-TITLEDB-T,9.999999999999996
B0FD0D,DBText,"Rundlehord Drive NE",L-TITLEDB-T,9.999999999999996
B0FD18,DBText,"Rundlefield Road NE",L-TITLEDB-T,9.999999999999996
B0FD1A,DBText,"Rundlecairn Road NE",L-TITLEDB-T,9.999999999999996
B0FD26,DBText,"Rundlecairn Way NE",L-TITLEDB-T,9.999999999999996
B0FD2D,DBText,"Rundlecairn Way NE",L-TITLEDB-T,9.999999999999996
B0FD3B,DBText,"Rundlecairn Way NE",L-TITLEDB-T,9.999999999999996
B0FD3C,DBText,"Rundlefield Road NE",L-TITLEDB-T,9.999999999999996
B0FD4A,DBText,"Rundlefield Crescent NE",L-TITLEDB-T,9.999999999999996
B10530,DBText,"Rise",L-TITLEDB-T,9.999999999999996
B10531,DBText,"NE",L-TITLEDB-T,9.999999999999993
B124C9,DBText,"16th Avenue",L-TITLEDB-T,9.999999999999996
B207B1,BlockReference,"SP2",AS-POWER-OH-ATCO PIPELINES,4.998668377999999
B24E8D,BlockReference,"FDI",L-MON,4.998668377999999
B24E8E,BlockReference,"FDI",L-MON,4.998668377999999
B24E8F,BlockReference,"FDI",L-MON,4.998668377999999
B25B0A,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B0B,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B0C,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B0D,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B0E,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B0F,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B10,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B11,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B12,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B13,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B14,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B15,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B25B16,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B17,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B18,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B19,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B1A,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B1B,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B1C,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B1E,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B1F,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B20,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B21,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B22,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B23,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B24,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B25,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25B26,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B25E5B,DBText,"PIPE_UG2 LP RISER4 PIPE_AG2",EXISTING PIPE IP,0.2499334188982689
B25F8F,BlockReference,"SP2",AS-POWER-OH-ATCO PIPELINES,4.998668377999999
B25F91,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B26751,MText,"Telus Pedestals",AS-TELUS-ATCO PIPELINES,9.997336755999987
B26753,MText,"Power Pedestals",AS-POWER-BURIED-ATCO PIPELINES,9.997336755999987
B27055,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27056,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27057,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27058,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27059,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705A,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705B,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705C,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705D,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705E,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B2705F,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27060,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27061,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27062,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27063,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27064,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27065,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27066,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27067,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27068,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27069,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706A,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706B,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706C,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706D,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706E,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B2706F,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27070,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27071,BlockReference,"VALVE",AS-SYMBOL,4.998668377999999
B27484,BlockReference,"SP2",AS-POWER-OH-ATCO PIPELINES,4.998668377999999
B27486,BlockReference,"riser",AS-SYMBOL,4.998668377999999
B27487,MText,"Buried Power Cable",AS-POWER-BURIED-ATCO PIPELINES,9.997336755999997
B2748B,MText,"Buried Cable (Cathodic)",AS-POWER-BURIED-ATCO PIPELINES,9.997336755999997
B28481,BlockReference,"TEMP",L-MON,4.998668377999999
B28483,BlockReference,"TEMP",L-MON,4.998668377999999
B28484,BlockReference,"TEMP",L-MON,4.998668377999999
B28488,BlockReference,"TEMP",L-MON,4.998668377999999
B28489,BlockReference,"TEMP",L-MON,4.998668377999999
B2848B,BlockReference,"TEMP",L-MON,4.998668377999999
