Handle,ObjType,Content,Layer,Extra
B01622,BlockReference,"L-SECLBL",L-SECLBL,1
B01628,BlockReference,"L-SECLBL",L-SECLBL,1
B0162E,BlockReference,"L-SECLBL",L-SECLBL,1
B01640,BlockReference,"L-SECLBL",L-SECLBL,1
B01646,BlockReference,"L-SECLBL",L-SECLBL,1
B0164C,BlockReference,"L-SECLBL",L-SECLBL,1
B01652,BlockReference,"L-SECLBL",L-SECLBL,1
B01E40,BlockReference,"L-SECLBL",L-SECLBL,1
B01E46,BlockReference,"L-SECLBL",L-SECLBL,1
B01E4C,BlockReference,"L-SECLBL",L-SECLBL,1
B01E52,BlockReference,"L-SECLBL",L-SECLBL,1
B01E5E,BlockReference,"L-SECLBL",L-SECLBL,1
B01E64,BlockReference,"L-SECLBL",L-SECLBL,1
B01E6A,BlockReference,"L-SECLBL",L-SECLBL,1
B01E70,BlockReference,"L-SECLBL",L-SECLBL,1
B01E76,BlockReference,"L-SECLBL",L-SECLBL,1
B01E7C,BlockReference,"L-SECLBL",L-SECLBL,1
B01E82,BlockReference,"L-SECLBL",L-SECLBL,1
B01E88,BlockReference,"L-SECLBL",L-SECLBL,1
B01E8E,BlockReference,"L-SECLBL",L-SECLBL,1
B01E94,BlockReference,"L-SECLBL",L-SECLBL,1
B01E9A,BlockReference,"L-SECLBL",L-SECLBL,1
B1EB5E,MText,"C. of T.",L-TITLEDB-T,10
B1EB60,AlignedDimension,"30.48 Road  5658 RS",L-TITLEDB-T,Compass 5 000
B1EB8B,DBText,"Government Road Allowance",L-ROAD-T,10
B1EB8C,DBText,"(Paved)",T-TEXT,10
B1EB8D,DBText,"Secondary Highway 611",L-ROAD-T,10
B1EBAF,MText,"Twp. 44",D-TXT,13.999999999999998
B1EBB0,MText,"Twp. 45",D-TXT,13.999999999999998
B1EBB1,AlignedDimension,"Bonavista  P/L R/W  082 1558",F-RW-T,Compass 5 000
B1EBCD,AlignedDimension,"Bonavista  P/L R/W  082 1544",F-RW-T,Compass 5 000
B1EC07,AlignedDimension,"Bonavista  P/L R/W  082 1544",F-RW-T,Compass 5 000
B1EC23,AlignedDimension,"Bonavista  P/L R/W  912 2742",F-RW-T,Compass 5 000
B1F3E4,AlignedDimension,"Bonavista  P/L R/W  822 1254",F-RW-T,Compass 5 000
B1F403,MText,"Lot 1 Block 1 Plan 082 3541",L-TITLEDB-T,10
B1F404,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B1FBC4,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B1FC82,AlignedDimension,"CNRL  P/L R/W  042 0824",F-RW-T,Compass 5 000
B1FCAA,AlignedDimension,"CNRL  P/L R/W  142 1903",F-RW-T,Compass 5 000
B1FCC9,AlignedDimension,"CNRL  P/L R/W  042 5206",F-RW-T,Compass 5 000
B1FD0C,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B1FD20,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B1FD46,AlignedDimension,"CNRL  P/L R/W  142 1903",F-RW-T,Compass 5 000
B1FD6B,AlignedDimension,"CNRL  P/L R/W  042 5206",F-RW-T,Compass 5 000
B2062C,AlignedDimension,"Bonavista  P/L R/W  912 2742",F-RW-T,Compass 5 000
B2067C,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B20690,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B206A4,AlignedDimension,"30.18 Road  2853 NY",L-TITLEDB-T,Compass 5 000
B20EE0,AlignedDimension,"Bonavista  P/L R/W  092 4398",F-RW-T,Compass 5 000
B20EFF,AlignedDimension,"I3 Energy  P/L R/W  842 2241",F-RW-T,Compass 5 000
B20F4B,AlignedDimension,"Bonavista  P/L R/W  012 1741",F-RW-T,Compass 5 000
B20F58,AlignedDimension,"Bonavista  P/L R/W  822 1746",F-RW-T,Compass 5 000
B21751,AlignedDimension,"Bonavista  P/L R/W  062 2604",F-RW-T,Compass 5 000
