Handle,ObjType,Content,Layer,Extra
AF2714,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF2745,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF274A,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF274F,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF2754,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF2759,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF2766,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF276B,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF2770,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF27B5,BlockReference,"PIG",AS-SYMBOL,4.997440799999977
AF27D2,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF27D7,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF27FE,BlockReference,"FDI",L-MON,4.997440799999977
AF2803,BlockReference,"FDI",L-MON,4.997440799999977
AF2808,BlockReference,"FDI",L-MON,4.997440799999977
AF2821,BlockReference,"PLI",L-MON,4.997440799999991
AF2826,BlockReference,"PLI",L-MON,4.997440799999991
AF282B,BlockReference,"PLI",L-MON,4.997440799999991
AF3044,BlockReference,"L-SECLBL",L-SECLBL,1.000003001545791
AF304A,BlockReference,"musk",T-GENERAL,5.000015007728925
AF304B,BlockReference,"musk",T-GENERAL,5.000015007728925
AF304C,BlockReference,"musk",T-GENERAL,5.000015007728925
AF304F,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000048024732592
AF3056,MText,"Theoretic Government Road Allowance",TB_TEXT,9.994879999999933
AF3059,MText,"Theoretic Government Road Allowance",TB_TEXT,9.994879999999933
AF3068,MText,"Muskeg",AS-GENERAL,10.000030015457853
AF307C,MText,"Murphy Water Reservoir LOC 140132",C-AR-T,10.000030015457853
AF307E,AlignedDimension,"Murphy  A/R  121948",C-AR-T,Compass 5 000
AF308A,MText,"10cm Black Spruce",T-BUSH-T,10.000030015457853
AF30C8,MText,"(2) Buried Pipes",AS-PIPE-UG,9.91232020890238
AF3EA1,MText,"Theor. S.W.1/4 Sec. 26 64-18-W.5M.",C-SYMBOL,19.989759999999933
AF3EB4,AlignedDimension,"Murphy  P/L R/W  200015",C-RW-T,Compass 5 000
AF5027,AlignedDimension,"Murphy  P/L R/W  120551",C-RW-T,Compass 5 000
AF5043,AlignedDimension,"Paramount  A/R  940776",F-RW-T,Compass 5 000
AF5062,AlignedDimension,"Veren  P/L R/W  141388",F-RW-T,Compass 5 000
AF507E,AlignedDimension,"Murphy  A/R  120462",C-AR-T,Compass 5 000
AF50A6,AlignedDimension,"Murphy  P/L R/W  180896",C-RW-T,Compass 5 000
AF62DE,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62DF,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E0,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E1,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E2,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E3,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E4,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E5,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF62E6,BlockReference,"PIG",AS-SYMBOL,4.997440799999977
AF6488,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF6489,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF648A,BlockReference,"riser",AS-SYMBOL,4.997440799999977
AF6495,BlockReference,"FDI",L-MON,4.997440799999977
AF6496,BlockReference,"FDI",L-MON,4.997440799999977
AF779B,MText,"SEE DETAIL",DETAIL-T,15.99181055999993
AF93DB,BlockReference,"as-built legend",CG-NOTES,0.99948816
AF93DC,BlockReference,"lightpole",AS-SYMBOL,4.997440799999977
AF93DD,AlignedDimension,"Veren  P/L R/W  141388",F-RW-T,Compass 5 000
AF93F1,AlignedDimension,"Murphy  A/R  121948",C-AR-T,Compass 5 000
AF940E,AlignedDimension,"Murphy  P/L R/W  120551",C-RW-T,Compass 5 000
AF9422,AlignedDimension,"Murphy  P/L R/W  180896",C-RW-T,Compass 5 000
AF94AB,MText,"Murphy Water Reservoir LOC 140132",C-AR-T,10.000030015457853
AF9648,BlockReference,"RP",35,0.99948816
AF9692,MText,"Fd.I.",L-MON-T,9.994881599999962
AF9694,BlockReference,"*U52",DETAIL-T,0.99948816
AFA226,MText,"Building",T-TEXT,9.994881599999957
AFA227,MText,"Tank",T-TEXT,9.994881599999957
