Handle,ObjType,Content,Layer,Extra
AF277A,BlockReference,"L-SECLBL",L-SECLBL,0.99969842
AF2780,DBText,"N.W.1/4 Sec. 21-69-7-W.6M.",C-SYMBOL,19.993968399999858
AF2783,MText,"L.S. 11",L-SECTION-LSD,9.996984199999929
AF2785,MText,"L.S. 12",L-SECTION-LSD,9.996984199999929
AF2787,MText,"L.S. 14",L-SECTION-LSD,9.996984199999929
AF2788,MText,"L.S. 13",L-SECTION-LSD,9.996984199999929
AF2797,DBText,"Government Road Allowance",L-ROAD-T,9.996984199999929
AF2798,DBText,"(Undeveloped)",T-TEXT,9.996984199999929
AF27A0,DBText,"(Undeveloped)",T-TEXT,9.996984199999929
AF2932,AlignedDimension,"CNRL  P/L R/W  032 5481",F-RW-T,Compass 5 000
AF2952,AlignedDimension,"CNRL  P/L R/W  092 6316",F-RW-T,Compass 5 000
AF29CA,BlockReference,"*U32",CG-NOTES,0.99969842
AF414A,AlignedDimension,"CNRL  A/R",F-AR-T,Compass 5 000
AF4F59,AlignedDimension,"Sinopec  A/R",C-WS-T,Compass 5 000
AF5894,BlockReference,"fdspike",L-MON,4.999999999999975
AF5899,BlockReference,"FDI",L-MON,4.998492099999989
AF589E,BlockReference,"FDI",L-MON,4.998492099999989
AF5C5C,MText,"Sinopec 4-32",C-WS-T,9.99698419999995
AF5C6D,MText,"CNRL 14-32",F-WS-T,9.99698419999995
AF6043,AlignedDimension,"CNRL  P/L R/W  100450",F-RW-T,Compass 5 000
AF7420,BlockReference,"GAS",C-WS-S,4.998492099999979
AF8AED,MText,"Block 1 Lot 2 Plan 192 3031",L-TITLEDB-T,9.996984199999964
AF9380,BlockReference,"GAS",F-WS-S,4.998492099999986
AFA547,BlockReference,"TEMP",L-MON,4.998492099999989
AFA548,BlockReference,"TEMP",L-MON,4.998492099999989
AFA549,BlockReference,"TEMP",L-MON,4.998492099999989
AFA54A,BlockReference,"TEMP",L-MON,4.998492099999989
AFA66B,MText,"20cm Poplar",T-BUSH-T,9.999413957597541
AFA781,MText,"SEE DETAIL",DETAIL-T,15.995174719999957
AFA873,BlockReference,"FLARE",AS-SYMBOL,4.998492099999986
AFA877,BlockReference,"FDI",L-MON,4.998492099999989
AFA879,BlockReference,"TEMP",L-MON,4.998492099999989
AFA87A,BlockReference,"TEMP",L-MON,4.998492099999989
AFA87B,BlockReference,"TEMP",L-MON,4.998492099999989
AFA87C,BlockReference,"TEMP",L-MON,4.998492099999989
AFB754,DBText,"Government Road Allowance",L-ROAD-T,9.996984199999929
AFB755,DBText,"(Undeveloped)",T-TEXT,9.996984199999929
AFB77A,MText,"Sinopec 4-32",C-WS-T,9.99698419999995
AFB89D,MText,"Flare (26.0m Tall)",T-TEXT,9.999413957597529
AFB8B0,DBText,"1°",L-BD,9.996984199999979
AFB8B2,DBText,"39'",L-BD,9.996984199999979
AFB8B4,DBText,"35''",L-BD,9.996984199999979
AFB9AA,DBText,"181°39'35''",L-BD,9.996984199999979
AFC6FA,DBText,"10''",L-BD,9.996984199999979
AFC803,BlockReference,"curve",P-PDRILLPATH,4.998492099999986
AFC809,BlockReference,"curve",P-PDRILLPATH,4.998492099999986
AFCE6E,DBText,"40'",L-BD,9.996984199999979
AFCE70,DBText,"271°",L-BD,9.996984199999979
B0CA5B,DBText,"91°40'10''",L-BD,9.996984199999979
B0CA5C,BlockReference,"TEMP",L-MON,4.998492099999989
B0E803,DBText,"1%%D39'35''",L-BD,9.996984199999979
B0F3B5,MText,"Flare Extension A",P-PDRILLPATH,9.996984199999972
B112B4,MText,"Flare Extension 'A' = 0.004 ha  0.01 Ac. Flare Extension 'B' = 0.052 ha  0.13 Ac.",P-PDRILLPATH,10.996682619999929
B114DF,BlockReference,"TEMP",L-MON,4.998492099999989
B114E1,BlockReference,"TEMP",L-MON,4.998492099999989
B11959,MText,"181°40'10'' 279.88",L-BD1,9.996984199999972
B12AFE,MText,"136°39'20'' 42.58",L-BD,9.996984199999986
B16278,MText,"Flare Extension B",P-PDRILLPATH,9.996984199999972
B2938C,DBText,"Government Road Allowance",L-ROAD-T,9.996984199999929
B3613D,BlockReference,"Disclaimer_Legal",0,0.3
