Handle,ObjType,Content,Layer,Extra
AF4842,BlockReference,"L-SECLBL",L-SECLBL,1
AF487F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99482000000003
AF4880,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99482000000003
AF4881,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99482000000003
AF4882,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99482000000003
AF4891,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991712000000035
AF48A2,MText,"Rge. 18",D-TXT,13.992748000000002
AF48A3,MText,"Rge. 17",D-TXT,13.992748000000002
AF48A8,MText,"L.S. 3",L-SECTION-LSD,9.994820000000004
AF48AA,MText,"L.S. 4",L-SECTION-LSD,9.994820000000004
AF48AC,MText,"L.S. 6",L-SECTION-LSD,9.994820000000004
AF48AE,MText,"L.S. 5",L-SECTION-LSD,9.994820000000004
AF48B0,MText,"L.S. 1",L-SECTION-LSD,9.994820000000004
AF48B1,MText,"L.S. 2",L-SECTION-LSD,9.994820000000004
AF48B3,MText,"L.S. 8",L-SECTION-LSD,9.994820000000004
AF48B4,MText,"L.S. 7",L-SECTION-LSD,9.994820000000004
AF4953,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99482000000003
AF4956,MText,"L.S. 11",L-SECTION-LSD,9.9948219
AF4958,MText,"L.S. 12",L-SECTION-LSD,9.9948219
AF495A,MText,"L.S. 14",L-SECTION-LSD,9.9948219
AF495B,MText,"L.S. 13",L-SECTION-LSD,9.9948219
AF4961,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991712000000035
AF4972,MText,"Theor. N.W.1/4 Sec. 13-64-18-W.5M.",C-SYMBOL,19.9896438
AF4978,BlockReference,"*U61",35,0.99948219
AF49ED,MText,"Murphy Water Reservoir LOC 200543",C-RW-T,9.994820000000018
AF49EE,AlignedDimension,"Murphy  P/L R/W  120529",C-RW-T,Compass 5 000
AF49EF,AlignedDimension,"Paramount  A/R  220703",F-AR-T,Compass 5 000
AF49F0,AlignedDimension,"Paramount  A/R  1368",F-AR-T,Compass 5 000
AF49F1,AlignedDimension,"Paramount  P/L R/W  240076",F-RW-T,Compass 5 000
AF49F2,AlignedDimension,"Paramount  P/L R/W  240076",F-RW-T,Compass 5 000
AF49F3,MText,"Paramount Riser Site PIL 240026",F-WS-T,9.994820000000018
AF49F5,MText,"Paramount 4-13 (Surface) MSL 220563",F-WS-T,9.994820000000018
AF49F6,MText,"6m High Grade Gravel Road",T-TEXT,10.000000000000021
AF49F9,MText,"40cm Spruce, Poplar and Pine",T-BUSH-T,10.000000000000021
AF49FB,MText,"40cm Spruce, Poplar and Pine",T-BUSH-T,9.994820000000004
AF49FD,BlockReference,"FDI",L-MON,5
AF49FE,BlockReference,"FDI",L-MON,5
