Handle,ObjType,Content,Layer,Extra
AF3C8D,BlockReference,"RP",35,0.999668
AF5F40,BlockReference,"L-SECLBL",L-SECLBL,0.999668
AF5F46,MText,"L.S. 9",L-SECTION-LSD,9.996679999999968
AF5F48,MText,"L.S. 10",L-SECTION-LSD,9.996679999999968
AF5F4A,MText,"L.S. 16",L-SECTION-LSD,9.996679999999968
AF5F4C,MText,"L.S. 15",L-SECTION-LSD,9.996679999999968
AF82B8,DBText,"Theor. N.E.1/4 Sec. 11-79-8-W.5M.",C-SYMBOL,19.993359999999946
AF82C6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994687999999956
AF8AE6,AlignedDimension,"CNRL  A/R  3000",C-AR-T,Compass 5 000
AF8B32,AlignedDimension,"CNRL  A/R  3085",C-AR-T,Compass 5 000
AF8B6C,AlignedDimension,"CNRL  A/R  7008",C-AR-T,Compass 5 000
AF94AB,MText,"CNRL 10-11 (Surface) MSL 7008 (Expired)",C-WS-T,9.996679999999973
AF94B5,AlignedDimension,"CNRL  P/L R/W  862 0288  790672",C-RW-T,Compass 5 000
AF94E6,AlignedDimension,"CNRL  P/L R/W  4946 RS  4124",C-RW-T,Compass 5 000
AF9D4E,AlignedDimension,"CNRL  P/L R/W  862 1872  850945",C-RW-T,Compass 5 000
AF9D88,AlignedDimension,"ATCO  Vegetation Control R/W  900174",F-VCE-T,Compass 5 000
AFC11C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996679999999971
AFC122,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996679999999973
AFC19F,BlockReference,"GAS",C-WS-S,4.998339999999989
B09B11,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B14,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B17,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B1A,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B1D,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B20,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B09B23,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B0A490,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999668
B0A493,BlockReference,"*U36",P-TEMP-BLOCKS,0.999668
B0A4D4,BlockReference,"*U32",P-TEMP-BLOCKS,0.999668
B0BC5F,BlockReference,"*U33",P-TEMP-BLOCKS,0.999668
B0BCC2,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B0C3B4,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999668
B0C3B7,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B0D472,BlockReference,"*U34",P-TEMP-BLOCKS,0.999668
B0D4B4,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999668
B0D4B7,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999668
B0DB8A,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B0E261,BlockReference,"*U35",P-TEMP-BLOCKS,0.999668
B0E2A3,BlockReference,"*U31",P-TEMP-BLOCKS,0.999668
B0EC47,BlockReference,"Temp_Area3",P-TEMP-BLOCKS,0.999668
B0EC4A,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B0F5DC,BlockReference,"Temp_Area5",P-TEMP-BLOCKS,0.999668
B108FA,BlockReference,"*U37",P-TEMP-BLOCKS,0.999668
B1095D,BlockReference,"*U38",P-TEMP-BLOCKS,0.999668
B109A1,BlockReference,"*U39",P-TEMP-BLOCKS,0.999668
B1243E,BlockReference,"*U37",P-TEMP-BLOCKS,0.999668
B12454,BlockReference,"*U40",P-TEMP-BLOCKS,0.999668
B12B93,BlockReference,"*U37",P-TEMP-BLOCKS,0.999668
B12BAB,BlockReference,"*U37",P-TEMP-BLOCKS,0.999668
B14909,BlockReference,"*U41",P-TEMP-BLOCKS,0.999668
B152F6,BlockReference,"*U41",P-TEMP-BLOCKS,0.999668
B1705D,BlockReference,"*U42",P-TEMP-BLOCKS,0.999668
B170A6,MText,"DETAIL 'A' NOT TO SCALE",DETAIL-T,19.993359999999957
B177C3,BlockReference,"*U41",P-TEMP-BLOCKS,0.999668
B177D8,BlockReference,"*U41",P-TEMP-BLOCKS,0.999668
B17802,BlockReference,"*U37",P-TEMP-BLOCKS,0.999668
B1781F,BlockReference,"*U43",P-TEMP-BLOCKS,0.999668
B19A8F,BlockReference,"*U44",L-SECLBL,0.999668
B19ABC,DBText,"Theor. S.E.1/4 Sec. 14-79-8-W.5M.",C-SYMBOL,19.993359999999946
B19ABD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994687999999956
B1A1F3,BlockReference,"*U30",AS-WILDLIFE-BLOCK,0.999668
B2BD1A,MText,"DETAIL 'B' NOT TO SCALE",DETAIL-T,19.993359999999957
B2BD2B,MText,"SEE DETAIL 'A'",DETAIL-T,15.994687999999973
B2BD2D,MText,"SEE DETAIL 'B'",DETAIL-T,15.994687999999973
B2BD3D,BlockReference,"*U45",P-TEMP-BLOCKS,0.999668
B32007,BlockReference,"Disclaimer_Legal",0,0.2999003999999997
B32650,BlockReference,"*U47",L-SECLBL,0.999668
B3265F,BlockReference,"*U30",AS-WILDLIFE-BLOCK,0.999668
