Handle,ObjType,Content,Layer,Extra
BD92B3,AlignedDimension,"Weyerhaeuser  A/R  3890",F-AR-T,Compass 5 000
BD92D1,AlignedDimension,"Weyerhaeuser  A/R  3890",F-AR-T,Compass 5 000
BD932E,AlignedDimension,"CNRL  A/R LOC 054440",C-AR-T,Compass 5 000
BD9355,AlignedDimension,"CNRL  A/R LOC 141418",C-AR-T,Compass 5 000
BD9BC8,AlignedDimension,"Nuvista  A/R  972341",F-RW-T,Compass 5 000
BDA416,MText,"CNRL 12-11 (Surface) MSL 056345",C-WS-T,9.996360000000099
BDA419,MText,"CNRL Riser Site PIL 140594",C-RW-T,9.996360000000099
BDAC77,AlignedDimension,"CNRL  P/L R/W  072903",C-RW-T,Compass 5 000
BDB4D4,AlignedDimension,"Nuvista  P/L R/W PLA 110791",F-RW-T,Compass 5 000
BDB51B,AlignedDimension,"Nuvista  P/L R/W  131641",F-RW-T,Compass 5 000
BDB543,AlignedDimension,"Nuvista  P/L R/W  140601",F-RW-T,Compass 5 000
BDB56B,AlignedDimension,"Nuvista  P/L R/W  150900",F-RW-T,Compass 5 000
BDBDBF,AlignedDimension,"Nuvista  P/L R/W  140601",F-RW-T,Compass 5 000
BDBDDE,AlignedDimension,"Nuvista  P/L R/W  150900",F-RW-T,Compass 5 000
BDBE18,AlignedDimension,"CNRL  P/L R/W  200428",C-RW-T,Compass 5 000
BDC7AF,BlockReference,"L-SECLBL",L-SECLBL,0.9996360000000065
BDD31C,MText,"Big Mountain Creek",T-WATER-T,10.000000000000103
BDD324,MText,"Big Mountain Creek",T-WATER-T,10.000000000000103
BDDD22,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000103
BDDD2A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000103
BDDD31,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000103
BDE567,DBText,"Theor. N.W.1/4",C-SYMBOL,20.000000000000206
BDE568,DBText,"Sec. 11-66-6-W.6M.",C-SYMBOL,20.000000000000206
BDE56B,DBText,"Theor. S.W.1/4",C-SYMBOL,20.000000000000206
BDE56C,DBText,"Sec. 11-66-6-W.6M.",C-SYMBOL,20.000000000000206
BDE584,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000092
BDE594,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000092
BE0399,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039A,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039B,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039C,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039D,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039E,BlockReference,"GAS",C-WS-S,4.998153450000016
BE039F,BlockReference,"GAS",C-WS-S,4.998153450000016
BE03A0,BlockReference,"GAS",C-WS-S,4.998153450000016
BF3DE2,AlignedDimension,"CNRL  P/L R/W  061766",C-RW-T,Compass 5 000
BF7DB3,AlignedDimension,"CNRL  P/L R/W  220803",C-RW-T,Compass 5 000
BF7DD1,AlignedDimension,"CNRL  P/L R/W  220803",C-RW-T,Compass 5 000
BF832E,AlignedDimension,"CNRL  P/L R/W  061766",C-RW-T,Compass 5 000
C40EB2,MText,"Existing Log Deck",T-EXISTING RTF-T,9.996306900000018
C4B6D5,BlockReference,"*U42",P-TEMP-BLOCKS,0.99963069
C4B73D,BlockReference,"*U36",P-TEMP-BLOCKS,0.99963069
C4B7B0,BlockReference,"*U38",P-TEMP-BLOCKS,0.99963069
C4B80D,BlockReference,"*U37",P-TEMP-BLOCKS,0.99963069
C639BA,MText,"10m High Grade  Gravel Road",T-TEXT,9.996306900000015
C639C3,MText,"10m High Grade  Gravel Road",T-TEXT,9.996306900000015
C70F16,BlockReference,"*U41",P-TEMP-BLOCKS,0.99963069
C7153B,BlockReference,"*U39",P-TEMP-BLOCKS,0.99963069
C7217F,DBText,"RP",35,9.996306900000038
C72F78,BlockReference,"*U40",P-TEMP-BLOCKS,0.99963069
C7362B,BlockReference,"*U40",P-TEMP-BLOCKS,0.99963069
C73692,BlockReference,"*U40",P-TEMP-BLOCKS,0.99963069
CA722C,BlockReference,"*U43",DETAIL-T,1
CA884D,BlockReference,"xing2",P-CROSSINGS,1
