Handle,ObjType,Content,Layer,Extra
AF8B79,BlockReference,"L-SECLBL",L-SECLBL,1
AF8B82,DBText,"Theor. S.E.1/4 Sec. 11-64-21-W.5M.",C-SYMBOL,20.000000000000014
AF8B8C,BlockReference,"RP",P-75m DRAINAGE AREA,1
AF8CBB,AlignedDimension,"Crescent Point   A/R  770544",C-AR-T,Compass 5 000
AF8CBC,AlignedDimension,"Crescent Point  A/R  232146",C-AR-T,Compass 5 000
AF8CBD,MText,"Crescent Point  FC714 6-11 (Surface) MSL 231710",C-WS-T,9.994838799999895
AF8D22,MText,"L.S. 1",L-SECTION-LSD,9.994810000000003
AF8D23,MText,"L.S. 2",L-SECTION-LSD,9.994810000000003
AF8D25,MText,"L.S. 8",L-SECTION-LSD,9.994810000000003
AF8D26,MText,"L.S. 7",L-SECTION-LSD,9.994810000000003
AF8D35,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99169600000001
AF8D57,BlockReference,"*U22",P-75m DRAINAGE AREA,0.999481
AF8D75,AlignedDimension,"Cenovus  A/R LOC 013150",F-AR-T,Compass 5 000
AF8E92,AlignedDimension,"Crescent Point  P/L R/W  240020",C-RW-T,Compass 5 000
AF904D,BlockReference,"*U25",AS-WILDLIFE-BLOCK,0.99948388
AF905C,MText,"Key Wildlife and Biodiversity  Zone Boundary",AS-WILDLIFE,9.99483879999992
AF9AF6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000005
AF9D86,BlockReference,"*U26",DETAIL-T,0.999481
AF9E12,BlockReference,"*U27",DETAIL-T,0.999481
AFA128,MText,"Little Smoky River",T-WATER-T,9.994838799999915
B05AAB,BlockReference,"*U28",P-TEMP-BLOCKS,0.999481
B05B46,BlockReference,"*U28",P-TEMP-BLOCKS,0.999481
B0844B,BlockReference,"Disclaimer_Legal",F-AR-T,0.3
