Handle,ObjType,Content,Layer,Extra
AB1C22,BlockReference,"L-SECLBL",L-SECLBL,1
AB2401,BlockReference,"NEST_ACTIVE",L-BD1,0.9996252999999947
AB2430,MText,"Stick Nest",T-TEXT,9.996252999999877
AB245C,MText,"Small Permanent Creek",T-WATER-T,9.996252999999877
AB24C0,BlockReference,"GAS",F-WS-S,4.998126499999951
AB5A15,BlockReference,"PIG",AS-SYMBOL,4.999999999999961
AB5A16,BlockReference,"RISER",AS-SYMBOL,4.999999999999961
AB7238,AlignedDimension,"New Times  P/L R/W  091247",F-RW-T,Compass 5 000
AB7264,AlignedDimension,"New Times  A/R  091062",F-AR-T,Compass 5 000
AB7288,MText,"New Times 2-31 (Surface) MSL 091272",F-WS-T,9.99999999999985
AB9E0C,BlockReference,"*U28",AS-SURFACE IMPACT,0.9996252999999947
AB9E3A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999702
AC6439,MText,"Key Wildlife and Biodiversity  Zone Boundary",AS-WILDLIFE,9.99999999999985
ACAE21,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999849
ACCA50,BlockReference,"*U29",AS-WILDLIFE-BLOCK,0.9996252999999947
AD395F,MText,"CNRL 2-31 (Surface) MSL 231330",C-WS-T,9.99999999999985
ADEB3E,BlockReference,"*U30",35,0.9996252999999947
AEA7AE,MText,"Intermittent  Creek",T-WATER-T,9.996252999999877
AEA7B5,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
AEA7C4,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
AEB123,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
B03566,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
B0EF8F,MText,"Break Line",T-TEXT,9.996350199999956
B0EF93,MText,"35cm Poplar & Spruce Alder to 3m Tall",T-BUSH-T,9.999999999999867
B0F875,MText,"35cm Poplar & Spruce Alder to 3m Tall",T-BUSH-T,9.999999999999867
B1B691,MText,"Theor. S.E.1/4 Sec. 31-66-5-W.6M.",C-SYMBOL,19.9999999999997
BBC138,MText,"Break Line",T-TEXT,9.996350199999956
BC0427,MText,"Break Line",T-TEXT,9.996350199999956
BC043F,MText,"Break Line",T-TEXT,9.996350199999956
BD92F4,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
BD9C26,MText,"Intermittent  Creek",T-WATER-T,9.996252999999877
BDA559,MText,"Ephemeral Drainage",T-WATER-T,9.996252999999877
C2EA39,AlignedDimension,"CNRL  A/R  231685",C-AR-T,Compass 5 000
C4649E,BlockReference,"L-SECLBL",L-SECLBL,0.99963502
C4802A,AlignedDimension,"New Times  P/L R/W  101573",F-RW-T,Compass 5 000
C48075,AlignedDimension,"CNRL  P/L R/W  980234",C-RW-T,Compass 5 000
C4837D,AlignedDimension,"CNRL  P/L R/W  990474",C-RW-T,Compass 5 000
C483F1,MText,"New Times Riser Site PIL 090443",F-WS-T,9.996350199999991
C483F2,AlignedDimension,"CNRL  A/R  973452",C-AR-T,Compass 5 000
C486FA,AlignedDimension,"New Times  A/R  091376",F-AR-T,Compass 5 000
C4872B,AlignedDimension,"Paramount  A/R  080260",F-AR-T,Compass 5 000
C48A5F,AlignedDimension,"New Times  A/R  091062",F-AR-T,Compass 5 000
C48A7E,AlignedDimension,"New Times  P/L R/W  091247",F-RW-T,Compass 5 000
C48AA6,AlignedDimension,"New Times  A/R  101470",F-AR-T,Compass 5 000
C4945F,BlockReference,"GAS",C-WS-S,4.9981750999999965
C49460,DBText,"Theor. N.E.1/4 Sec. 30-66-5-W.6M.",C-SYMBOL,19.992700399999986
C49461,MText,"L.S. 9",L-SECTION-LSD,9.996350199999993
C49463,MText,"L.S. 10",L-SECTION-LSD,9.996350199999993
C49465,MText,"L.S. 16",L-SECTION-LSD,9.996350199999993
C49467,MText,"L.S. 15",L-SECTION-LSD,9.996350199999993
C49471,MText,"L.S. 1",L-SECTION-LSD,9.996350199999993
C49472,MText,"L.S. 2",L-SECTION-LSD,9.996350199999993
C49474,MText,"L.S. 8",L-SECTION-LSD,9.996350199999993
C49475,MText,"L.S. 7",L-SECTION-LSD,9.996350199999993
C4947E,MText,"CNRL 16-30 (Surface) MSL 975069 (Expired)",C-WS-T,9.996350199999991
C4A2E8,BlockReference,"*U43",F-WS-S,0.99963502
C4A606,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999702
C4D467,AlignedDimension,"CNRL  P/L R/W  230825",F-WS-S,Compass 5 000
C5A9A9,BlockReference,"*U45",P-TEMP-BLOCKS,0.99963502
C5B26E,MText,"DETAIL NOT TO SCALE",DETAIL-T,19.992700399999986
C6B40C,BlockReference,"*U46",DETAIL-T,0.99963502
C6D1F2,BlockReference,"xing2",P-CROSSINGS,0.99963502
C72EF4,BlockReference,"*U48",P-TEMP-BLOCKS,0.99963502
C7353B,MText,"Existing Log Deck",T-EXISTING TFA-T,9.9963502
C7353E,BlockReference,"*U49",P-TEMP-BLOCKS,0.99963502
C7FE67,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999849
C80654,BlockReference,"*U48",P-TEMP-BLOCKS,0.99963502
C87567,BlockReference,"Disclaimer_Legal",C-AR,0.45
