Handle,ObjType,Content,Layer,Extra
BC2493,BlockReference,"L-SECLBL",L-SECLBL,1
BC2499,BlockReference,"L-SECLBL",L-SECLBL,1
BC32AB,MText,"Existing Winter Access Road",AS-GENERAL,9.99564999999995
BC32FA,MText,"CNRL 10-29 (Surface) MSL 781436",F-WS-T,10.000000000000032
BC32FC,MText,"CNRL 9-29 (Surface) MSL 852470",F-WS-T,10.000000000000032
BC32FE,BlockReference,"GAS",C-WS-S,4.999999999999976
BC35A5,AlignedDimension,"CNRL  P/L R/W  042 1615  991455",F-RW-T,Compass 5 000
BC6D8D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9956499999999
BC6D8E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9956499999999
BC6D8F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.9956499999999
BF3671,BlockReference,"*U23",P-TEMP-BLOCKS,0.9995679999999934
BF3686,BlockReference,"*U24",P-TEMP-BLOCKS,0.9995679999999934
BF369B,BlockReference,"*U43",P-TEMP-BLOCKS,0.9995679999999934
BF36D1,BlockReference,"*U41",P-TEMP-BLOCKS,0.9995679999999934
BF36E6,BlockReference,"*U23",P-TEMP-BLOCKS,0.9995679999999934
BF36FB,BlockReference,"*U25",P-TEMP-BLOCKS,0.9995679999999934
BF47D3,BlockReference,"HRV",CG-NOTES,0.9995649999999827
BF4920,MText,"L.S. 3",L-SECTION-LSD,9.99567999999992
BF4922,MText,"L.S. 4",L-SECTION-LSD,9.99567999999992
BF4924,MText,"L.S. 6",L-SECTION-LSD,9.99567999999992
BF4926,MText,"L.S. 5",L-SECTION-LSD,9.99567999999992
BF492A,MText,"Theor. S.W.1/4  Sec. 32-64-3-W.6M.",C-SYMBOL,19.99135999999984
BF4932,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993039999999755
BF4935,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993039999999755
BF4937,MText,"Theor. S.E.1/4  Sec. 32-64-3-W.6M.",C-SYMBOL,19.99135999999984
BF4938,BlockReference,"HRV",CG-NOTES,0.9995649999999827
BF493C,MText,"L.S. 1",L-SECTION-LSD,9.99567999999992
BF493D,MText,"L.S. 2",L-SECTION-LSD,9.99567999999992
BF493F,MText,"L.S. 8",L-SECTION-LSD,9.99567999999992
BF4940,MText,"L.S. 7",L-SECTION-LSD,9.99567999999992
BF4942,BlockReference,"HRV",CG-NOTES,0.9995649999999827
BF4946,BlockReference,"HRV",CG-NOTES,0.9995649999999827
BF494B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993039999999755
BF494D,MText,"Theor. N.E.1/4  Sec. 29-64-3-W.6M.",C-SYMBOL,19.99135999999984
BF4CD2,BlockReference,"GABD",F-WS-S,4.99999999999996
BF4CD3,BlockReference,"GAS",C-WS-S,4.999999999999976
BF4CD5,DBText,"RP",35,9.995679999999872
BF685E,AlignedDimension,"Veren  A/R  170293",C-AR-T,Compass 5 000
BF689F,AlignedDimension,"ARC  A/R  781174",F-AR-T,Compass 5 000
BF68BE,AlignedDimension,"ARC  A/R  781174",F-AR-T,Compass 5 000
BF68EA,AlignedDimension,"ARC  A/R  781174",F-AR-T,Compass 5 000
BF6C38,AlignedDimension,"CNRL  A/R  991225",F-AR-T,Compass 5 000
BF6E01,MText,"CNRL 2-32 (Surface) MSL 991756 (Expired)",F-WS-T,10.000000000000032
BF6E03,MText,"L.S. 9",L-SECTION-LSD,9.99561999999995
BF6E05,MText,"L.S. 10",L-SECTION-LSD,9.99561999999995
BF6E07,MText,"L.S. 16",L-SECTION-LSD,9.99561999999995
BF6E09,MText,"L.S. 15",L-SECTION-LSD,9.99561999999995
BF6E0B,MText,"CNRL Riser Site PIL 000131",F-WS-T,10.000000000000032
BF6E0E,AlignedDimension,"CNRL  P/L R/W  042 1076  000083",F-RW-T,Compass 5 000
BF6E3F,AlignedDimension,"CNRL  P/L R/W  042 1076  000083",F-RW-T,Compass 5 000
BF7039,AlignedDimension,"CNRL  P/L R/W  042 1613  000718",F-RW-T,Compass 5 000
BF7895,AlignedDimension,"Veren  P/L R/W  151382",C-RW-T,Compass 5 000
BF78BD,AlignedDimension,"Veren  P/L R/W  151382",C-RW-T,Compass 5 000
BF78DC,AlignedDimension,"Veren  P/L R/W  151382",C-RW-T,Compass 5 000
BF86DA,BlockReference,"*U37",DETAIL-T,0.9995620000000001
BF8998,BlockReference,"*U38",DETAIL-T,0.9995620000000001
BF89C8,BlockReference,"*U39",DETAIL-T,0.9995620000000001
BF89F8,BlockReference,"*U40",DETAIL-T,0.9995620000000001
BF9CE7,MText,"20cm Spruce, Birch & Poplar",T-BUSH-T,9.999999999999925
BFDECB,BlockReference,"*U42",P-TEMP-BLOCKS,0.9995679999999934
BFF162,MText,"Mountain Goat and Sheep Area Zone Boundary",AS-WILDLIFE,9.995619999999972
BFF176,MText,"Mountain Goat and Sheep Area Zone Boundary",AS-WILDLIFE,9.995619999999972
C01D91,AlignedDimension,"CNRL  P/L R/W  042 1613  000718",F-RW-T,Compass 5 000
C0200B,BlockReference,"*U45",DETAIL-T,0.9995620000000001
C0694A,MText,"100m FNC Buffer",P-BUFFER-T,9.99562
C06958,MText,"100m FNC Buffer",P-BUFFER-T,9.99562
C085F0,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.4
