Handle,ObjType,Content,Layer,Extra
BB835B,MText,"20cm Spruce, Poplar, Birch",T-BUSH,10.003848480510527
BB8373,MText,"L.S. 3",L-SECTION-LSD,9.995660000000115
BB8375,MText,"L.S. 4",L-SECTION-LSD,9.995660000000115
BB8377,MText,"L.S. 6",L-SECTION-LSD,9.995660000000115
BB8379,MText,"L.S. 5",L-SECTION-LSD,9.995660000000115
BB8393,BlockReference,"L-SECLBL",L-SECLBL,0.9995660000000142
BB839E,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995660000000115
BB83A6,MText,"Theor. S.W.1/4  Sec. 23-65-3-W.6M.",C-SYMBOL,20.000000000000227
BB83A7,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000203
BB83D9,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000103
BB83DB,MText,"Shrubby Swamp",WETLAND-T,9.995685000000103
BB83DD,MText,"Shrubby Swamp",WETLAND-T,9.995685000000103
BB83E0,MText,"Wooded Coniferous Swamp",WETLAND-T,9.995685000000103
BB8414,MText,"7m High Grade Gravel Road",AS-GENERAL,9.995660000000115
BB8416,MText,"Pad",AS-GENERAL,9.995660000000115
BB8417,MText,"Trapper Cabin",AS-GENERAL,9.995660000000115
BB842F,AlignedDimension,"Veren  A/R  190011",C-AR-T,Compass 5 000
BB8430,AlignedDimension,"Veren  A/R  781379  II)",C-AR-T,Compass 5 000
BB8431,MText,"Veren Work Camp  DML 190004",C-WS-T,9.995660000000123
BB8433,AlignedDimension,"CNRL  A/R  781106  II)",F-AR-T,Compass 5 000
BB8434,AlignedDimension,"CNRL  P/L R/W  812 0880  800695",F-RW-T,Compass 5 000
BB8435,AlignedDimension,"CNRL  P/L R/W  902 1996  890733",F-RW-T,Compass 5 000
BB8436,AlignedDimension,"Pembina  P/L R/W  150672",F-RW-T,Compass 5 000
BB8437,AlignedDimension,"CNR  Railway  792 0886",L-TITLEDB-T,Compass 5 000
BB8468,BlockReference,"RP",L-MON,0.9995685
BB8719,BlockReference,"res_other",AS-RESIDENCE,4.997842500000014
BB8720,MText,"Railway Mile Marker 178",AS-GENERAL,9.995685000000103
BB8723,BlockReference,"*U22",AS-WILDLIFE-BLOCK,0.9995685
BB8A98,MText,"Veren Riser Site PIL 240313",C-WS-T,9.991371861922596
BB8ACC,MText,"L.S. 11",L-SECTION-LSD,10
BB8ACE,MText,"L.S. 12",L-SECTION-LSD,10
BB8AD0,MText,"L.S. 14",L-SECTION-LSD,10
BB8AD1,MText,"L.S. 13",L-SECTION-LSD,10
BB90E2,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000455
BB90E4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000341
BB90E5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000341
BB910C,AlignedDimension,"CNRL  A/R  3021",F-AR-T,Compass 5 000
BB910D,AlignedDimension,"CNRL  A/R  770340",F-AR-T,Compass 5 000
BB9110,MText,"CNRL 3-26 (Surface) MSL 221566",F-WS-T,10.004492016915936
BB9178,MText,"Theor. N.W.1/4  Sec. 23-65-3-W.6M.",C-SYMBOL,20.000000000000266
BB918F,MText,"Veren Riser Site PIL 240314",C-WS-T,9.991371861922596
BB91B5,MText,"Veren 10.00 A/R LOC 241737",C-AR-T,10
BB91BF,MText,"Veren  10.00 A/R LOC 241736",C-AR-T,10
BB940B,BlockReference,"*U32",P-TEMP-BLOCKS,1
BC488F,MText,"Existing Workspace",T-EXISTING RTF-T,10
BC4892,MText,"Existing Workspace",T-EXISTING RTF-T,10
BC49D6,BlockReference,"*U22",AS-WILDLIFE-BLOCK,0.9995685
BC49E5,MText,"Veren 15.00 P/L R/W LOC 241854",C-RW-T,10
BC6DCA,AlignedDimension,"Pembina  P/L R/W  241132",F-RW-T,Compass 5 000
BC92FA,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.4
