Handle,ObjType,Content,Layer,Extra
BBAD25,BlockReference,"L-SECLBL",L-SECLBL,1
BBAD2B,BlockReference,"L-SECLBL",L-SECLBL,1
BBAD31,BlockReference,"L-SECLBL",L-SECLBL,1
BBAD37,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
BBAD38,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
BBAD39,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
BBAD3A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.00000000000005
BBAD3B,DBText,"Theor. S.E.1/4 Sec. 16-63-18-W.5M.",C-SYMBOL,20.0000000000001
BBAD3C,DBText,"Theor. N.E.1/4 Sec. 9-63-18-W.5M.",C-SYMBOL,20.0000000000001
BBAD3D,DBText,"Theor. S.W.1/4 Sec. 15-63-18-W.5M.",C-SYMBOL,20.0000000000001
BBAD6D,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000025
BBAD7E,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000025
BBAD8F,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000025
BBADE8,BlockReference,"L-SECLBL",L-SECLBL,1
BBAE69,AlignedDimension,"Veren  P/L R/W  230436",C-RW-T,Compass 5 000
BBAE6B,AlignedDimension,"Veren  P/L R/W  230436",C-RW-T,Compass 5 000
BBAE6C,AlignedDimension,"Veren  P/L R/W  131229",C-RW-T,Compass 5 000
BBAE6F,MText,"Veren FC 808 15-9 (Surface) MSL 180818",C-WS-T,10.000000000000053
BBAE71,MText,"Veren Riser Site PIL 230247",C-WS-T,10.000000000000053
BBAE73,MText,"Veren FC 808EXT 15-9 (Surface) MSL 231747",C-WS-T,10.000000000000053
BBAE77,AlignedDimension,"Paramount  A/R  940676",F-AR-T,Compass 5 000
BBAE78,AlignedDimension,"Paramount  A/R  801501",F-AR-T,Compass 5 000
BBAE79,AlignedDimension,"Paramount  A/R  801501",F-AR-T,Compass 5 000
BBAE81,AlignedDimension,"Paramount  A/R  970658",F-AR-T,Compass 5 000
BBAE82,AlignedDimension,"Paramount  P/L R/W  952 2726  941446",F-RW-T,Compass 5 000
BBAE83,MText,"Paramount 7-16 (Surface) MSL 970658 (Expired)",F-RW-T,10.000000000000053
BBAE85,AlignedDimension,"Saturn  P/L R/W  882 1531  880073",F-RW-T,Compass 5 000
BBAE86,MText,"Paramount Valve Site PIL 970069  (Expired)",F-RW-T,10.000000000000053
BBAE8D,MText,"Paramount 10-9 (Surface) MSL 941024 (Expired)",F-WS-T,10.000000000000053
BBAE8F,MText,"10-9  (Abd.)",F-WS-T,10.000000000000053
BBAE99,MText,"5m High Grade  Gravel Road",T-TEXT,9.989541036114156
BBAE9B,MText,"4m High Grade  Gravel Road",T-TEXT,9.989541036114156
BBAE9F,MText,"50cm Poplar & Spruce",T-BUSH-T,9.999988594116289
BBAF1E,BlockReference,"GAS",F-WS-S,5.000000000000025
BBAF1F,BlockReference,"Gabd",F-WS-S,5.000000000000025
BC08F5,DBText,"L.S. 15",L-SECTION-LSD,9.9948
BE20EC,AlignedDimension,"Veren  Water Line R/W  241177",C-FLOWLINE-T,Compass 5 000
BE6FA1,BlockReference,"*U32",35,1
BF3876,AlignedDimension,"Paramount  P/L R/W  992 1956  971273",F-RW-T,Compass 5 000
BF38B0,AlignedDimension,"Veren  P/L R/W  240896",C-RW-T,Compass 5 000
C15482,MText,"Existing Borrow Pit",T-EXISTING TFA-T,10.000000000000023
C15484,MText,"Existing Log Deck",T-EXISTING TFA-T,10.000000000000023
C1653E,BlockReference,"*U36",P-TEMP-BLOCKS,1
C17F9F,AlignedDimension,"Existing  Line",T-EXISTING TFA-T,Compass 5 000
C17FC7,MText,"Existing Temporary Access",T-EXISTING TFA-T,10.000000000000023
C2187D,DBText,"L.S. 16",L-SECTION-LSD,9.9948
C2187E,DBText,"L.S. 10",L-SECTION-LSD,9.9948
C2187F,DBText,"L.S. 9",L-SECTION-LSD,9.9948
C2239F,DBText,"L.S. 7",L-SECTION-LSD,9.9948
C223A0,DBText,"L.S. 8",L-SECTION-LSD,9.9948
C223A1,DBText,"L.S. 2",L-SECTION-LSD,9.9948
C223A2,DBText,"L.S. 1",L-SECTION-LSD,9.9948
C223A5,DBText,"L.S. 5",L-SECTION-LSD,9.9948
C223A6,DBText,"L.S. 6",L-SECTION-LSD,9.9948
C223A7,DBText,"L.S. 4",L-SECTION-LSD,9.9948
C223A8,DBText,"L.S. 3",L-SECTION-LSD,9.9948
C23B28,MText,"50cm Poplar & Spruce",T-BUSH-T,9.999988594116289
C2FCB8,BlockReference,"Disclaimer_Legal",L-MON,0.19989600000000002
